Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,9.0,7,3,2,CAN,2.0,FORCA J,2 - 7,376,ESP,6:16,Goal,1
Action shot,4.0,7,3,2,CAN,2.0,WRIGHT E,2 - 7,350,CAN,5:50,Saved,0
5m shot,10.0,7,3,2,CAN,2.0,TARRAGO R,2 - 7,279,ESP,4:39,Post,0
Extra player shot,8.0,7,3,2,CAN,2.0,FOURNIER S,2 - 7,251,CAN,4:11,Saved,0
Action shot,5.0,7,3,2,CAN,2.0,ORTIZ M,2 - 7,208,ESP,3:28,Missed,0
Action shot,2.0,7,3,2,CAN,2.0,ALOGBO K,2 - 7,181,CAN,3:01,Post,0
Extra player shot,8.0,7,3,2,CAN,2.0,PENA P,2 - 7,134,ESP,2:14,Saved,0
Extra player shot,8.0,8,3,2,CAN,2.0,PENA P,2 - 8,86,ESP,1:26,Goal,1
Action shot,12.0,8,3,2,CAN,2.0,LOPEZ L,2 - 8,54,ESP,0:54,Blocked,0
Penalty shot,6.0,9,3,2,CAN,2.0,PAREJA J,2 - 9,28,ESP,0:28,Goal,1
Extra player shot,8.0,9,3,3,CAN,2.0,FOURNIER S,3 - 9,1,CAN,0:01,Goal,1
5m shot,8.0,9,3,3,CAN,3.0,FOURNIER S,3 - 9,436,CAN,7:16,Blocked,0
5m shot,5.0,9,3,4,CAN,3.0,EGGENS M,4 - 9,411,CAN,6:51,Goal,1
Action shot,5.0,9,3,4,CAN,3.0,EGGENS M,4 - 9,352,CAN,5:52,Missed,0
Action shot,9.0,9,3,4,CAN,3.0,FORCA J,4 - 9,331,ESP,5:31,Blocked,0
Action shot,5.0,9,3,4,CAN,3.0,EGGENS M,4 - 9,304,CAN,5:04,Blocked,0
5m shot,7.0,10,3,4,CAN,3.0,ESPAR C,4 - 10,278,ESP,4:38,Goal,1
Action shot,12.0,10,3,4,CAN,3.0,PERREAULT D,4 - 10,262,CAN,4:22,Saved,0
Extra player shot,5.0,10,3,5,CAN,3.0,EGGENS M,5 - 10,235,CAN,3:55,Goal,1
Extra player shot,3.0,11,3,5,CAN,3.0,ESPAR A,5 - 11,199,ESP,3:19,Goal,1
Action shot,7.0,11,3,5,CAN,3.0,BEKHAZI J,5 - 11,100,CAN,1:40,Saved,0
Extra player shot,12.0,11,3,5,CAN,3.0,LOPEZ L,5 - 11,48,ESP,0:48,Saved,0
Extra player shot,6.0,11,3,5,CAN,4.0,MCKEE K,5 - 11,427,CAN,7:07,Post,0
Action shot,7.0,11,3,5,CAN,4.0,BEKHAZI J,5 - 11,418,CAN,6:58,Missed,0
Penalty shot,6.0,11,3,5,CAN,4.0,PAREJA J,5 - 11,394,ESP,6:34,Saved,0
Centre shot,11.0,11,3,5,CAN,4.0,GARCIA M,5 - 11,375,ESP,6:15,Post,0
Action shot,4.0,11,3,5,CAN,4.0,WRIGHT E,5 - 11,349,CAN,5:49,Saved,0
