Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2.0,2,5,0,USA,2.0,HOOPER J,2 - 0,381,USA,6:21,Saved,0
Counter attack,11.0,2,5,1,USA,2.0,ROELSE A,2 - 1,357,USA,5:57,Goal,1
Extra player shot,8.0,2,5,2,USA,2.0,CARNIGLIA N,2 - 2,301,USA,5:01,Goal,1
5m shot,7.0,2,5,2,USA,2.0,CROUSILLAT U,2 - 2,277,FRA,4:37,Missed,0
5m shot,10.0,2,5,2,USA,2.0,RAMIREZ C,2 - 2,249,USA,4:09,Saved,0
5m shot,6.0,2,5,2,USA,2.0,CUPIDO L,2 - 2,232,USA,3:52,Post,0
Extra player shot,12.0,2,5,3,USA,2.0,IRVING M,2 - 3,163,USA,2:43,Goal,1
Extra player shot,9.0,3,5,3,USA,2.0,MARZOUKI M,3 - 3,137,FRA,2:17,Goal,1
Extra player shot,10.0,3,5,3,USA,4.0,RAMIREZ C,3 - 3,182,USA,3:02,Saved,0
5m shot,6.0,3,5,3,USA,4.0,CUPIDO L,3 - 3,176,USA,2:56,Post,0
Action shot,9.0,3,5,3,USA,4.0,MARZOUKI M,3 - 3,155,FRA,2:35,Saved,0
5m shot,9.0,8,5,9,USA,4.0,BOWEN A,8 - 9,130,USA,2:10,Goal,1
Action shot,7.0,8,5,9,USA,2.0,CROUSILLAT U,8 - 9,43,FRA,0:43,Saved,0
5m shot,11.0,8,5,9,USA,2.0,ROELSE A,8 - 9,15,USA,0:15,Saved,0
5m shot,9.0,8,5,9,USA,2.0,MARZOUKI M,8 - 9,1,FRA,0:01,Saved,0
Centre shot,12.0,4,5,3,USA,3.0,CAMARASA A,4 - 3,450,FRA,7:30,Goal,1
Action shot,9.0,4,5,4,USA,3.0,BOWEN A,4 - 4,422,USA,7:02,Goal,1
Action shot,7.0,4,5,5,USA,3.0,DUNSTAN T,4 - 5,379,USA,6:19,Goal,1
Centre shot,4.0,4,5,5,USA,3.0,OBERT A,4 - 5,344,USA,5:44,Saved,0
5m shot,9.0,4,5,5,USA,3.0,MARZOUKI M,4 - 5,318,FRA,5:18,Blocked,0
Action shot,6.0,5,5,5,USA,3.0,SIMON T,5 - 5,248,FRA,4:08,Goal,1
Action shot,7.0,6,5,5,USA,3.0,CROUSILLAT U,6 - 5,213,FRA,3:33,Goal,1
5m shot,7.0,6,5,5,USA,3.0,CROUSILLAT U,6 - 5,162,FRA,2:42,Saved,0
5m shot,6.0,6,5,6,USA,3.0,CUPIDO L,6 - 6,154,USA,2:34,Goal,1
Centre shot,12.0,6,5,6,USA,3.0,CAMARASA A,6 - 6,123,FRA,2:03,Saved,0
Action shot,8.0,6,5,7,USA,3.0,CARNIGLIA N,6 - 7,107,USA,1:47,Goal,1
Action shot,9.0,6,5,7,USA,3.0,MARZOUKI M,6 - 7,82,FRA,1:22,Saved,0
Extra player shot,9.0,6,5,7,USA,3.0,BOWEN A,6 - 7,58,USA,0:58,Post,0
