ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5,5m shot,2.0,1,8,RSA,3.0,VEICH R,8 - 5,1,ARG,0:01,Missed,0
6,5m shot,12.0,1,8,RSA,4.0,YANEZ G,8 - 6,427,ARG,7:07,Goal,1
6,5m shot,12.0,1,8,RSA,4.0,YANEZ G,8 - 6,377,ARG,6:17,Saved,0
6,Centre shot,10.0,1,9,RSA,4.0,LE ROUX P,9 - 6,356,RSA,5:56,Goal,1
6,5m shot,2.0,1,9,RSA,4.0,VEICH R,9 - 6,326,ARG,5:26,Post,0
6,5m shot,6.0,1,9,RSA,4.0,BULGHERONI T,9 - 6,228,ARG,3:48,Blocked,0
6,Counter attack,11.0,1,9,RSA,4.0,DEMARCHI F,9 - 6,190,ARG,3:10,Saved,0
6,5m shot,9.0,1,9,RSA,4.0,CARABANTES I,9 - 6,138,ARG,2:18,Saved,0
6,Action shot,8.0,1,9,RSA,4.0,CORSI E,9 - 6,93,ARG,1:33,Saved,0
6,Action shot,6.0,1,9,RSA,4.0,BULGHERONI T,9 - 6,47,ARG,0:47,Saved,0
6,Counter attack,2.0,1,10,RSA,4.0,LE ROUX E,10 - 6,39,RSA,0:39,Goal,1
1,Extra player shot,6.0,2,0,KAZ,1.0,BULGHERONI T,0 - 1,380,ARG,6:20,Goal,1
1,Action shot,6.0,2,1,KAZ,1.0,SHMIDER A,1 - 1,355,KAZ,5:55,Goal,1
1,Extra player shot,12.0,2,1,KAZ,1.0,YANEZ G,1 - 1,293,ARG,4:53,Saved,0
1,Action shot,3.0,2,2,KAZ,1.0,AXENOV A,2 - 1,280,KAZ,4:40,Goal,1
1,Action shot,11.0,2,2,KAZ,1.0,DEMARCHI F,2 - 1,253,ARG,4:13,Saved,0
1,Action shot,4.0,2,3,KAZ,1.0,PILIPENKO R,3 - 1,233,KAZ,3:53,Goal,1
1,Action shot,5.0,2,3,KAZ,1.0,LOPEZ E,3 - 1,205,ARG,3:25,Saved,0
1,Counter attack,3.0,2,4,KAZ,1.0,AXENOV A,4 - 1,194,KAZ,3:14,Goal,1
1,Extra player shot,3.0,2,4,KAZ,1.0,AXENOV A,4 - 1,107,KAZ,1:47,Saved,0
2,Counter attack,12.0,2,4,KAZ,1.0,YANEZ G,4 - 2,96,ARG,1:36,Goal,1
2,5m shot,9.0,2,4,KAZ,1.0,UKUMANOV R,4 - 2,69,KAZ,1:09,Post,0
