Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,8,8.0,2,5,JPN,3.0,CARVALHO L,8 - 5,235,BRA,3:55,Goal,1
5m shot,8,5.0,2,5,JPN,3.0,NAKATA M,8 - 5,212,JPN,3:32,Missed,0
Extra player shot,9,9.0,2,5,JPN,3.0,DIAS M,9 - 5,183,BRA,3:03,Goal,1
Extra player shot,9,10.0,2,5,JPN,3.0,MORI T,9 - 5,146,JPN,2:26,Saved,0
Action shot,9,7.0,2,6,JPN,3.0,NAKANO Y,9 - 6,78,JPN,1:18,Goal,1
Centre shot,9,12.0,2,6,JPN,3.0,SUZUKI K,9 - 6,42,JPN,0:42,Saved,0
Action shot,10,6.0,2,6,JPN,3.0,CHIAPPINI I,10 - 6,37,BRA,0:37,Goal,1
Action shot,10,3.0,2,6,JPN,3.0,KAZAMA Y,10 - 6,30,JPN,0:30,Blocked,0
5m shot,11,7.0,2,6,JPN,4.0,OLIVEIRA A,11 - 6,459,BRA,7:39,Goal,1
5m shot,11,7.0,2,6,JPN,4.0,NAKANO Y,11 - 6,436,JPN,7:16,Post,0
5m shot,11,4.0,2,6,JPN,4.0,MAGARIYAMA S,11 - 6,360,JPN,6:00,Post,0
5m shot,11,10.0,2,6,JPN,4.0,MORI T,11 - 6,311,JPN,5:11,Blocked,0
Action shot,11,12.0,2,7,JPN,4.0,SUZUKI K,11 - 7,157,JPN,2:37,Goal,1
5m shot,11,3.0,2,8,JPN,4.0,KAZAMA Y,11 - 8,43,JPN,0:43,Goal,1
5m shot,0,5.0,3,0,ITA,1.0,RADICCHI F,0 - 0,454,ITA,7:34,Post,0
5m shot,0,5.0,3,0,ITA,1.0,RADICCHI F,0 - 0,417,ITA,6:57,Post,0
Action shot,0,7.0,3,1,ITA,1.0,DI MARIO T,0 - 1,396,ITA,6:36,Goal,1
Action shot,0,7.0,3,1,ITA,1.0,OLIVEIRA A,0 - 1,368,BRA,6:08,Saved,0
5m shot,0,9.0,3,1,ITA,1.0,DIAS M,0 - 1,324,BRA,5:24,Saved,0
5m shot,0,5.0,3,2,ITA,1.0,RADICCHI F,0 - 2,299,ITA,4:59,Goal,1
Action shot,0,7.0,3,2,ITA,1.0,OLIVEIRA A,0 - 2,275,BRA,4:35,Saved,0
5m shot,0,6.0,3,2,ITA,1.0,CHIAPPINI I,0 - 2,225,BRA,3:45,Missed,0
Action shot,0,5.0,3,3,ITA,1.0,RADICCHI F,0 - 3,213,ITA,3:33,Goal,1
Action shot,0,4.0,3,3,ITA,1.0,QUEIROLO E,0 - 3,175,ITA,2:55,Post,0
5m shot,0,6.0,3,3,ITA,1.0,CHIAPPINI I,0 - 3,145,BRA,2:25,Post,0
5m shot,0,9.0,3,3,ITA,1.0,DIAS M,0 - 3,81,BRA,1:21,Saved,0
5m shot,0,9.0,3,3,ITA,1.0,DIAS M,0 - 3,15,BRA,0:15,Missed,0
Action shot,0,4.0,3,3,ITA,1.0,QUEIROLO E,0 - 3,1,ITA,0:01,Post,0
Centre shot,0,2.0,3,3,ITA,1.0,TABANI C,0 - 3,1,ITA,0:01,Post,0
5m shot,0,7.0,3,3,ITA,2.0,DI MARIO T,0 - 3,455,ITA,7:35,Missed,0
5m shot,0,9.0,3,4,ITA,2.0,EMMOLO G,0 - 4,402,ITA,6:42,Goal,1
Action shot,0,12.0,3,4,ITA,2.0,MANTELLATO G,0 - 4,360,BRA,6:00,Saved,0
Extra player shot,0,6.0,3,4,ITA,2.0,AIELLO R,0 - 4,328,ITA,5:28,Saved,0
5m shot,0,6.0,3,4,ITA,2.0,CHIAPPINI I,0 - 4,306,BRA,5:06,Missed,0
Penalty shot,0,8.0,3,5,ITA,2.0,BIANCONI R,0 - 5,299,ITA,4:59,Goal,1
5m shot,0,7.0,3,5,ITA,2.0,OLIVEIRA A,0 - 5,282,BRA,4:42,Post,0
Action shot,0,11.0,3,5,ITA,2.0,BARZON L,0 - 5,258,ITA,4:18,Saved,0
Extra player shot,0,12.0,3,5,ITA,2.0,MANTELLATO G,0 - 5,225,BRA,3:45,Saved,0
Action shot,0,12.0,3,5,ITA,2.0,MANTELLATO G,0 - 5,215,BRA,3:35,Saved,0
Action shot,1,7.0,3,5,ITA,2.0,OLIVEIRA A,1 - 5,213,BRA,3:33,Goal,1
Action shot,1,11.0,3,5,ITA,2.0,BARZON L,1 - 5,183,ITA,3:03,Saved,0
Action shot,1,8.0,3,6,ITA,2.0,BIANCONI R,1 - 6,159,ITA,2:39,Goal,1
5m shot,1,6.0,3,6,ITA,2.0,CHIAPPINI I,1 - 6,133,BRA,2:13,Blocked,0
5m shot,1,3.0,3,7,ITA,2.0,GARIBOTTI A,1 - 7,111,ITA,1:51,Goal,1
