Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,0,3,4,USA,2.0,ANAE T,4 - 0,480,USA,8:00
Sprint won possession,2.0,0,3,4,USA,2.0,WILCOX C,4 - 0,480,GBR,8:00
Turnover foul,10.0,0,3,4,USA,2.0,WINSTANLEY-SMITH A,4 - 0,453,GBR,7:33
Steal,6.0,0,3,4,USA,2.0,STEFFENS M,4 - 0,453,USA,7:33
Action shot - Post,3.0,0,3,4,USA,2.0,SEIDEMANN M,4 - 0,427,USA,7:07
Action shot - Saved,4.0,0,3,4,USA,2.0,GIBSON-BYRNE C,4 - 0,410,GBR,6:50
Action shot - Missed,2.0,0,3,4,USA,2.0,SILVER L,4 - 0,380,USA,6:20
Turnover foul,10.0,0,3,4,USA,2.0,WINSTANLEY-SMITH A,4 - 0,355,GBR,5:55
Steal,7.0,0,3,4,USA,2.0,MATHEWSON C,4 - 0,355,USA,5:55
Turnover foul,12.0,0,3,4,USA,2.0,CRAIG K,4 - 0,327,USA,5:27
Steal,4.0,0,3,4,USA,2.0,GIBSON-BYRNE C,4 - 0,327,GBR,5:27
Action shot - Post,4.0,0,3,4,USA,2.0,GIBSON-BYRNE C,4 - 0,304,GBR,5:04
Penalty foul,3.0,0,3,4,USA,2.0,McCANN F,4 - 0,292,GBR,4:52
Penalty shot - Goal,10.0,0,3,5,USA,2.0,RULON K,5 - 0,292,USA,4:52
Turnover foul,4.0,0,3,5,USA,2.0,GIBSON-BYRNE C,5 - 0,282,GBR,4:42
Steal,11.0,0,3,5,USA,2.0,DRIES A,5 - 0,282,USA,4:42
Turnover foul,11.0,0,3,5,USA,2.0,DRIES A,5 - 0,263,USA,4:23
Steal,8.0,0,3,5,USA,2.0,MUSGROVE H,5 - 0,263,GBR,4:23
Turnover foul,7.0,0,3,5,USA,2.0,GIBSON L,5 - 0,237,GBR,3:57
Steal,11.0,0,3,5,USA,2.0,DRIES A,5 - 0,237,USA,3:57
