Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,2.0,2,1,8,RUS,2.0,MILLOT E,8 - 2,80,FRA,1:20,Goal,1
Action shot,10.0,2,1,8,RUS,2.0,TANKEEVA E,8 - 2,68,RUS,1:08,Missed,0
5m shot,5.0,3,1,8,RUS,2.0,GUILLET L,8 - 3,43,FRA,0:43,Goal,1
Action shot,10.0,3,1,8,RUS,2.0,TANKEEVA E,8 - 3,14,RUS,0:14,Saved,0
5m shot,7.0,3,1,8,RUS,2.0,BARBIEUX M,8 - 3,0,FRA,0:00,Saved,0
Action shot,3.0,3,1,9,RUS,3.0,PROKOFYEVA E,9 - 3,469,RUS,7:49,Goal,1
Action shot,5.0,4,1,9,RUS,3.0,GUILLET L,9 - 4,417,FRA,6:57,Goal,1
Action shot,6.0,4,1,9,RUS,3.0,MAHIEU G,9 - 4,361,FRA,6:01,Saved,0
Action shot,12.0,4,1,10,RUS,3.0,IARONDAIKINA N,10 - 4,347,RUS,5:47,Goal,1
5m shot,9.0,4,1,10,RUS,3.0,TIMOFEEVA A,10 - 4,305,RUS,5:05,Post,0
Action shot,7.0,4,1,11,RUS,3.0,LISUNOVA E,11 - 4,204,RUS,3:24,Goal,1
5m shot,12.0,4,1,11,RUS,3.0,JASKOVA M,11 - 4,171,FRA,2:51,Saved,0
Action shot,5.0,4,1,11,RUS,3.0,ZUBACHEVA E,11 - 4,139,RUS,2:19,Saved,0
Action shot,3.0,4,1,12,RUS,3.0,PROKOFYEVA E,12 - 4,134,RUS,2:14,Goal,1
5m shot,2.0,4,1,12,RUS,3.0,MILLOT E,12 - 4,109,FRA,1:49,Missed,0
5m shot,8.0,4,1,12,RUS,3.0,TARDY M,12 - 4,62,FRA,1:02,Post,0
Action shot,5.0,4,1,12,RUS,3.0,GUILLET L,12 - 4,9,FRA,0:09,Saved,0
Action shot,7.0,4,1,12,RUS,3.0,LISUNOVA E,12 - 4,3,RUS,0:03,Blocked,0
Action shot,11.0,4,1,13,RUS,4.0,IVANOVA E,13 - 4,425,RUS,7:05,Goal,1
Action shot,7.0,4,1,13,RUS,4.0,LISUNOVA E,13 - 4,400,RUS,6:40,Saved,0
Action shot,9.0,4,1,13,RUS,4.0,TIMOFEEVA A,13 - 4,375,RUS,6:15,Saved,0
Action shot,12.0,4,1,13,RUS,4.0,IARONDAIKINA N,13 - 4,365,RUS,6:05,Post,0
Action shot,4.0,4,1,14,RUS,4.0,KARIMOVA E,14 - 4,330,RUS,5:30,Goal,1
Action shot,8.0,5,1,14,RUS,4.0,TARDY M,14 - 5,303,FRA,5:03,Goal,1
Extra player shot,2.0,5,1,14,RUS,4.0,ZUBKOVA T,14 - 5,272,RUS,4:32,Post,0
5m shot,5.0,5,1,14,RUS,4.0,GUILLET L,14 - 5,242,FRA,4:02,Post,0
5m shot,12.0,5,1,15,RUS,4.0,IARONDAIKINA N,15 - 5,181,RUS,3:01,Goal,1
Action shot,4.0,5,1,15,RUS,4.0,SACRE A,15 - 5,155,FRA,2:35,Saved,0
5m shot,5.0,5,1,15,RUS,4.0,GUILLET L,15 - 5,127,FRA,2:07,Missed,0
Action shot,5.0,5,1,16,RUS,4.0,ZUBACHEVA E,16 - 5,107,RUS,1:47,Goal,1
Action shot,10.0,5,1,16,RUS,4.0,TANKEEVA E,16 - 5,56,RUS,0:56,Post,0
5m shot,5.0,5,1,16,RUS,4.0,GUILLET L,16 - 5,23,FRA,0:23,Saved,0
5m shot,5.0,5,1,16,RUS,4.0,GUILLET L,16 - 5,0,FRA,0:00,Saved,0
Extra player shot,11.0,0,2,0,CHN,1.0,WANG X,0 - 0,442,CHN,7:22,Post,0
Extra player shot,4.0,1,2,0,CHN,1.0,SACRE A,1 - 0,353,FRA,5:53,Goal,1
5m shot,11.0,1,2,0,CHN,1.0,WANG X,1 - 0,321,CHN,5:21,Post,0
5m shot,5.0,1,2,0,CHN,1.0,GUILLET L,1 - 0,287,FRA,4:47,Saved,0
Extra player shot,7.0,1,2,1,CHN,1.0,SONG D,1 - 1,259,CHN,4:19,Goal,1
5m shot,3.0,1,2,1,CHN,1.0,BACHELIER L,1 - 1,226,FRA,3:46,Blocked,0
5m shot,2.0,1,2,1,CHN,1.0,MILLOT E,1 - 1,184,FRA,3:04,Post,0
Action shot,5.0,1,2,1,CHN,1.0,NIU G,1 - 1,167,CHN,2:47,Post,0
5m shot,8.0,1,2,1,CHN,1.0,ZHANG C,1 - 1,146,CHN,2:26,Saved,0
Centre shot,6.0,1,2,1,CHN,1.0,SUN Y,1 - 1,70,CHN,1:10,Saved,0
Action shot,3.0,1,2,1,CHN,1.0,BACHELIER L,1 - 1,45,FRA,0:45,Missed,0
Action shot,9.0,1,2,2,CHN,1.0,ZHAO Z,1 - 2,32,CHN,0:32,Goal,1
Extra player shot,2.0,1,2,2,CHN,1.0,MILLOT E,1 - 2,4,FRA,0:04,Blocked,0
Action shot,5.0,1,2,2,CHN,2.0,NIU G,1 - 2,457,CHN,7:37,Saved,0
5m shot,5.0,2,2,2,CHN,2.0,GUILLET L,2 - 2,432,FRA,7:12,Goal,1
Extra player shot,12.0,2,2,2,CHN,2.0,ZHANG J,2 - 2,402,CHN,6:42,Blocked,0
Action shot,3.0,2,2,2,CHN,2.0,BACHELIER L,2 - 2,383,FRA,6:23,Blocked,0
Action shot,8.0,2,2,2,CHN,2.0,ZHANG C,2 - 2,305,CHN,5:05,Post,0
Extra player shot,12.0,2,2,2,CHN,2.0,JASKOVA M,2 - 2,263,FRA,4:23,Saved,0
5m shot,7.0,2,2,2,CHN,2.0,SONG D,2 - 2,247,CHN,4:07,Post,0
Action shot,5.0,2,2,2,CHN,2.0,NIU G,2 - 2,215,CHN,3:35,Post,0
5m shot,5.0,2,2,2,CHN,2.0,GUILLET L,2 - 2,133,FRA,2:13,Saved,0
5m shot,9.0,2,2,2,CHN,2.0,ZHAO Z,2 - 2,119,CHN,1:59,Saved,0
Action shot,8.0,2,2,2,CHN,2.0,ZHANG C,2 - 2,99,CHN,1:39,Missed,0
Extra player shot,7.0,2,2,2,CHN,2.0,SONG D,2 - 2,69,CHN,1:09,Saved,0
5m shot,9.0,2,2,2,CHN,2.0,ZHAO Z,2 - 2,1,CHN,0:01,Post,0
Penalty shot,9.0,2,2,3,CHN,3.0,ZHAO Z,2 - 3,464,CHN,7:44,Goal,1
5m shot,2.0,2,2,3,CHN,3.0,MILLOT E,2 - 3,438,FRA,7:18,Saved,0
Action shot,5.0,3,2,3,CHN,3.0,GUILLET L,3 - 3,411,FRA,6:51,Goal,1
Centre shot,6.0,3,2,3,CHN,3.0,SUN Y,3 - 3,398,CHN,6:38,Saved,0
Extra player shot,8.0,3,2,3,CHN,3.0,ZHANG C,3 - 3,362,CHN,6:02,Saved,0
5m shot,9.0,3,2,4,CHN,3.0,ZHAO Z,3 - 4,343,CHN,5:43,Goal,1
5m shot,4.0,3,2,4,CHN,3.0,SACRE A,3 - 4,314,FRA,5:14,Saved,0
5m shot,3.0,3,2,5,CHN,3.0,MEI X,3 - 5,266,CHN,4:26,Goal,1
Action shot,4.0,3,2,5,CHN,3.0,SACRE A,3 - 5,224,FRA,3:44,Saved,0
5m shot,3.0,3,2,5,CHN,3.0,MEI X,3 - 5,191,CHN,3:11,Missed,0
5m shot,5.0,3,2,5,CHN,3.0,GUILLET L,3 - 5,162,FRA,2:42,Missed,0
5m shot,4.0,3,2,5,CHN,3.0,SACRE A,3 - 5,118,FRA,1:58,Missed,0
Action shot,5.0,3,2,6,CHN,3.0,NIU G,3 - 6,102,CHN,1:42,Goal,1
5m shot,5.0,3,2,7,CHN,3.0,NIU G,3 - 7,43,CHN,0:43,Goal,1
5m shot,5.0,3,2,8,CHN,3.0,NIU G,3 - 8,5,CHN,0:05,Goal,1
Action shot,4.0,3,2,9,CHN,4.0,XIONG D,3 - 9,454,CHN,7:34,Goal,1
Extra player shot,4.0,3,2,9,CHN,4.0,SACRE A,3 - 9,404,FRA,6:44,Saved,0
Action shot,5.0,3,2,10,CHN,4.0,NIU G,3 - 10,388,CHN,6:28,Goal,1
5m shot,2.0,3,2,10,CHN,4.0,MILLOT E,3 - 10,360,FRA,6:00,Missed,0
Action shot,4.0,3,2,11,CHN,4.0,XIONG D,3 - 11,336,CHN,5:36,Goal,1
Centre shot,4.0,3,2,11,CHN,4.0,XIONG D,3 - 11,292,CHN,4:52,Saved,0
Extra player shot,5.0,3,2,11,CHN,4.0,GUILLET L,3 - 11,240,FRA,4:00,Saved,0
Centre shot,3.0,4,2,11,CHN,4.0,BACHELIER L,4 - 11,225,FRA,3:45,Goal,1
Extra player shot,10.0,4,2,11,CHN,4.0,ZHANG W,4 - 11,191,CHN,3:11,Saved,0
5m shot,5.0,4,2,11,CHN,4.0,NIU G,4 - 11,128,CHN,2:08,Blocked,0
5m shot,5.0,4,2,12,CHN,4.0,NIU G,4 - 12,115,CHN,1:55,Goal,1
