Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,5,3,2,BRA,2.0,ARAI A,2 - 3,299,JPN,4:59,Missed,0
5m shot,11.0,5,3,2,BRA,2.0,GUIMARAES G,2 - 3,276,BRA,4:36,Missed,0
Extra player shot,7.0,5,4,2,BRA,2.0,SHIMIZU Y,2 - 4,255,JPN,4:15,Goal,1
5m shot,4.0,5,4,2,BRA,2.0,COUTINHO G,2 - 4,223,BRA,3:43,Blocked,0
5m shot,6.0,5,4,2,BRA,2.0,IIDA A,2 - 4,202,JPN,3:22,Saved,0
Action shot,12.0,5,4,3,BRA,2.0,FREITAS R,3 - 4,165,BRA,2:45,Goal,1
Action shot,12.0,5,5,3,BRA,2.0,ARAKI K,3 - 5,127,JPN,2:07,Goal,1
Counter attack,11.0,5,5,3,BRA,4.0,OKAWA K,3 - 5,224,JPN,3:44,Saved,0
5m shot,2.0,5,9,7,BRA,4.0,ADACHI S,7 - 9,187,JPN,3:07,Goal,1
Action shot,10.0,5,9,7,BRA,4.0,INABA K,7 - 9,151,JPN,2:31,Post,0
Extra player shot,6.0,5,6,3,BRA,2.0,IIDA A,3 - 6,93,JPN,1:33,Goal,1
Action shot,10.0,5,6,4,BRA,2.0,CARRULO H,4 - 6,28,BRA,0:28,Goal,1
Penalty shot,9.0,5,7,4,BRA,2.0,ARAI A,4 - 7,5,JPN,0:05,Goal,1
5m shot,11.0,5,7,4,BRA,2.0,GUIMARAES G,4 - 7,1,BRA,0:01,Missed,0
5m shot,4.0,5,7,4,BRA,3.0,SHIGA M,4 - 7,455,JPN,7:35,Missed,0
5m shot,11.0,5,7,4,BRA,3.0,OKAWA K,4 - 7,418,JPN,6:58,Saved,0
