Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Goal,6.0,4,6,1,AUS,2.0,AVRAMIDOU A,1 - 4,48,GRE,0:48
Turnover foul,5.0,4,6,1,AUS,2.0,BISHOP I,1 - 4,31,AUS,0:31
Steal,13.0,4,6,1,AUS,2.0,DIAMANTOPOULOU C,1 - 4,31,GRE,0:31
Action shot - Goal,2.0,5,6,1,AUS,2.0,TSOUKALA C,1 - 5,3,GRE,0:03
5m shot - Blocked,5.0,5,6,1,AUS,2.0,BISHOP I,1 - 5,1,AUS,0:01
Starting goalkeeper,1.0,5,6,1,AUS,3.0,YANITSAS L,1 - 5,480,AUS,8:00
Starting goalkeeper,13.0,5,6,1,AUS,3.0,DIAMANTOPOULOU C,1 - 5,480,GRE,8:00
Sprint won possession,11.0,5,6,1,AUS,3.0,PLEVRITOU E,1 - 5,480,GRE,8:00
20 sec. exclusion in centre,3.0,5,6,1,AUS,3.0,BUCKLING H,1 - 5,457,AUS,7:37
Turnover foul,10.0,5,6,1,AUS,3.0,MANOLIOUDAKI T,1 - 5,439,GRE,7:19
Steal,5.0,5,6,1,AUS,3.0,BISHOP I,1 - 5,439,AUS,7:19
20 sec. exclusion in field,7.0,5,6,1,AUS,3.0,ASIMAKI A,1 - 5,420,GRE,7:00
Action shot - Missed,2.0,5,6,1,AUS,3.0,GOFERS K,1 - 5,395,AUS,6:35
Turnover foul,12.0,5,6,1,AUS,3.0,XENAKI E,1 - 5,369,GRE,6:09
Steal,6.0,5,6,1,AUS,3.0,RIDGE A,1 - 5,369,AUS,6:09
20 sec. exclusion in field,12.0,5,6,1,AUS,3.0,XENAKI E,1 - 5,366,GRE,6:06
Time-Out,,5,6,1,AUS,3.0,,1 - 5,366,AUS,6:06
Extra player shot - Missed,7.0,5,6,1,AUS,3.0,WEBSTER R,1 - 5,347,AUS,5:47
5m shot - Goal,3.0,6,6,1,AUS,3.0,DIAMANTOPOULOU V,1 - 6,325,GRE,5:25
Action shot - Saved,9.0,6,6,1,AUS,3.0,ARANCINI Z,1 - 6,296,AUS,4:56
Turnover foul,7.0,6,6,1,AUS,3.0,ASIMAKI A,1 - 6,274,GRE,4:34
Action shot - Goal,3.0,6,6,2,AUS,3.0,BUCKLING H,2 - 6,245,AUS,4:05
5m shot - Goal,9.0,7,6,2,AUS,3.0,KOTSIA C,2 - 7,222,GRE,3:42
Action shot - Post,9.0,7,6,2,AUS,3.0,ARANCINI Z,2 - 7,197,AUS,3:17
20 sec. exclusion in centre,3.0,7,6,2,AUS,3.0,BUCKLING H,2 - 7,175,AUS,2:55
Time-Out,,7,6,2,AUS,3.0,,2 - 7,175,GRE,2:55
5m shot - Goal,2.0,8,6,2,AUS,3.0,TSOUKALA C,2 - 8,150,GRE,2:30
Action shot - Goal,5.0,8,6,3,AUS,3.0,BISHOP I,3 - 8,129,AUS,2:09
20 sec. exclusion in centre,12.0,8,6,3,AUS,3.0,STEERE M,3 - 8,104,AUS,1:44
Extra player shot - Missed,12.0,8,6,3,AUS,3.0,XENAKI E,3 - 8,85,GRE,1:25
Action shot - Goal,12.0,8,6,4,AUS,3.0,STEERE M,4 - 8,68,AUS,1:08
20 sec. exclusion in field,5.0,8,6,4,AUS,3.0,BISHOP I,4 - 8,49,AUS,0:49
Extra player shot - Saved,11.0,8,6,4,AUS,3.0,PLEVRITOU E,4 - 8,35,GRE,0:35
20 sec. exclusion in centre,11.0,8,6,4,AUS,3.0,PLEVRITOU E,4 - 8,19,GRE,0:19
Extra player shot - Blocked,5.0,8,6,4,AUS,3.0,BISHOP I,4 - 8,1,AUS,0:01
Starting goalkeeper,1.0,8,6,4,AUS,4.0,YANITSAS L,4 - 8,480,AUS,8:00
Starting goalkeeper,13.0,8,6,4,AUS,4.0,DIAMANTOPOULOU C,4 - 8,480,GRE,8:00
Sprint won possession,2.0,8,6,4,AUS,4.0,GOFERS K,4 - 8,480,AUS,8:00
5m shot - Missed,9.0,8,6,4,AUS,4.0,ARANCINI Z,4 - 8,451,AUS,7:31
Turnover foul,7.0,8,6,4,AUS,4.0,ASIMAKI A,4 - 8,423,GRE,7:03
Turnover foul,2.0,8,6,4,AUS,4.0,GOFERS K,4 - 8,394,AUS,6:34
Steal,7.0,8,6,4,AUS,4.0,ASIMAKI A,4 - 8,394,GRE,6:34
Action shot - Post,8.0,8,6,4,AUS,4.0,CHYDIRIOTI I,4 - 8,380,GRE,6:20
Action shot - Goal,7.0,8,6,5,AUS,4.0,WEBSTER R,5 - 8,366,AUS,6:06
Action shot - Saved,7.0,8,6,5,AUS,4.0,ASIMAKI A,5 - 8,335,GRE,5:35
Action shot - Saved,2.0,8,6,5,AUS,4.0,GOFERS K,5 - 8,316,AUS,5:16
