Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Action shot,5.0,5,1,ITA,2.0,BORISOVA M,4,1 - 4,162,RUS,2:42,Blocked,0
Action shot,8.0,5,2,ITA,2.0,BIANCONI R,4,2 - 4,149,ITA,2:29,Goal,1
Action shot,6.0,5,2,ITA,2.0,GORBUNOVA O,4,2 - 4,120,RUS,2:00,Saved,0
Action shot,12.0,5,2,ITA,2.0,DARIO S,4,2 - 4,95,ITA,1:35,Missed,0
Action shot,3.0,5,2,ITA,2.0,PROKOFYEVA E,4,2 - 4,80,RUS,1:20,Post,0
Action shot,4.0,5,3,ITA,2.0,QUEIROLO E,4,3 - 4,63,ITA,1:03,Goal,1
Action shot,11.0,5,3,ITA,2.0,IVANOVA E,4,3 - 4,33,RUS,0:33,Saved,0
Action shot,3.0,5,4,ITA,2.0,GARIBOTTI A,4,4 - 4,7,ITA,0:07,Goal,1
5m shot,3.0,5,4,ITA,2.0,PROKOFYEVA E,4,4 - 4,1,RUS,0:01,Saved,0
5m shot,6.0,5,4,ITA,3.0,GORBUNOVA O,4,4 - 4,453,RUS,7:33,Blocked,0
Action shot,6.0,5,4,ITA,3.0,AIELLO R,4,4 - 4,439,ITA,7:19,Saved,0
Action shot,8.0,5,4,ITA,3.0,BIANCONI R,4,4 - 4,393,ITA,6:33,Blocked,0
Action shot,12.0,5,4,ITA,3.0,RYZHKOVA D,4,4 - 4,372,RUS,6:12,Post,0
Action shot,9.0,5,5,ITA,3.0,EMMOLO G,4,5 - 4,348,ITA,5:48,Goal,1
Extra player shot,5.0,5,5,ITA,3.0,BORISOVA M,5,5 - 5,312,RUS,5:12,Goal,1
5m shot,3.0,5,5,ITA,3.0,GARIBOTTI A,5,5 - 5,284,ITA,4:44,Saved,0
Action shot,6.0,5,5,ITA,3.0,GORBUNOVA O,5,5 - 5,260,RUS,4:20,Post,0
Action shot,4.0,5,5,ITA,3.0,KARIMOVA E,5,5 - 5,238,RUS,3:58,Saved,0
5m shot,3.0,5,6,ITA,3.0,GARIBOTTI A,5,6 - 5,212,ITA,3:32,Goal,1
Extra player shot,9.0,5,7,ITA,3.0,EMMOLO G,5,7 - 5,167,ITA,2:47,Goal,1
5m shot,3.0,5,7,ITA,3.0,PROKOFYEVA E,5,7 - 5,138,RUS,2:18,Post,0
Centre shot,4.0,5,7,ITA,3.0,KARIMOVA E,6,7 - 6,97,RUS,1:37,Goal,1
5m shot,8.0,5,7,ITA,3.0,BIANCONI R,6,7 - 6,71,ITA,1:11,Missed,0
5m shot,5.0,5,7,ITA,3.0,BORISOVA M,6,7 - 6,17,RUS,0:17,Blocked,0
Action shot,6.0,5,7,ITA,3.0,GORBUNOVA O,7,7 - 7,14,RUS,0:14,Goal,1
Extra player shot,5.0,5,7,ITA,3.0,RADICCHI F,7,7 - 7,1,ITA,0:01,Post,0
5m shot,11.0,5,7,ITA,4.0,IVANOVA E,8,7 - 8,452,RUS,7:32,Goal,1
Action shot,11.0,5,7,ITA,4.0,IVANOVA E,9,7 - 9,394,RUS,6:34,Goal,1
5m shot,4.0,5,7,ITA,4.0,KARIMOVA E,9,7 - 9,291,RUS,4:51,Post,0
5m shot,4.0,5,7,ITA,4.0,QUEIROLO E,9,7 - 9,269,ITA,4:29,Saved,0
Extra player shot,8.0,5,8,ITA,4.0,BIANCONI R,9,8 - 9,221,ITA,3:41,Goal,1
5m shot,11.0,5,8,ITA,4.0,IVANOVA E,9,8 - 9,169,RUS,2:49,Saved,0
Action shot,2.0,5,8,ITA,4.0,TABANI C,9,8 - 9,141,ITA,2:21,Saved,0
Extra player shot,8.0,5,8,ITA,4.0,BIANCONI R,9,8 - 9,86,ITA,1:26,Saved,0
Action shot,6.0,5,8,ITA,4.0,AIELLO R,9,8 - 9,2,ITA,0:02,Saved,0
Centre shot,8.0,6,0,USA,1.0,SIMANOVICH A,1,1 - 0,430,RUS,7:10,Goal,1
Action shot,11.0,6,0,USA,1.0,FISCHER M,1,1 - 0,353,USA,5:53,Saved,0
5m shot,3.0,6,0,USA,1.0,PROKOFYEVA E,2,2 - 0,294,RUS,4:54,Goal,1
Action shot,2.0,6,1,USA,1.0,MUSSELMAN M,2,2 - 1,267,USA,4:27,Goal,1
