Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name
2.0,5:47,Action shot - Goal,2 - 3,BRA,COUTINHO G,4.0,2,3,347,5,JPN
2.0,5:24,5m shot - Post,2 - 3,JPN,OKAWA K,11.0,2,3,324,5,JPN
2.0,5:24,Turnover foul,2 - 3,BRA,ROCHA B,9.0,2,3,324,5,JPN
2.0,4:59,5m shot - Missed,2 - 3,JPN,ARAI A,9.0,2,3,299,5,JPN
2.0,4:36,5m shot - Missed,2 - 3,BRA,GUIMARAES G,11.0,2,3,276,5,JPN
2.0,4:22,20 sec. exclusion in centre,2 - 3,BRA,ROCHA B,9.0,2,3,262,5,JPN
2.0,4:15,Extra player shot - Goal,2 - 4,JPN,SHIMIZU Y,7.0,2,4,255,5,JPN
2.0,3:43,Turnover foul,2 - 4,BRA,COUTINHO G,4.0,2,4,223,5,JPN
2.0,3:43,5m shot - Blocked,2 - 4,BRA,COUTINHO G,4.0,2,4,223,5,JPN
2.0,3:22,5m shot - Saved,2 - 4,JPN,IIDA A,6.0,2,4,202,5,JPN
2.0,3:08,20 sec. exclusion in field,2 - 4,JPN,ARAI A,9.0,2,4,188,5,JPN
2.0,2:45,Action shot - Goal,3 - 4,BRA,FREITAS R,12.0,3,4,165,5,JPN
2.0,2:07,Action shot - Goal,3 - 5,JPN,ARAKI K,12.0,3,5,127,5,JPN
2.0,1:45,Turnover foul,3 - 5,BRA,GUIMARAES G,11.0,3,5,105,5,JPN
4.0,4:33,20 sec. exclusion in field,3 - 5,JPN,ARAKI K,12.0,3,5,273,5,JPN
4.0,4:04,Turnover foul,3 - 5,BRA,STELLET P,7.0,3,5,244,5,JPN
4.0,4:04,Steal,3 - 5,JPN,IIDA A,6.0,3,5,244,5,JPN
4.0,3:44,Counter attack - Saved,3 - 5,JPN,OKAWA K,11.0,3,5,224,5,JPN
4.0,3:16,Turnover foul,3 - 5,BRA,SORO S,1.0,3,5,196,5,JPN
4.0,3:16,Steal,3 - 5,JPN,SHIGA M,4.0,3,5,196,5,JPN
4.0,3:07,5m shot - Goal,7 - 9,JPN,ADACHI S,2.0,7,9,187,5,JPN
4.0,2:44,Turnover foul,7 - 9,BRA,GUIMARAES G,11.0,7,9,164,5,JPN
4.0,2:44,Steal,7 - 9,JPN,TANAMURA K,1.0,7,9,164,5,JPN
4.0,2:31,Action shot - Post,7 - 9,JPN,INABA K,10.0,7,9,151,5,JPN
4.0,2:21,Turnover foul,7 - 9,BRA,COUTINHO G,4.0,7,9,141,5,JPN
4.0,1:57,Turnover foul,7 - 9,JPN,ARAI A,9.0,7,9,117,5,JPN
2.0,1:45,20 sec. exclusion in field,7 - 9,BRA,GUIMARAES G,11.0,7,9,105,5,JPN
2.0,1:45,Time-Out,7 - 9,JPN,,,7,9,105,5,JPN
2.0,1:33,Extra player shot - Goal,3 - 6,JPN,IIDA A,6.0,3,6,93,5,JPN
2.0,1:09,Turnover foul,3 - 6,BRA,CRUZ A,2.0,3,6,69,5,JPN
2.0,1:09,Steal,3 - 6,JPN,TANAMURA K,1.0,3,6,69,5,JPN
2.0,0:48,Turnover foul,3 - 6,JPN,SHIMIZU Y,7.0,3,6,48,5,JPN
2.0,0:28,Action shot - Goal,4 - 6,BRA,CARRULO H,10.0,4,6,28,5,JPN
2.0,0:05,Penalty foul,4 - 6,BRA,FREITAS R,12.0,4,6,5,5,JPN
2.0,0:05,Penalty shot - Goal,4 - 7,JPN,ARAI A,9.0,4,7,5,5,JPN
