Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,8.0,5,5,5,FRA,3.0,LOPES DA SILVA C,5 - 5,54,NZL,0:54,Saved,0
Extra player shot,8.0,5,5,6,FRA,3.0,TARDY M,5 - 6,19,FRA,0:19,Goal,1
5m shot,4.0,5,5,6,FRA,3.0,SACRE A,5 - 6,1,FRA,0:01,Missed,0
Extra player shot,8.0,5,6,6,FRA,4.0,LOPES DA SILVA C,6 - 6,453,NZL,7:33,Goal,1
5m shot,6.0,5,6,6,FRA,4.0,LANDRY S,6 - 6,410,NZL,6:50,Missed,0
5m shot,12.0,5,6,6,FRA,4.0,MYLES J,6 - 6,358,NZL,5:58,Saved,0
5m shot,4.0,5,6,6,FRA,4.0,SACRE A,6 - 6,333,FRA,5:33,Missed,0
Extra player shot,2.0,5,6,6,FRA,4.0,LEWIS N,6 - 6,287,NZL,4:47,Post,0
Centre shot,4.0,5,6,6,FRA,4.0,SACRE A,6 - 6,196,FRA,3:16,Saved,0
Counter attack,8.0,5,6,6,FRA,4.0,LOPES DA SILVA C,6 - 6,179,NZL,2:59,Saved,0
5m shot,12.0,5,6,6,FRA,4.0,MYLES J,6 - 6,124,NZL,2:04,Saved,0
5m shot,12.0,5,7,6,FRA,4.0,MYLES J,7 - 6,105,NZL,1:45,Goal,1
5m shot,2.0,5,7,6,FRA,4.0,MILLOT E,7 - 6,77,FRA,1:17,Missed,0
5m shot,2.0,5,7,6,FRA,4.0,MILLOT E,7 - 6,19,FRA,0:19,Saved,0
