Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Goal,9.0,2,2,13,ESP,3.0,FORCA J,13 - 2,165,ESP,2:45
Centre shot - Saved,11.0,2,2,13,ESP,3.0,GARCIA M,13 - 2,114,ESP,1:54
5m shot - Post,3.0,2,2,13,ESP,3.0,PATTISON S,13 - 2,83,NZL,1:23
20 sec. exclusion in centre,5.0,2,2,13,ESP,3.0,LEWIS S,13 - 2,70,NZL,1:10
Exclusion with substitution,5.0,2,2,13,ESP,3.0,LEWIS S,13 - 2,70,NZL,1:10
Extra player shot - Post,11.0,2,2,13,ESP,3.0,GARCIA M,13 - 2,67,ESP,1:07
Extra player shot - Goal,2.0,2,2,14,ESP,3.0,BACH M,14 - 2,61,ESP,1:01
20 sec. exclusion in centre,2.0,2,2,14,ESP,3.0,BACH M,14 - 2,42,ESP,0:42
Time-Out,,2,2,14,ESP,3.0,,14 - 2,42,NZL,0:42
Action shot - Goal,7.0,2,2,15,ESP,3.0,ESPAR C,15 - 2,42,ESP,0:42
Centre shot - Saved,2.0,2,2,15,ESP,3.0,LEWIS N,15 - 2,20,NZL,0:20
Starting goalkeeper,13.0,2,2,15,ESP,4.0,HERRERA P,15 - 2,480,ESP,8:00
Starting goalkeeper,1.0,2,2,15,ESP,4.0,MILLAR B,15 - 2,480,NZL,8:00
Sprint won possession,6.0,2,2,15,ESP,4.0,PAREJA J,15 - 2,480,ESP,8:00
Turnover foul,8.0,2,2,15,ESP,4.0,PENA P,15 - 2,457,ESP,7:37
Turnover foul,12.0,2,2,15,ESP,4.0,MYLES J,15 - 2,431,NZL,7:11
Steal,8.0,2,2,15,ESP,4.0,PENA P,15 - 2,431,ESP,7:11
Action shot - Goal,9.0,2,2,16,ESP,4.0,FORCA J,16 - 2,416,ESP,6:56
Exclusion with substitution,5.0,2,2,16,ESP,4.0,ORTIZ M,16 - 2,405,ESP,6:45
20 sec. exclusion in centre,5.0,2,2,16,ESP,4.0,ORTIZ M,16 - 2,405,ESP,6:45
Centre shot - Missed,12.0,2,2,16,ESP,4.0,MYLES J,16 - 2,381,NZL,6:21
Action shot - Goal,7.0,2,2,17,ESP,4.0,ESPAR C,17 - 2,361,ESP,6:01
Exclusion with substitution,2.0,2,2,17,ESP,4.0,BACH M,17 - 2,345,ESP,5:45
20 sec. exclusion in centre,2.0,2,2,17,ESP,4.0,BACH M,17 - 2,345,ESP,5:45
Extra player shot - Saved,12.0,2,2,17,ESP,4.0,MYLES J,17 - 2,322,NZL,5:22
20 sec. exclusion in centre,6.0,2,2,17,ESP,4.0,LANDRY S,17 - 2,306,NZL,5:06
Extra player shot - Goal,4.0,2,2,18,ESP,4.0,LEITON P,18 - 2,302,ESP,5:02
20 sec. exclusion in centre,10.0,2,2,18,ESP,4.0,TARRAGO R,18 - 2,290,ESP,4:50
Extra player shot - Saved,11.0,2,2,18,ESP,4.0,HUDSON K,18 - 2,274,NZL,4:34
Turnover foul,12.0,2,2,18,ESP,4.0,LOPEZ L,18 - 2,263,ESP,4:23
Steal,11.0,2,2,18,ESP,4.0,HUDSON K,18 - 2,263,NZL,4:23
Penalty foul,3.0,2,2,18,ESP,4.0,PATTISON S,18 - 2,245,NZL,4:05
Penalty shot - Goal,10.0,2,2,19,ESP,4.0,TARRAGO R,19 - 2,245,ESP,4:05
5m shot - Post,8.0,2,2,19,ESP,4.0,LOPES DA SILVA C,19 - 2,227,NZL,3:47
Counter attack - Goal,9.0,2,2,20,ESP,4.0,FORCA J,20 - 2,216,ESP,3:36
20 sec. exclusion in centre,11.0,2,2,20,ESP,4.0,GARCIA M,20 - 2,203,ESP,3:23
Turnover foul,10.0,2,2,20,ESP,4.0,DANCE L,20 - 2,183,NZL,3:03
Penalty foul,10.0,2,2,20,ESP,4.0,DANCE L,20 - 2,171,NZL,2:51
Penalty shot - Goal,12.0,2,2,21,ESP,4.0,LOPEZ L,21 - 2,171,ESP,2:51
5m shot - Missed,4.0,2,2,21,ESP,4.0,LEWIS D,21 - 2,145,NZL,2:25
Extra player shot - Goal,11.0,2,2,23,ESP,4.0,GARCIA M,23 - 2,30,ESP,0:30
Turnover foul,3.0,2,2,23,ESP,4.0,PATTISON S,23 - 2,14,NZL,0:14
Steal,10.0,2,2,23,ESP,4.0,TARRAGO R,23 - 2,14,ESP,0:14
20 sec. exclusion in centre,12.0,2,2,23,ESP,4.0,MYLES J,23 - 2,6,NZL,0:06
Starting goalkeeper,1.0,3,0,0,KAZ,1.0,ZHARKIMBAYEVA A,0 - 0,480,KAZ,8:00
Starting goalkeeper,1.0,3,0,0,KAZ,1.0,MILLAR B,0 - 0,480,NZL,8:00
Sprint won possession,5.0,3,0,0,KAZ,1.0,ZAKIROVA K,0 - 0,480,KAZ,8:00
Turnover foul,7.0,3,0,0,KAZ,1.0,MYRZABEKOVA Z,0 - 0,465,KAZ,7:45
Action shot - Saved,4.0,3,0,0,KAZ,1.0,LEWIS D,0 - 0,452,NZL,7:32
5m shot - Goal,4.0,3,0,1,KAZ,1.0,TUROVA A,1 - 0,429,KAZ,7:09
Turnover foul,6.0,3,0,1,KAZ,1.0,LANDRY S,1 - 0,409,NZL,6:49
Penalty foul,4.0,3,0,1,KAZ,1.0,LEWIS D,1 - 0,392,NZL,6:32
Penalty shot - Goal,11.0,3,0,2,KAZ,1.0,MIRSHINA A,2 - 0,392,KAZ,6:32
Action shot - Saved,6.0,3,0,2,KAZ,1.0,LANDRY S,2 - 0,376,NZL,6:16
5m shot - Post,5.0,3,0,2,KAZ,1.0,ZAKIROVA K,2 - 0,347,KAZ,5:47
Turnover foul,12.0,3,0,2,KAZ,1.0,MYLES J,2 - 0,326,NZL,5:26
Steal,5.0,3,0,2,KAZ,1.0,ZAKIROVA K,2 - 0,326,KAZ,5:26
5m shot - Missed,8.0,3,0,2,KAZ,1.0,SAICHUK O,2 - 0,296,KAZ,4:56
5m shot - Saved,12.0,3,0,2,KAZ,1.0,MYLES J,2 - 0,280,NZL,4:40
Centre shot - Saved,8.0,3,0,2,KAZ,1.0,LOPES DA SILVA C,2 - 0,278,NZL,4:38
Action shot - Goal,7.0,3,0,3,KAZ,1.0,MYRZABEKOVA Z,3 - 0,256,KAZ,4:16
5m shot - Missed,4.0,3,0,3,KAZ,1.0,LEWIS D,3 - 0,233,NZL,3:53
Turnover foul,11.0,3,0,3,KAZ,1.0,MIRSHINA A,3 - 0,216,KAZ,3:36
Action shot - Saved,10.0,3,0,3,KAZ,1.0,DANCE L,3 - 0,188,NZL,3:08
20 sec. exclusion in field,9.0,3,0,3,KAZ,1.0,STONEMAN E,3 - 0,174,NZL,2:54
Time-Out,,3,0,3,KAZ,1.0,,3 - 0,174,KAZ,2:54
Turnover foul,7.0,3,0,3,KAZ,1.0,MYRZABEKOVA Z,3 - 0,147,KAZ,2:27
Penalty foul,10.0,3,0,3,KAZ,1.0,ROGA D,3 - 0,133,KAZ,2:13
Penalty shot - Saved,11.0,3,0,3,KAZ,1.0,HUDSON K,3 - 0,133,NZL,2:13
20 sec. exclusion in centre,9.0,3,0,3,KAZ,1.0,STONEMAN E,3 - 0,119,NZL,1:59
Extra player shot - Missed,8.0,3,0,3,KAZ,1.0,SAICHUK O,3 - 0,99,KAZ,1:39
Time-Out,,3,0,3,KAZ,1.0,,3 - 0,97,NZL,1:37
20 sec. exclusion in field,2.0,3,0,3,KAZ,1.0,LEWIS N,3 - 0,83,NZL,1:23
Extra player shot - Saved,8.0,3,0,3,KAZ,1.0,SAICHUK O,3 - 0,58,KAZ,0:58
20 sec. exclusion in field,11.0,3,0,3,KAZ,1.0,MIRSHINA A,3 - 0,28,KAZ,0:28
Extra player shot - Missed,4.0,3,0,3,KAZ,1.0,LEWIS D,3 - 0,8,NZL,0:08
Starting goalkeeper,1.0,3,0,3,KAZ,2.0,ZHARKIMBAYEVA A,3 - 0,480,KAZ,8:00
