AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
3,5m shot,8.0,6,7,GRE,2.0,YOUNGER A,7 - 3,172,AUS,2:52,Saved,0
4,Extra player shot,2.0,6,7,GRE,2.0,CAMPBELL R,7 - 4,120,AUS,2:00,Goal,1
4,Action shot,2.0,6,7,GRE,2.0,CAMPBELL R,7 - 4,83,AUS,1:23,Saved,0
4,Action shot,8.0,6,7,GRE,2.0,DELAKAS E,7 - 4,54,GRE,0:54,Saved,0
4,Action shot,5.0,6,7,GRE,2.0,FOUNTOULIS I,7 - 4,1,GRE,0:01,Blocked,0
5,Action shot,6.0,6,7,GRE,3.0,GILCHRIST J,7 - 5,457,AUS,7:37,Goal,1
5,Action shot,9.0,6,7,GRE,3.0,MOURIKIS K,7 - 5,405,GRE,6:45,Post,0
6,Extra player shot,8.0,6,7,GRE,3.0,YOUNGER A,7 - 6,334,AUS,5:34,Goal,1
6,Action shot,12.0,6,7,GRE,3.0,VLACHOPOULOS A,7 - 6,287,GRE,4:47,Saved,0
7,Action shot,11.0,6,7,GRE,3.0,HOWDEN R,7 - 7,254,AUS,4:14,Goal,1
7,Centre shot,10.0,6,8,GRE,3.0,KOLOMVOS C,8 - 7,166,GRE,2:46,Goal,1
7,Extra player shot,9.0,6,8,GRE,3.0,SWIFT J,8 - 7,124,AUS,2:04,Saved,0
8,Extra player shot,6.0,6,8,GRE,3.0,GILCHRIST J,8 - 8,123,AUS,2:03,Goal,1
8,Action shot,12.0,6,9,GRE,3.0,VLACHOPOULOS A,9 - 8,96,GRE,1:36,Goal,1
8,Action shot,6.0,6,9,GRE,3.0,PONTIKEAS K,9 - 8,18,GRE,0:18,Blocked,0
9,Counter attack,8.0,6,9,GRE,4.0,YOUNGER A,9 - 9,425,AUS,7:05,Goal,1
9,Centre shot,8.0,6,10,GRE,4.0,DELAKAS E,10 - 9,377,GRE,6:17,Goal,1
9,Centre shot,8.0,6,10,GRE,4.0,YOUNGER A,10 - 9,350,AUS,5:50,Blocked,0
9,5m shot,8.0,6,10,GRE,4.0,DELAKAS E,10 - 9,324,GRE,5:24,Post,0
9,Extra player shot,11.0,6,10,GRE,4.0,HOWDEN R,10 - 9,227,AUS,3:47,Missed,0
9,Action shot,12.0,6,11,GRE,4.0,VLACHOPOULOS A,11 - 9,206,GRE,3:26,Goal,1
9,Action shot,12.0,6,11,GRE,4.0,VLACHOPOULOS A,11 - 9,117,GRE,1:57,Post,0
9,Extra player shot,9.0,6,11,GRE,4.0,SWIFT J,11 - 9,83,AUS,1:23,Saved,0
0,Extra player shot,6.0,7,0,SRB,1.0,PIJETLOVIC D,0 - 0,444,SRB,7:24,Saved,0
0,Extra player shot,4.0,7,0,SRB,1.0,UDOVICIC V,0 - 0,376,SRB,6:16,Blocked,0
0,Centre shot,9.0,7,0,SRB,1.0,SWIFT J,0 - 0,348,AUS,5:48,Saved,0
0,Centre shot,3.0,7,0,SRB,1.0,GOCIC Z,0 - 0,324,SRB,5:24,Saved,0
1,Centre shot,9.0,7,0,SRB,1.0,SWIFT J,1 - 0,295,AUS,4:55,Goal,1
1,Extra player shot,10.0,7,1,SRB,1.0,FILIPOVIC F,1 - 1,267,SRB,4:27,Goal,1
1,Extra player shot,4.0,7,1,SRB,1.0,COTTERILL J,1 - 1,222,AUS,3:42,Blocked,0
2,Action shot,11.0,7,1,SRB,1.0,HOWDEN R,2 - 1,221,AUS,3:41,Goal,1
2,5m shot,10.0,7,2,SRB,1.0,FILIPOVIC F,2 - 2,203,SRB,3:23,Goal,1
2,5m shot,3.0,7,2,SRB,1.0,GOCIC Z,2 - 2,152,SRB,2:32,Post,0
2,Action shot,12.0,7,2,SRB,1.0,MILLER W,2 - 2,123,AUS,2:03,Blocked,0
2,Action shot,4.0,7,2,SRB,1.0,COTTERILL J,2 - 2,74,AUS,1:14,Saved,0
2,Centre shot,8.0,7,2,SRB,1.0,YOUNGER A,2 - 2,67,AUS,1:07,Post,0
2,Penalty shot,10.0,7,2,SRB,1.0,FILIPOVIC F,2 - 2,44,SRB,0:44,Saved,0
2,Counter attack,3.0,7,3,SRB,1.0,GOCIC Z,2 - 3,9,SRB,0:09,Goal,1
2,5m shot,12.0,7,3,SRB,1.0,MILLER W,2 - 3,1,AUS,0:01,Missed,0
