Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Saved,11,9.0,3,5,BRA,3.0,DIAS M,5 - 11,304,BRA,5:04
5m shot - Goal,12,12.0,3,5,BRA,3.0,FOURNIER S,5 - 12,278,CAN,4:38
Goalkeeper substitution,12,13.0,3,5,BRA,3.0,HAGE Y,5 - 12,276,CAN,4:36
Action shot - Blocked,12,10.0,3,5,BRA,3.0,BAHIA V,5 - 12,249,BRA,4:09
Action shot - Blocked,12,9.0,3,5,BRA,3.0,DIAS M,5 - 12,234,BRA,3:54
5m shot - Post,12,3.0,3,5,BRA,3.0,CREVIER A,5 - 12,204,CAN,3:24
Action shot - Saved,12,11.0,3,5,BRA,3.0,DUARTE M,5 - 12,174,BRA,2:54
20 sec. exclusion in centre,12,11.0,3,5,BRA,3.0,DUARTE M,5 - 12,171,BRA,2:51
Extra player shot - Missed,12,12.0,3,5,BRA,3.0,FOURNIER S,5 - 12,154,CAN,2:34
Time-Out,12,,3,5,BRA,3.0,,5 - 12,148,BRA,2:28
5m shot - Blocked,12,3.0,3,5,BRA,3.0,ZABLITH M,5 - 12,121,BRA,2:01
5m shot - Post,12,4.0,3,5,BRA,3.0,WRIGHT E,5 - 12,99,CAN,1:39
Turnover foul,12,7.0,3,5,BRA,3.0,BEKHAZI J,5 - 12,94,CAN,1:34
Steal,12,1.0,3,5,BRA,3.0,CHAMORRO V,5 - 12,94,BRA,1:34
Turnover foul,12,4.0,3,5,BRA,3.0,SOUZA J,5 - 12,66,BRA,1:06
Steal,12,13.0,3,5,BRA,3.0,HAGE Y,5 - 12,66,CAN,1:06
Turnover foul,12,3.0,3,5,BRA,3.0,CREVIER A,5 - 12,47,CAN,0:47
Steal,12,2.0,3,5,BRA,3.0,ABLA D,5 - 12,47,BRA,0:47
Turnover foul,12,10.0,3,5,BRA,3.0,BAHIA V,5 - 12,20,BRA,0:20
20 sec. exclusion in centre,12,12.0,3,5,BRA,3.0,BELORIO L,5 - 12,2,BRA,0:02
Starting goalkeeper,12,1.0,3,5,BRA,4.0,CHAMORRO V,5 - 12,480,BRA,8:00
Starting goalkeeper,12,13.0,3,5,BRA,4.0,HAGE Y,5 - 12,480,CAN,8:00
Sprint won possession,12,9.0,3,5,BRA,4.0,DIAS M,5 - 12,480,BRA,8:00
5m shot - Blocked,12,3.0,3,5,BRA,4.0,ZABLITH M,5 - 12,451,BRA,7:31
Action shot - Goal,13,9.0,3,5,BRA,4.0,McKELVEY H,5 - 13,430,CAN,7:10
Turnover foul,13,10.0,3,5,BRA,4.0,BAHIA V,5 - 13,408,BRA,6:48
Steal,13,4.0,3,5,BRA,4.0,WRIGHT E,5 - 13,408,CAN,6:48
Turnover foul,13,8.0,3,5,BRA,4.0,LEMAY-LAVOIE E,5 - 13,387,CAN,6:27
Steal,13,3.0,3,5,BRA,4.0,ZABLITH M,5 - 13,387,BRA,6:27
5m shot - Blocked,13,3.0,3,5,BRA,4.0,ZABLITH M,5 - 13,360,BRA,6:00
5m shot - Saved,13,9.0,3,5,BRA,4.0,McKELVEY H,5 - 13,334,CAN,5:34
