Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,4.0,8,4,4,CAN,4.0,WRIGHT E,4 - 8,294,CAN,4:54,Saved,0
5m shot,4.0,8,4,4,CAN,4.0,WRIGHT E,4 - 8,249,CAN,4:09,Missed,0
Action shot,4.0,8,4,4,CAN,4.0,WRIGHT E,4 - 8,223,CAN,3:43,Saved,0
5m shot,10.0,8,4,4,CAN,4.0,MANOLIOUDAKI T,4 - 8,197,GRE,3:17,Saved,0
Action shot,5.0,8,4,4,CAN,4.0,EGGENS M,4 - 8,167,CAN,2:47,Blocked,0
Action shot,7.0,8,4,4,CAN,4.0,BEKHAZI J,4 - 8,120,CAN,2:00,Saved,0
5m shot,8.0,8,4,4,CAN,4.0,ROUMPESI A,4 - 8,94,GRE,1:34,Saved,0
5m shot,7.0,8,4,5,CAN,4.0,BEKHAZI J,5 - 8,75,CAN,1:15,Goal,1
Extra player shot,3.0,8,4,5,CAN,4.0,MONTON K,5 - 8,17,CAN,0:17,Saved,0
Counter attack,12.0,8,4,5,CAN,4.0,XENAKI E,5 - 8,2,GRE,0:02,Post,0
5m shot,8.0,0,5,0,ITA,1.0,BIANCONI R,0 - 0,455,ITA,7:35,Saved,0
5m shot,3.0,0,5,0,ITA,1.0,GARIBOTTI A,0 - 0,408,ITA,6:48,Blocked,0
5m shot,8.0,0,5,0,ITA,1.0,ROUMPESI A,0 - 0,378,GRE,6:18,Saved,0
Action shot,6.0,0,5,0,ITA,1.0,AVRAMIDOU A,0 - 0,320,GRE,5:20,Saved,0
5m shot,9.0,0,5,0,ITA,1.0,EMMOLO G,0 - 0,275,ITA,4:35,Missed,0
Action shot,10.0,0,5,0,ITA,1.0,MANOLIOUDAKI T,0 - 0,253,GRE,4:13,Saved,0
5m shot,8.0,0,5,0,ITA,1.0,BIANCONI R,0 - 0,231,ITA,3:51,Saved,0
Action shot,8.0,0,5,0,ITA,1.0,BIANCONI R,0 - 0,178,ITA,2:58,Saved,0
Action shot,7.0,0,5,1,ITA,1.0,DI MARIO T,1 - 0,157,ITA,2:37,Goal,1
Action shot,8.0,0,5,1,ITA,1.0,BIANCONI R,1 - 0,115,ITA,1:55,Post,0
Extra player shot,2.0,0,5,1,ITA,1.0,TSOUKALA C,1 - 0,79,GRE,1:19,Saved,0
5m shot,7.0,0,5,1,ITA,1.0,DI MARIO T,1 - 0,57,ITA,0:57,Blocked,0
Action shot,10.0,0,5,1,ITA,1.0,MANOLIOUDAKI T,1 - 0,19,GRE,0:19,Saved,0
5m shot,4.0,0,5,1,ITA,1.0,QUEIROLO E,1 - 0,0,ITA,0:00,Saved,0
5m shot,2.0,0,5,1,ITA,2.0,TSOUKALA C,1 - 0,456,GRE,7:36,Post,0
Action shot,7.0,1,5,1,ITA,2.0,ASIMAKI A,1 - 1,433,GRE,7:13,Goal,1
Penalty shot,7.0,1,5,2,ITA,2.0,DI MARIO T,2 - 1,407,ITA,6:47,Goal,1
Action shot,3.0,1,5,3,ITA,2.0,GARIBOTTI A,3 - 1,369,ITA,6:09,Goal,1
Action shot,7.0,1,5,3,ITA,2.0,ASIMAKI A,3 - 1,340,GRE,5:40,Saved,0
Extra player shot,8.0,1,5,3,ITA,2.0,BIANCONI R,3 - 1,330,ITA,5:30,Saved,0
Action shot,11.0,1,5,3,ITA,2.0,PLEVRITOU E,3 - 1,303,GRE,5:03,Saved,0
5m shot,8.0,1,5,4,ITA,2.0,BIANCONI R,4 - 1,274,ITA,4:34,Goal,1
Action shot,8.0,1,5,4,ITA,2.0,ROUMPESI A,4 - 1,196,GRE,3:16,Saved,0
5m shot,3.0,1,5,4,ITA,2.0,GARIBOTTI A,4 - 1,168,ITA,2:48,Missed,0
Extra player shot,3.0,2,5,4,ITA,2.0,CHARALAMPIDI S,4 - 2,130,GRE,2:10,Goal,1
Extra player shot,7.0,2,5,4,ITA,2.0,DI MARIO T,4 - 2,86,ITA,1:26,Saved,0
Action shot,2.0,2,5,4,ITA,2.0,TSOUKALA C,4 - 2,64,GRE,1:04,Saved,0
Centre shot,10.0,2,5,4,ITA,2.0,POMERI F,4 - 2,26,ITA,0:26,Saved,0
Action shot,10.0,3,5,4,ITA,2.0,MANOLIOUDAKI T,4 - 3,4,GRE,0:04,Goal,1
Extra player shot,7.0,3,5,5,ITA,3.0,DI MARIO T,5 - 3,437,ITA,7:17,Goal,1
Action shot,4.0,3,5,5,ITA,3.0,KOTSIA C,5 - 3,408,GRE,6:48,Saved,0
Action shot,10.0,3,5,5,ITA,3.0,MANOLIOUDAKI T,5 - 3,368,GRE,6:08,Blocked,0
Action shot,4.0,4,5,5,ITA,3.0,KOTSIA C,5 - 4,319,GRE,5:19,Goal,1
Action shot,5.0,4,5,6,ITA,3.0,RADICCHI F,6 - 4,249,ITA,4:09,Goal,1
5m shot,8.0,4,5,6,ITA,3.0,ROUMPESI A,6 - 4,196,GRE,3:16,Post,0
Centre shot,8.0,4,5,7,ITA,3.0,BIANCONI R,7 - 4,155,ITA,2:35,Goal,1
Action shot,11.0,4,5,7,ITA,3.0,PLEVRITOU E,7 - 4,128,GRE,2:08,Missed,0
Action shot,11.0,4,5,7,ITA,3.0,PLEVRITOU E,7 - 4,97,GRE,1:37,Saved,0
5m shot,11.0,4,5,7,ITA,3.0,BARZON L,7 - 4,74,ITA,1:14,Post,0
