Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,0,3,0,ROU,1.0,SCHENKEL M,0 - 0,480,GER,8:00
Starting goalkeeper,1.0,0,3,0,ROU,1.0,STOENESCU D,0 - 0,480,ROU,8:00
Sprint won possession,10.0,0,3,0,ROU,1.0,OELER M,0 - 0,480,GER,8:00
Penalty foul,6.0,0,3,0,ROU,1.0,BUSILA A,0 - 0,456,ROU,7:36
Penalty shot - Goal,7.0,1,3,0,ROU,1.0,NOSSEK H,1 - 0,456,GER,7:36
Centre shot - Saved,8.0,1,3,0,ROU,1.0,CHIOVEANU M,1 - 0,434,ROU,7:14
Turnover foul,2.0,1,3,0,ROU,1.0,BUKOWSKI E,1 - 0,409,GER,6:49
Steal,7.0,1,3,0,ROU,1.0,MATEI A,1 - 0,409,ROU,6:49
Action shot - Saved,6.0,1,3,0,ROU,1.0,BUSILA A,1 - 0,384,ROU,6:24
Turnover foul,9.0,1,3,0,ROU,1.0,STAMM M,1 - 0,368,GER,6:08
5m shot - Goal,4.0,1,3,1,ROU,1.0,DIACONU N,1 - 1,344,ROU,5:44
Centre shot - Saved,12.0,1,3,1,ROU,1.0,EIDNER D,1 - 1,322,GER,5:22
Turnover foul,11.0,1,3,1,ROU,1.0,GHIBAN A,1 - 1,301,ROU,5:01
Steal,2.0,1,3,1,ROU,1.0,BUKOWSKI E,1 - 1,301,GER,5:01
Turnover foul,12.0,1,3,1,ROU,1.0,EIDNER D,1 - 1,285,GER,4:45
Turnover foul,10.0,1,3,1,ROU,1.0,GEORGESCU R,1 - 1,264,ROU,4:24
Double exclusion,9.0,1,3,1,ROU,1.0,STAMM M,1 - 1,264,GER,4:24
Double exclusion,10.0,1,3,1,ROU,1.0,GEORGESCU R,1 - 1,264,ROU,4:24
20 sec. exclusion in centre,9.0,1,3,1,ROU,1.0,GOANTA D,1 - 1,245,ROU,4:05
Extra player shot - Goal,12.0,2,3,1,ROU,1.0,EIDNER D,2 - 1,243,GER,4:03
Penalty foul,6.0,2,3,1,ROU,1.0,JUENGLING M,2 - 1,224,GER,3:44
Penalty shot - Goal,4.0,2,3,2,ROU,1.0,DIACONU N,2 - 2,224,ROU,3:44
5m shot - Goal,10.0,3,3,2,ROU,1.0,OELER M,3 - 2,204,GER,3:24
20 sec. exclusion in centre,9.0,3,3,2,ROU,1.0,STAMM M,3 - 2,191,GER,3:11
Extra player shot - Saved,5.0,3,3,2,ROU,1.0,TEOHARI D,3 - 2,172,ROU,2:52
20 sec. exclusion in centre,4.0,3,3,2,ROU,1.0,REAL J,3 - 2,152,GER,2:32
Extra player shot - Saved,8.0,3,3,2,ROU,1.0,CHIOVEANU M,3 - 2,132,ROU,2:12
5m shot - Post,11.0,3,3,2,ROU,1.0,GHIBAN A,3 - 2,126,ROU,2:06
20 sec. exclusion in centre,8.0,3,3,2,ROU,1.0,CHIOVEANU M,3 - 2,107,ROU,1:47
Penalty foul,8.0,3,3,2,ROU,1.0,CHIOVEANU M,3 - 2,107,ROU,1:47
Penalty shot - Goal,7.0,4,3,2,ROU,1.0,NOSSEK H,4 - 2,107,GER,1:47
Turnover foul,11.0,4,3,2,ROU,1.0,GHIBAN A,4 - 2,85,ROU,1:25
Action shot - Missed,7.0,4,3,2,ROU,1.0,NOSSEK H,4 - 2,68,GER,1:08
20 sec. exclusion in centre,7.0,4,3,2,ROU,1.0,NOSSEK H,4 - 2,46,GER,0:46
Action shot - Blocked,4.0,4,3,2,ROU,1.0,DIACONU N,4 - 2,25,ROU,0:25
Turnover foul,10.0,4,3,2,ROU,1.0,OELER M,4 - 2,13,GER,0:13
5m shot - Goal,7.0,4,3,3,ROU,1.0,MATEI A,4 - 3,2,ROU,0:02
5m shot - Missed,4.0,4,3,3,ROU,1.0,REAL J,4 - 3,1,GER,0:01
Starting goalkeeper,13.0,4,3,3,ROU,2.0,SCHENKEL M,4 - 3,480,GER,8:00
Starting goalkeeper,1.0,4,3,3,ROU,2.0,STOENESCU D,4 - 3,480,ROU,8:00
Sprint won possession,7.0,4,3,3,ROU,2.0,MATEI A,4 - 3,480,ROU,8:00
Turnover foul,8.0,4,3,3,ROU,2.0,CHIOVEANU M,4 - 3,463,ROU,7:43
Action shot - Goal,8.0,5,3,3,ROU,2.0,SCHUELER P,5 - 3,439,GER,7:19
Turnover foul,8.0,5,3,3,ROU,2.0,CHIOVEANU M,5 - 3,411,ROU,6:51
Steal,2.0,5,3,3,ROU,2.0,BUKOWSKI E,5 - 3,411,GER,6:51
Turnover foul,11.0,5,3,3,ROU,2.0,SCHLOTTERBECK A,5 - 3,392,GER,6:32
Action shot - Saved,5.0,5,3,3,ROU,2.0,TEOHARI D,5 - 3,378,ROU,6:18
Action shot - Saved,7.0,5,3,3,ROU,2.0,NOSSEK H,5 - 3,361,GER,6:01
20 sec. exclusion in centre,12.0,5,3,3,ROU,2.0,CRETU A,5 - 3,351,ROU,5:51
Action shot - Saved,7.0,5,3,3,ROU,2.0,NOSSEK H,5 - 3,326,GER,5:26
Turnover foul,11.0,5,3,3,ROU,2.0,GHIBAN A,5 - 3,302,ROU,5:02
Steal,4.0,5,3,3,ROU,2.0,REAL J,5 - 3,302,GER,5:02
5m shot - Saved,5.0,5,3,3,ROU,2.0,ROHE T,5 - 3,274,GER,4:34
Action shot - Saved,11.0,5,3,3,ROU,2.0,GHIBAN A,5 - 3,250,ROU,4:10
20 sec. exclusion in field,8.0,5,3,3,ROU,2.0,CHIOVEANU M,5 - 3,231,ROU,3:51
Exclusion with substitution,8.0,5,3,3,ROU,2.0,CHIOVEANU M,5 - 3,231,ROU,3:51
Time-Out,,5,3,3,ROU,2.0,,5 - 3,231,GER,3:51
Action shot - Post,7.0,5,3,3,ROU,2.0,NOSSEK H,5 - 3,200,GER,3:20
20 sec. exclusion in field,7.0,5,3,3,ROU,2.0,MATEI A,5 - 3,197,ROU,3:17
Action shot - Goal,12.0,6,3,3,ROU,2.0,EIDNER D,6 - 3,172,GER,2:52
20 sec. exclusion in centre,5.0,6,3,3,ROU,2.0,ROHE T,6 - 3,149,GER,2:29
Action shot - Missed,7.0,6,3,3,ROU,2.0,MATEI A,6 - 3,128,ROU,2:08
Turnover foul,12.0,6,3,3,ROU,2.0,EIDNER D,6 - 3,104,GER,1:44
Steal,4.0,6,3,3,ROU,4.0,REAL J,6 - 3,96,GER,1:36
Action shot - Saved,10.0,6,3,3,ROU,4.0,OELER M,6 - 3,74,GER,1:14
Turnover foul,4.0,6,3,3,ROU,4.0,DIACONU N,6 - 3,47,ROU,0:47
Action shot - Post,10.0,6,3,3,ROU,2.0,GEORGESCU R,6 - 3,88,ROU,1:28
5m shot - Saved,6.0,6,3,3,ROU,2.0,JUENGLING M,6 - 3,61,GER,1:01
5m shot - Goal,8.0,7,3,3,ROU,2.0,SCHUELER P,7 - 3,38,GER,0:38
Goalkeeper substitution,1.0,7,3,3,ROU,2.0,KONG R,7 - 3,23,GER,0:23
Goalkeeper substitution,13.0,7,3,3,ROU,2.0,SCHENKEL M,7 - 3,23,GER,0:23
