Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,11.0,1,2,5,ITA,2.0,AICARDI M,5 - 1,279,ITA,4:39,Goal,1
Action shot,7.0,1,2,5,ITA,2.0,FIGARI N,5 - 1,223,ITA,3:43,Saved,0
Extra player shot,8.0,2,2,5,ITA,2.0,SCHUELER P,5 - 2,189,GER,3:09,Goal,1
5m shot,7.0,2,2,5,ITA,2.0,NOSSEK H,5 - 2,117,GER,1:57,Saved,0
Extra player shot,9.0,2,2,6,ITA,2.0,PRESCIUTTI C,6 - 2,32,ITA,0:32,Goal,1
Extra player shot,10.0,2,2,6,ITA,2.0,OELER M,6 - 2,5,GER,0:05,Saved,0
5m shot,5.0,2,2,7,ITA,3.0,GIORGETTI A,7 - 2,451,ITA,7:31,Goal,1
Extra player shot,5.0,2,2,7,ITA,3.0,GIORGETTI A,7 - 2,391,ITA,6:31,Saved,0
Extra player shot,8.0,2,2,8,ITA,3.0,GALLO V,8 - 2,360,ITA,6:00,Goal,1
Penalty shot,8.0,2,2,8,ITA,3.0,GALLO V,8 - 2,305,ITA,5:05,Saved,0
5m shot,7.0,2,2,8,ITA,3.0,FIGARI N,8 - 2,258,ITA,4:18,Saved,0
5m shot,7.0,3,2,8,ITA,3.0,NOSSEK H,8 - 3,231,GER,3:51,Goal,1
Action shot,4.0,3,2,8,ITA,3.0,FIGLIOLI P,8 - 3,205,ITA,3:25,Saved,0
Extra player shot,6.0,3,2,8,ITA,3.0,JUENGLING M,8 - 3,178,GER,2:58,Blocked,0
Action shot,3.0,4,2,8,ITA,3.0,MIERS E,8 - 4,170,GER,2:50,Goal,1
5m shot,4.0,4,2,8,ITA,3.0,FIGLIOLI P,8 - 4,140,ITA,2:20,Post,0
Action shot,5.0,4,2,8,ITA,3.0,GIORGETTI A,8 - 4,84,ITA,1:24,Blocked,0
5m shot,8.0,4,2,8,ITA,3.0,GALLO V,8 - 4,55,ITA,0:55,Post,0
5m shot,4.0,5,2,8,ITA,3.0,REAL J,8 - 5,26,GER,0:26,Goal,1
5m shot,8.0,5,2,9,ITA,3.0,GALLO V,9 - 5,5,ITA,0:05,Goal,1
5m shot,12.0,5,2,9,ITA,3.0,EIDNER D,9 - 5,1,GER,0:01,Saved,0
Counter attack,9.0,5,2,9,ITA,4.0,PRESCIUTTI C,9 - 5,420,ITA,7:00,Post,0
5m shot,4.0,5,2,9,ITA,4.0,FIGLIOLI P,9 - 5,391,ITA,6:31,Saved,0
5m shot,6.0,5,2,9,ITA,4.0,FELUGO M,9 - 5,363,ITA,6:03,Missed,0
Action shot,6.0,5,2,9,ITA,4.0,FELUGO M,9 - 5,322,ITA,5:22,Post,0
5m shot,4.0,5,2,9,ITA,4.0,REAL J,9 - 5,300,GER,5:00,Saved,0
Centre shot,11.0,5,2,9,ITA,4.0,AICARDI M,9 - 5,275,ITA,4:35,Post,0
Counter attack,11.0,6,2,9,ITA,4.0,SCHLOTTERBECK A,9 - 6,229,GER,3:49,Goal,1
Extra player shot,9.0,6,2,10,ITA,4.0,PRESCIUTTI C,10 - 6,207,ITA,3:27,Goal,1
Centre shot,11.0,6,2,10,ITA,4.0,AICARDI M,10 - 6,165,ITA,2:45,Saved,0
Centre shot,11.0,7,2,10,ITA,4.0,SCHLOTTERBECK A,10 - 7,141,GER,2:21,Goal,1
Action shot,10.0,8,2,10,ITA,4.0,OELER M,10 - 8,52,GER,0:52,Goal,1
Centre shot,11.0,8,2,10,ITA,4.0,AICARDI M,10 - 8,30,ITA,0:30,Saved,0
Penalty shot,7.0,1,3,0,ROU,1.0,NOSSEK H,1 - 0,456,GER,7:36,Goal,1
Centre shot,8.0,1,3,0,ROU,1.0,CHIOVEANU M,1 - 0,434,ROU,7:14,Saved,0
Action shot,6.0,1,3,0,ROU,1.0,BUSILA A,1 - 0,384,ROU,6:24,Saved,0
5m shot,4.0,1,3,1,ROU,1.0,DIACONU N,1 - 1,344,ROU,5:44,Goal,1
Centre shot,12.0,1,3,1,ROU,1.0,EIDNER D,1 - 1,322,GER,5:22,Saved,0
Extra player shot,12.0,2,3,1,ROU,1.0,EIDNER D,2 - 1,243,GER,4:03,Goal,1
Penalty shot,4.0,2,3,2,ROU,1.0,DIACONU N,2 - 2,224,ROU,3:44,Goal,1
5m shot,10.0,3,3,2,ROU,1.0,OELER M,3 - 2,204,GER,3:24,Goal,1
Extra player shot,5.0,3,3,2,ROU,1.0,TEOHARI D,3 - 2,172,ROU,2:52,Saved,0
Extra player shot,8.0,3,3,2,ROU,1.0,CHIOVEANU M,3 - 2,132,ROU,2:12,Saved,0
5m shot,11.0,3,3,2,ROU,1.0,GHIBAN A,3 - 2,126,ROU,2:06,Post,0
Penalty shot,7.0,4,3,2,ROU,1.0,NOSSEK H,4 - 2,107,GER,1:47,Goal,1
Action shot,7.0,4,3,2,ROU,1.0,NOSSEK H,4 - 2,68,GER,1:08,Missed,0
Action shot,4.0,4,3,2,ROU,1.0,DIACONU N,4 - 2,25,ROU,0:25,Blocked,0
5m shot,7.0,4,3,3,ROU,1.0,MATEI A,4 - 3,2,ROU,0:02,Goal,1
5m shot,4.0,4,3,3,ROU,1.0,REAL J,4 - 3,1,GER,0:01,Missed,0
Action shot,8.0,5,3,3,ROU,2.0,SCHUELER P,5 - 3,439,GER,7:19,Goal,1
Action shot,5.0,5,3,3,ROU,2.0,TEOHARI D,5 - 3,378,ROU,6:18,Saved,0
Action shot,7.0,5,3,3,ROU,2.0,NOSSEK H,5 - 3,361,GER,6:01,Saved,0
