Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,7.0,7,1,1,NZL,4.0,HOUGHTON E,1 - 7,386,NZL,6:26,Post,0
Counter attack,8.0,7,1,1,NZL,4.0,LOPES da SILVA C,1 - 7,362,NZL,6:02,Saved,0
5m shot,7.0,7,1,1,NZL,4.0,ESPAR LLAQUET C,1 - 7,342,ESP,5:42,Missed,0
5m shot,3.0,7,1,2,NZL,4.0,MASON K,2 - 7,314,NZL,5:14,Goal,1
Extra player shot,7.0,7,1,2,NZL,4.0,HOUGHTON E,2 - 7,255,NZL,4:15,Saved,0
Extra player shot,3.0,7,1,2,NZL,4.0,ESPAR LLAQUET A,2 - 7,220,ESP,3:40,Missed,0
Extra player shot,10.0,8,1,2,NZL,4.0,CRESPI BARRIGA P,2 - 8,172,ESP,2:52,Goal,1
Extra player shot,12.0,10,1,2,NZL,4.0,LEITON ARRONES P,2 - 10,67,ESP,1:07,Goal,1
Extra player shot,12.0,10,1,2,NZL,4.0,PYE B,2 - 10,28,NZL,0:28,Post,0
5m shot,4.0,10,1,2,NZL,4.0,ORTIZ MUNOZ B,2 - 10,1,ESP,0:01,Post,0
Extra player shot,4.0,1,2,0,USA,1.0,ORTIZ MUNOZ B,0 - 1,435,ESP,7:15,Goal,1
Action shot,2.0,1,2,0,USA,1.0,MUSSELMAN M,0 - 1,408,USA,6:48,Saved,0
Action shot,2.0,1,2,1,USA,1.0,MUSSELMAN M,1 - 1,367,USA,6:07,Goal,1
5m shot,2.0,1,2,2,USA,1.0,MUSSELMAN M,2 - 1,311,USA,5:11,Goal,1
5m shot,4.0,1,2,2,USA,1.0,ORTIZ MUNOZ B,2 - 1,283,ESP,4:43,Saved,0
5m shot,11.0,1,2,2,USA,1.0,GUAL ROVIROSA A,2 - 1,259,ESP,4:19,Missed,0
Centre shot,8.0,1,2,3,USA,1.0,NEUSHUL K,3 - 1,247,USA,4:07,Goal,1
Extra player shot,4.0,1,2,4,USA,1.0,FATTAL R,4 - 1,166,USA,2:46,Goal,1
Centre shot,12.0,1,2,4,USA,1.0,LEITON ARRONES P,4 - 1,148,ESP,2:28,Post,0
Centre shot,9.0,1,2,5,USA,1.0,FISCHER A,5 - 1,121,USA,2:01,Goal,1
Action shot,9.0,1,2,5,USA,1.0,FORCA ARIZA J,5 - 1,98,ESP,1:38,Missed,0
Action shot,4.0,1,2,5,USA,1.0,ORTIZ MUNOZ B,5 - 1,47,ESP,0:47,Saved,0
5m shot,10.0,1,2,6,USA,1.0,NEUSHUL J,6 - 1,18,USA,0:18,Goal,1
Action shot,3.0,1,2,6,USA,1.0,ESPAR LLAQUET A,6 - 1,1,ESP,0:01,Saved,0
Action shot,2.0,1,2,6,USA,2.0,MUSSELMAN M,6 - 1,433,USA,7:13,Saved,0
Action shot,2.0,1,2,6,USA,2.0,MUSSELMAN M,6 - 1,380,USA,6:20,Post,0
