Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Turnover foul,3,3,4,ESP,2.0,PALEY K,1,1 - 4,464,RSA,7:44
20 sec. exclusion in centre,12,3,4,ESP,2.0,WHITE K,1,1 - 4,439,RSA,7:19
Extra player shot - Goal,3,3,5,ESP,2.0,ESPAR LLAQUET A,1,1 - 5,435,ESP,7:15
20 sec. exclusion in centre,5,3,5,ESP,2.0,SCHOOLING M,1,1 - 5,380,RSA,6:20
Extra player shot - Goal,8,3,6,ESP,2.0,PENA CARRASCO M,1,1 - 6,372,ESP,6:12
Turnover foul,4,3,6,ESP,2.0,FAULMANN S,1,1 - 6,355,RSA,5:55
Steal,3,3,6,ESP,2.0,ESPAR LLAQUET A,1,1 - 6,355,ESP,5:55
5m shot - Missed,6,3,6,ESP,2.0,LLORET GOMEZ H,1,1 - 6,343,ESP,5:43
Steal,2,3,6,ESP,2.0,BACH PASCUAL M,1,1 - 6,317,ESP,5:17
5m shot - Goal,9,3,7,ESP,2.0,FORCA ARIZA J,1,1 - 7,291,ESP,4:51
Turnover foul,9,3,7,ESP,2.0,SMIT Z,1,1 - 7,257,RSA,4:17
Steal,10,3,7,ESP,2.0,CRESPI BARRIGA P,1,1 - 7,257,ESP,4:17
20 sec. exclusion in centre,2,3,7,ESP,2.0,PENNEY A,1,1 - 7,253,RSA,4:13
Turnover foul,10,3,7,ESP,2.0,CRESPI BARRIGA P,1,1 - 7,241,ESP,4:01
Steal,2,3,7,ESP,2.0,PENNEY A,1,1 - 7,241,RSA,4:01
Turnover foul,9,3,7,ESP,2.0,SMIT Z,1,1 - 7,217,RSA,3:37
Steal,9,3,7,ESP,2.0,FORCA ARIZA J,1,1 - 7,217,ESP,3:37
5m shot - Post,11,3,7,ESP,2.0,GUAL ROVIROSA A,1,1 - 7,179,ESP,2:59
5m shot - Goal,11,3,8,ESP,2.0,GUAL ROVIROSA A,1,1 - 8,164,ESP,2:44
5m shot - Goal,8,3,9,ESP,2.0,PENA CARRASCO M,1,1 - 9,111,ESP,1:51
Turnover foul,12,3,9,ESP,2.0,WHITE K,1,1 - 9,84,RSA,1:24
Steal,4,3,9,ESP,2.0,ORTIZ MUNOZ B,1,1 - 9,84,ESP,1:24
Turnover foul,12,3,9,ESP,2.0,LEITON ARRONES P,1,1 - 9,62,ESP,1:02
Steal,5,3,9,ESP,2.0,SCHOOLING M,1,1 - 9,62,RSA,1:02
5m shot - Goal,,3,17 RSA,ESP,4.0,BARRETT N,3,3 - 17 RSA,18,11,0:18
Time-Out,,3,17 RSA,ESP,2.0,,3,3 - 17 RSA,62,RSA,1:02
Action shot - Goal,12.0,3,10,ESP,2.0,LEITON ARRONES P,1,1 - 10,8,ESP,0:08
Starting goalkeeper,1.0,3,10,ESP,3.0,THOMAS R,1,1 - 10,480,RSA,8:00
Starting goalkeeper,1.0,3,10,ESP,3.0,ESTER RAMOS L,1,1 - 10,480,ESP,8:00
Sprint won possession,6.0,3,10,ESP,3.0,HALLENDORFF A,1,1 - 10,480,RSA,8:00
Action shot - Goal,12.0,3,11,ESP,3.0,LEITON ARRONES P,1,1 - 11,431,ESP,7:11
Goalkeeper substitution,13.0,3,11,ESP,3.0,DOMENE PEREZ S,1,1 - 11,418,ESP,6:58
Turnover foul,11.0,3,11,ESP,3.0,BARRETT N,1,1 - 11,397,RSA,6:37
5m shot - Saved,2.0,3,11,ESP,3.0,BACH PASCUAL M,1,1 - 11,377,ESP,6:17
Turnover foul,6.0,3,11,ESP,3.0,HALLENDORFF A,1,1 - 11,349,RSA,5:49
20 sec. exclusion in centre,5.0,3,11,ESP,3.0,SCHOOLING M,1,1 - 11,325,RSA,5:25
5m shot - Blocked,10.0,3,11,ESP,3.0,CRESPI BARRIGA P,1,1 - 11,281,ESP,4:41
20 sec. exclusion in centre,6.0,3,11,ESP,3.0,LLORET GOMEZ H,1,1 - 11,280,ESP,4:40
Extra player shot - Saved,11.0,3,11,ESP,3.0,BARRETT N,1,1 - 11,262,RSA,4:22
5m shot - Saved,7.0,3,11,ESP,3.0,ESPAR LLAQUET C,1,1 - 11,234,ESP,3:54
5m shot - Saved,2.0,3,11,ESP,3.0,PENNEY A,1,1 - 11,201,RSA,3:21
Action shot - Post,2.0,3,11,ESP,3.0,PENNEY A,1,1 - 11,171,RSA,2:51
Turnover foul,11.0,3,11,ESP,3.0,GUAL ROVIROSA A,1,1 - 11,165,ESP,2:45
Steal,11.0,3,11,ESP,3.0,BARRETT N,1,1 - 11,165,RSA,2:45
Time-Out,,3,11,ESP,3.0,,1,1 - 11,165,RSA,2:45
Goalkeeper substitution,1.0,3,11,ESP,3.0,ESTER RAMOS L,1,1 - 11,149,ESP,2:29
Turnover foul,2.0,3,11,ESP,3.0,PENNEY A,1,1 - 11,145,RSA,2:25
Goalkeeper substitution,13.0,3,11,ESP,3.0,DOMENE PEREZ S,1,1 - 11,139,ESP,2:19
Action shot - Saved,12.0,3,11,ESP,3.0,LEITON ARRONES P,1,1 - 11,125,ESP,2:05
5m shot - Goal,9.0,3,11,ESP,3.0,SMIT Z,2,2 - 11,102,RSA,1:42
Turnover foul,3.0,3,11,ESP,3.0,ESPAR LLAQUET A,2,2 - 11,79,ESP,1:19
Steal,1.0,3,11,ESP,3.0,THOMAS R,2,2 - 11,79,RSA,1:19
5m shot - Missed,7.0,3,11,ESP,3.0,WESSELS C,2,2 - 11,55,RSA,0:55
