Period,Time,Action,Score,Team,Player,Cap,Opponent,NZL,Seconds,Game,Opponent name
4.0,7:37,20 sec. exclusion in centre,4 - 9,RSA,SCHOOLING M,5.0,4,9,457,2,RSA
4.0,7:19,Extra player shot - Goal,4 - 10,NZL,MYLES A,12.0,4,10,439,2,RSA
4.0,7:06,20 sec. exclusion in field,4 - 10,NZL,MASON K,3.0,4,10,426,2,RSA
4.0,6:54,Extra player shot - Goal,5 - 10,RSA,KAY K,7.0,5,10,414,2,RSA
4.0,3:04,5m shot - Saved,5 - 10,NZL,BOWRY C,10.0,5,10,184,2,RSA
4.0,2:43,Turnover foul,5 - 10,RSA,KEET L,8.0,5,10,163,2,RSA
4.0,2:37,Counter attack - Goal,6 - 12,NZL,MYLES A,12.0,6,12,157,2,RSA
4.0,2:26,Turnover foul,6 - 12,RSA,RAWSTRON C,4.0,6,12,146,2,RSA
4.0,2:26,Steal,6 - 12,NZL,HUDSON K,11.0,6,12,146,2,RSA
4.0,2:05,Action shot - Goal,6 - 13,NZL,LANDRY S,7.0,6,13,125,2,RSA
4.0,1:50,20 sec. exclusion in field,6 - 13,NZL,HUDSON K,11.0,6,13,110,2,RSA
4.0,1:24,Action shot - Goal,7 - 13,RSA,WHITE K,12.0,7,13,84,2,RSA
4.0,0:56,5m shot - Missed,7 - 13,NZL,SIEPRATH L,9.0,7,13,56,2,RSA
4.0,0:52,Time-Out,7 - 13,RSA,,,7,13,52,2,RSA
4.0,0:38,Turnover foul,7 - 13,RSA,SCHMIDT K,2.0,7,13,38,2,RSA
4.0,0:38,Steal,7 - 13,NZL,BOYD A,5.0,7,13,38,2,RSA
4.0,0:11,20 sec. exclusion in centre,7 - 13,RSA,KEET L,8.0,7,13,11,2,RSA
4.0,0:11,Time-Out,7 - 13,NZL,,,7,13,11,2,RSA
1.0,8:00,Starting goalkeeper,0 - 0,NZL,HUTCHINSON I,13.0,0,0,480,3,CHN
1.0,8:00,Starting goalkeeper,0 - 0,CHN,YANG J,1.0,0,0,480,3,CHN
1.0,8:00,Sprint won possession,0 - 0,NZL,MYLES A,12.0,0,0,480,3,CHN
1.0,7:37,Turnover foul,0 - 0,NZL,LEWIS N,4.0,0,0,457,3,CHN
1.0,7:37,Steal,0 - 0,CHN,LIU P,3.0,0,0,457,3,CHN
1.0,7:11,Action shot - Saved,0 - 0,CHN,MA H,10.0,0,0,431,3,CHN
1.0,6:55,Turnover foul,0 - 0,NZL,LEWIS N,4.0,0,0,415,3,CHN
1.0,6:36,5m shot - Goal,1 - 0,CHN,LIU P,3.0,1,0,396,3,CHN
1.0,6:11,5m shot - Post,1 - 0,NZL,MYLES A,12.0,1,0,371,3,CHN
1.0,6:05,Turnover foul,1 - 0,CHN,MA H,10.0,1,0,365,3,CHN
1.0,6:05,Steal,1 - 0,NZL,SIEPRATH L,9.0,1,0,365,3,CHN
1.0,5:50,20 sec. exclusion in centre,1 - 0,CHN,LIU P,3.0,1,0,350,3,CHN
1.0,5:25,Action shot - Saved,1 - 0,NZL,MASON K,3.0,1,0,325,3,CHN
1.0,5:03,20 sec. exclusion in centre,1 - 0,NZL,MYLES A,12.0,1,0,303,3,CHN
1.0,4:38,Action shot - Saved,1 - 0,CHN,TENG F,2.0,1,0,278,3,CHN
1.0,4:21,Turnover foul,1 - 0,CHN,MA H,10.0,1,0,261,3,CHN
1.0,4:21,Steal,1 - 0,NZL,LEWIS D,8.0,1,0,261,3,CHN
1.0,3:56,5m shot - Saved,1 - 0,NZL,MASON K,3.0,1,0,236,3,CHN
1.0,3:30,Action shot - Post,1 - 0,NZL,SIEPRATH L,9.0,1,0,210,3,CHN
1.0,3:15,Action shot - Goal,2 - 0,CHN,ZHANG C,11.0,2,0,195,3,CHN
1.0,2:45,Action shot - Missed,2 - 0,NZL,LANDRY S,7.0,2,0,165,3,CHN
1.0,2:28,Turnover foul,2 - 0,CHN,ZHANG C,11.0,2,0,148,3,CHN
1.0,1:34,Centre shot - Blocked,2 - 0,CHN,HE J,5.0,2,0,94,3,CHN
1.0,1:26,20 sec. exclusion in field,2 - 0,CHN,ZHANG C,11.0,2,0,86,3,CHN
1.0,1:06,Extra player shot - Post,2 - 0,NZL,MASON K,3.0,2,0,66,3,CHN
1.0,0:39,Turnover foul,2 - 0,NZL,COX E,2.0,2,0,39,3,CHN
1.0,0:39,Steal,2 - 0,CHN,SONG D,7.0,2,0,39,3,CHN
1.0,0:23,Action shot - Post,2 - 0,CHN,SONG D,7.0,2,0,23,3,CHN
