Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,11,9.0,3,4,NZL,4.0,MEI X,11 - 4,246,CHN,4:06
Extra player shot - Goal,11,10.0,3,5,NZL,4.0,BOWRY C,11 - 5,232,NZL,3:52
20 sec. exclusion in centre,11,9.0,3,5,NZL,4.0,SIEPRATH L,11 - 5,218,NZL,3:38
Extra player shot - Goal,12,7.0,3,5,NZL,4.0,SONG D,12 - 5,210,CHN,3:30
Action shot - Saved,12,10.0,3,5,NZL,4.0,BOWRY C,12 - 5,184,NZL,3:04
Action shot - Saved,12,2.0,3,5,NZL,4.0,TENG F,12 - 5,156,CHN,2:36
5m shot - Saved,12,10.0,3,5,NZL,4.0,BOWRY C,12 - 5,130,NZL,2:10
20 sec. exclusion in field,12,10.0,3,5,NZL,4.0,BOWRY C,12 - 5,127,NZL,2:07
Exclusion with substitution,12,10.0,3,5,NZL,4.0,BOWRY C,12 - 5,127,NZL,2:07
Time-Out,12,,3,5,NZL,4.0,,12 - 5,127,CHN,2:07
Extra player shot - Goal,13,3.0,3,5,NZL,4.0,LIU P,13 - 5,111,CHN,1:51
20 sec. exclusion in centre,13,3.0,3,5,NZL,4.0,LIU P,13 - 5,93,CHN,1:33
Exclusion with substitution,13,3.0,3,5,NZL,4.0,LIU P,13 - 5,93,CHN,1:33
Turnover foul,13,11.0,3,5,NZL,4.0,HUDSON K,13 - 5,64,NZL,1:04
Steal,13,2.0,3,5,NZL,4.0,TENG F,13 - 5,64,CHN,1:04
Turnover foul,13,7.0,3,5,NZL,4.0,SONG D,13 - 5,55,CHN,0:55
Steal,13,7.0,3,5,NZL,4.0,LANDRY S,13 - 5,55,NZL,0:55
Turnover foul,13,3.0,3,5,NZL,4.0,MASON K,13 - 5,26,NZL,0:26
Steal,13,4.0,3,5,NZL,4.0,SUN Y,13 - 5,26,CHN,0:26
Action shot - Blocked,13,7.0,3,5,NZL,4.0,SONG D,13 - 5,3,CHN,0:03
Starting goalkeeper,0,1.0,4,0,NED,1.0,van der MEIJDEN I,0 - 0,480,NED,8:00
Starting goalkeeper,0,1.0,4,0,NED,1.0,YANG J,0 - 0,480,CHN,8:00
Sprint won possession,0,7.0,4,0,NED,1.0,van BELKUM I,0 - 0,480,NED,8:00
Turnover foul,0,11.0,4,0,NED,1.0,KLAASSEN L,0 - 0,459,NED,7:39
20 sec. exclusion in centre,0,2.0,4,0,NED,1.0,SMIT Y,0 - 0,442,NED,7:22
Turnover foul,0,10.0,4,0,NED,1.0,MA H,0 - 0,413,CHN,6:53
