Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,12.0,0,4,8,AUS,2.0,STEERE M,0 - 8,124,AUS,2:04,Saved,0
5m shot,6.0,0,4,8,AUS,2.0,RIDGE A,0 - 8,47,AUS,0:47,Post,0
5m shot,7.0,0,4,8,AUS,2.0,VALVERDE C,0 - 8,25,FRA,0:25,Saved,0
5m shot,4.0,0,4,9,AUS,2.0,HALLIGAN B,0 - 9,1,AUS,0:01,Goal,1
Action shot,7.0,0,4,9,AUS,3.0,WEBSTER R,0 - 9,438,AUS,7:18,Saved,0
Action shot,7.0,0,4,9,AUS,3.0,VALVERDE C,0 - 9,414,FRA,6:54,Missed,0
Action shot,2.0,0,4,9,AUS,3.0,MILLOT E,0 - 9,364,FRA,6:04,Saved,0
Action shot,5.0,0,4,9,AUS,3.0,BISHOP I,0 - 9,345,AUS,5:45,Missed,0
Extra player shot,2.0,1,4,9,AUS,3.0,MILLOT E,1 - 9,299,FRA,4:59,Goal,1
Extra player shot,7.0,1,4,9,AUS,3.0,WEBSTER R,1 - 9,202,AUS,3:22,Blocked,0
5m shot,12.0,1,4,9,AUS,3.0,STEERE M,1 - 9,171,AUS,2:51,Post,0
Extra player shot,4.0,1,4,9,AUS,3.0,SACRE A,1 - 9,44,FRA,0:44,Missed,0
Extra player shot,9.0,1,4,10,AUS,3.0,ARANCINI Z,1 - 10,13,AUS,0:13,Goal,1
Action shot,3.0,1,4,11,AUS,4.0,BUCKLING H,1 - 11,436,AUS,7:16,Goal,1
5m shot,2.0,1,4,11,AUS,4.0,MILLOT E,1 - 11,407,FRA,6:47,Blocked,0
Counter attack,10.0,1,4,12,AUS,4.0,MIHAILOVIC L,1 - 12,391,AUS,6:31,Goal,1
Centre shot,4.0,1,4,13,AUS,4.0,HALLIGAN B,1 - 13,346,AUS,5:46,Goal,1
5m shot,8.0,2,4,13,AUS,4.0,BATTU A,2 - 13,317,FRA,5:17,Goal,1
Action shot,9.0,2,4,14,AUS,4.0,ARANCINI Z,2 - 14,290,AUS,4:50,Goal,1
Centre shot,8.0,2,4,14,AUS,4.0,ZIMMERMAN J,2 - 14,240,AUS,4:00,Saved,0
5m shot,7.0,2,4,14,AUS,4.0,VALVERDE C,2 - 14,219,FRA,3:39,Missed,0
Extra player shot,9.0,2,4,15,AUS,4.0,ARANCINI Z,2 - 15,175,AUS,2:55,Goal,1
5m shot,5.0,2,4,15,AUS,4.0,GUILLET L,2 - 15,131,FRA,2:11,Post,0
5m shot,11.0,2,4,16,AUS,4.0,BAXTER M,2 - 16,105,AUS,1:45,Goal,1
Extra player shot,3.0,2,4,16,AUS,4.0,BACHELIER L,2 - 16,58,FRA,0:58,Post,0
5m shot,10.0,2,4,16,AUS,4.0,MIHAILOVIC L,2 - 16,33,AUS,0:33,Missed,0
5m shot,3.0,2,4,16,AUS,4.0,BACHELIER L,2 - 16,3,FRA,0:03,Saved,0
5m shot,8.0,0,5,0,CHN,1.0,ZHANG C,0 - 0,398,CHN,6:38,Saved,0
Action shot,6.0,0,5,1,CHN,1.0,GUO N,1 - 0,357,CHN,5:57,Goal,1
5m shot,5.0,0,5,1,CHN,1.0,GUILLET L,1 - 0,326,FRA,5:26,Post,0
5m shot,5.0,0,5,1,CHN,1.0,GUILLET L,1 - 0,299,FRA,4:59,Saved,0
Centre shot,4.0,1,5,1,CHN,1.0,SACRE A,1 - 1,250,FRA,4:10,Goal,1
