Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,2,10.0,3,3,USA,2.0,HUTTEN T,2 - 3,190,USA,3:10
Turnover foul,2,8.0,3,3,USA,2.0,AZEVEDO A,2 - 3,162,USA,2:42
Steal,2,8.0,3,3,USA,2.0,GRAHAM K,2 - 3,162,CAN,2:42
Turnover foul,2,3.0,3,3,USA,2.0,VIKALO O,2 - 3,135,CAN,2:15
Steal,2,8.0,3,3,USA,2.0,AZEVEDO A,2 - 3,135,USA,2:15
Turnover foul,2,8.0,3,3,USA,2.0,AZEVEDO A,2 - 3,106,USA,1:46
Turnover foul,2,6.0,3,3,USA,2.0,ROBINSON S,2 - 3,85,CAN,1:25
Steal,2,8.0,3,3,USA,2.0,AZEVEDO A,2 - 3,85,USA,1:25
Turnover foul,2,7.0,3,3,USA,2.0,KRUMPHOLZ J,2 - 3,63,USA,1:03
Turnover foul,2,8.0,3,3,USA,2.0,GRAHAM K,2 - 3,51,CAN,0:51
Action shot - Post,2,9.0,3,3,USA,2.0,BUCKNER S,2 - 3,34,USA,0:34
Turnover foul,2,10.0,3,3,USA,2.0,CONWAY J,2 - 3,11,CAN,0:11
Steal,2,1.0,3,3,USA,2.0,MOSES M,2 - 3,11,USA,0:11
5m shot - Saved,2,5.0,3,3,USA,2.0,de TRANE M,2 - 3,1,USA,0:01
Starting goalkeeper,2,1.0,3,3,USA,3.0,MOSES M,2 - 3,480,USA,8:00
Starting goalkeeper,2,1.0,3,3,USA,3.0,RANDALL R,2 - 3,480,CAN,8:00
Sprint won possession,2,11.0,3,3,USA,3.0,ROSENTHAL M,2 - 3,480,USA,8:00
Action shot - Goal,2,4.0,3,4,USA,3.0,BOWEN A,2 - 4,451,USA,7:31
