Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Extra player shot,8.0,5,2,FRA,2.0,CARNIGLIA N,2 - 2,301,USA,5:01,2,Goal,1
5m shot,7.0,5,2,FRA,2.0,CROUSILLAT U,2 - 2,277,FRA,4:37,2,Missed,0
5m shot,10.0,5,2,FRA,2.0,RAMIREZ C,2 - 2,249,USA,4:09,2,Saved,0
5m shot,6.0,5,2,FRA,2.0,CUPIDO L,2 - 2,232,USA,3:52,2,Post,0
Extra player shot,12.0,5,2,FRA,2.0,IRVING M,2 - 3,163,USA,2:43,3,Goal,1
Extra player shot,9.0,5,3,FRA,2.0,MARZOUKI M,3 - 3,137,FRA,2:17,3,Goal,1
Extra player shot,10.0,5,3,FRA,4.0,RAMIREZ C,3 - 3,182,USA,3:02,3,Saved,0
5m shot,6.0,5,3,FRA,4.0,CUPIDO L,3 - 3,176,USA,2:56,3,Post,0
Action shot,9.0,5,3,FRA,4.0,MARZOUKI M,3 - 3,155,FRA,2:35,3,Saved,0
5m shot,9.0,5,8,FRA,4.0,BOWEN A,8 - 9,130,USA,2:10,9,Goal,1
Action shot,7.0,5,8,FRA,2.0,CROUSILLAT U,8 - 9,43,FRA,0:43,9,Saved,0
