AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
10,Turnover foul,8.0,7,7,RUS,4.0,YOUNGER A,7 - 10,321,AUS,5:21
10,Steal,1.0,7,7,RUS,4.0,KORNEEV K,7 - 10,321,RUS,5:21
10,20 sec. exclusion in centre,3.0,7,7,RUS,4.0,FORD G,7 - 10,300,AUS,5:00
10,Exclusion with substitution,3.0,7,7,RUS,4.0,FORD G,7 - 10,300,AUS,5:00
10,Extra player shot - Saved,8.0,7,7,RUS,4.0,NAGAEV I,7 - 10,284,RUS,4:44
10,5m shot - Saved,7.0,7,7,RUS,4.0,GILCHRIST J,7 - 10,259,AUS,4:19
10,Action shot - Post,7.0,7,7,RUS,4.0,MERKULOV D,7 - 10,231,RUS,3:51
10,Centre shot - Missed,8.0,7,7,RUS,4.0,YOUNGER A,7 - 10,202,AUS,3:22
10,Time-Out,,7,7,RUS,4.0,,7 - 10,202,RUS,3:22
10,Action shot - Saved,10.0,7,7,RUS,4.0,KHOLOD D,7 - 10,176,RUS,2:56
10,20 sec. exclusion in field,9.0,7,7,RUS,4.0,FORD A,7 - 10,161,AUS,2:41
10,Extra player shot - Saved,6.0,7,7,RUS,4.0,ASHAEV A,7 - 10,153,RUS,2:33
10,5m shot - Saved,11.0,7,7,RUS,4.0,HOLLIS L,7 - 10,130,AUS,2:10
10,Turnover foul,2.0,7,7,RUS,4.0,PUTT T,7 - 10,70,AUS,1:10
10,20 sec. exclusion in centre,2.0,7,7,RUS,4.0,PUTT T,7 - 10,45,AUS,0:45
10,Extra player shot - Post,4.0,7,7,RUS,4.0,DEREVIANKIN N,7 - 10,39,RUS,0:39
10,Extra player shot - Saved,8.0,7,7,RUS,4.0,NAGAEV I,7 - 10,30,RUS,0:30
