Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name
3.0,4:31,Time-Out,10 - 4,CHN,,,10,4,271,3,CHN
3.0,4:04,Turnover foul,10 - 4,CHN,CHEN X,11.0,10,4,244,3,CHN
3.0,4:04,Steal,10 - 4,ITA,PICOZZI D,7.0,10,4,244,3,CHN
3.0,3:40,5m shot - Post,10 - 4,ITA,TABANI C,2.0,10,4,220,3,CHN
3.0,3:17,Centre shot - Post,10 - 4,ITA,PALMIERI V,10.0,10,4,197,3,CHN
3.0,2:55,5m shot - Saved,10 - 4,CHN,ZHAO Z,9.0,10,4,175,3,CHN
3.0,2:27,Action shot - Goal,11 - 4,ITA,TABANI C,2.0,11,4,147,3,CHN
3.0,1:59,5m shot - Saved,11 - 4,CHN,ZHANG C,8.0,11,4,119,3,CHN
3.0,1:38,Centre shot - Goal,12 - 4,ITA,PALMIERI V,10.0,12,4,98,3,CHN
3.0,1:18,Turnover foul,12 - 4,CHN,BI Y,2.0,12,4,78,3,CHN
3.0,1:18,Steal,12 - 4,ITA,GORLERO G,1.0,12,4,78,3,CHN
3.0,0:52,20 sec. exclusion in centre,12 - 4,CHN,BI Y,2.0,12,4,52,3,CHN
3.0,0:48,Extra player shot - Goal,13 - 4,ITA,COTTI A,11.0,13,4,48,3,CHN
3.0,0:19,Turnover foul,13 - 4,CHN,ZHANG D,10.0,13,4,19,3,CHN
3.0,0:19,Steal,13 - 4,ITA,PICOZZI D,7.0,13,4,19,3,CHN
3.0,0:01,5m shot - Saved,13 - 4,ITA,GARIBOTTI A,3.0,13,4,1,3,CHN
4.0,8:00,Starting goalkeeper,13 - 4,ITA,GORLERO G,1.0,13,4,480,3,CHN
4.0,8:00,Starting goalkeeper,13 - 4,CHN,PENG L,1.0,13,4,480,3,CHN
4.0,8:00,Goalkeeper substitution,13 - 4,CHN,SHEN Y,13.0,13,4,480,3,CHN
4.0,8:00,Sprint won possession,13 - 4,ITA,DARIO S,12.0,13,4,480,3,CHN
4.0,7:34,5m shot - Post,13 - 4,ITA,EMMOLO G,9.0,13,4,454,3,CHN
4.0,7:12,Turnover foul,13 - 4,CHN,ZHAO Z,9.0,13,4,432,3,CHN
4.0,7:12,Steal,13 - 4,ITA,COTTI A,11.0,13,4,432,3,CHN
4.0,6:47,5m shot - Post,13 - 4,ITA,COTTI A,11.0,13,4,407,3,CHN
4.0,6:23,5m shot - Post,13 - 4,CHN,BI Y,2.0,13,4,383,3,CHN
4.0,6:05,Turnover foul,13 - 4,ITA,DARIO S,12.0,13,4,365,3,CHN
4.0,6:05,Steal,13 - 4,CHN,SHEN Y,13.0,13,4,365,3,CHN
4.0,5:39,Turnover foul,13 - 4,ITA,EMMOLO G,9.0,13,4,339,3,CHN
4.0,5:28,Turnover foul,13 - 4,CHN,ZHAO Z,9.0,13,4,328,3,CHN
4.0,5:19,20 sec. exclusion in field,13 - 4,ITA,COTTI A,11.0,13,4,319,3,CHN
4.0,5:07,Extra player shot - Goal,13 - 5,CHN,CHEN X,11.0,13,5,307,3,CHN
4.0,4:38,Centre shot - Goal,14 - 5,ITA,PALMIERI V,10.0,14,5,278,3,CHN
4.0,4:15,5m shot - Post,14 - 5,CHN,ZHANG J,12.0,14,5,255,3,CHN
4.0,3:55,Turnover foul,14 - 5,ITA,PALMIERI V,10.0,14,5,235,3,CHN
4.0,1:09,5m shot - Post,14 - 5,CHN,NIU G,5.0,14,5,69,3,CHN
4.0,0:58,20 sec. exclusion in centre,14 - 5,ITA,BIANCONI R,8.0,14,5,58,3,CHN
4.0,0:54,Extra player shot - Post,14 - 5,CHN,CHEN X,11.0,14,5,54,3,CHN
4.0,0:31,Centre shot - Saved,14 - 5,ITA,PALMIERI V,10.0,14,5,31,3,CHN
