Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name,Result,Goal
2.0,0:01,5m shot,4 - 4,RUS,PROKOFYEVA E,3.0,4,4,1,4,RUS,Saved,0
3.0,7:33,5m shot,4 - 4,RUS,GORBUNOVA O,6.0,4,4,453,4,RUS,Blocked,0
3.0,7:19,Action shot,4 - 4,ITA,AIELLO R,6.0,4,4,439,4,RUS,Saved,0
3.0,6:33,Action shot,4 - 4,ITA,BIANCONI R,8.0,4,4,393,4,RUS,Blocked,0
3.0,6:12,Action shot,4 - 4,RUS,RYZHKOVA D,12.0,4,4,372,4,RUS,Post,0
3.0,5:48,Action shot,5 - 4,ITA,EMMOLO G,9.0,5,4,348,4,RUS,Goal,1
3.0,5:12,Extra player shot,5 - 5,RUS,BORISOVA M,5.0,5,5,312,4,RUS,Goal,1
3.0,4:44,5m shot,5 - 5,ITA,GARIBOTTI A,3.0,5,5,284,4,RUS,Saved,0
3.0,4:20,Action shot,5 - 5,RUS,GORBUNOVA O,6.0,5,5,260,4,RUS,Post,0
3.0,3:58,Action shot,5 - 5,RUS,KARIMOVA E,4.0,5,5,238,4,RUS,Saved,0
3.0,3:32,5m shot,6 - 5,ITA,GARIBOTTI A,3.0,6,5,212,4,RUS,Goal,1
3.0,2:47,Extra player shot,7 - 5,ITA,EMMOLO G,9.0,7,5,167,4,RUS,Goal,1
3.0,2:18,5m shot,7 - 5,RUS,PROKOFYEVA E,3.0,7,5,138,4,RUS,Post,0
3.0,1:37,Centre shot,7 - 6,RUS,KARIMOVA E,4.0,7,6,97,4,RUS,Goal,1
3.0,1:11,5m shot,7 - 6,ITA,BIANCONI R,8.0,7,6,71,4,RUS,Missed,0
3.0,0:17,5m shot,7 - 6,RUS,BORISOVA M,5.0,7,6,17,4,RUS,Blocked,0
3.0,0:14,Action shot,7 - 7,RUS,GORBUNOVA O,6.0,7,7,14,4,RUS,Goal,1
3.0,0:01,Extra player shot,7 - 7,ITA,RADICCHI F,5.0,7,7,1,4,RUS,Post,0
4.0,7:32,5m shot,7 - 8,RUS,IVANOVA E,11.0,7,8,452,4,RUS,Goal,1
4.0,6:34,Action shot,7 - 9,RUS,IVANOVA E,11.0,7,9,394,4,RUS,Goal,1
4.0,4:51,5m shot,7 - 9,RUS,KARIMOVA E,4.0,7,9,291,4,RUS,Post,0
4.0,4:29,5m shot,7 - 9,ITA,QUEIROLO E,4.0,7,9,269,4,RUS,Saved,0
4.0,3:41,Extra player shot,8 - 9,ITA,BIANCONI R,8.0,8,9,221,4,RUS,Goal,1
4.0,2:49,5m shot,8 - 9,RUS,IVANOVA E,11.0,8,9,169,4,RUS,Saved,0
4.0,2:21,Action shot,8 - 9,ITA,TABANI C,2.0,8,9,141,4,RUS,Saved,0
4.0,1:26,Extra player shot,8 - 9,ITA,BIANCONI R,8.0,8,9,86,4,RUS,Saved,0
4.0,0:02,Action shot,8 - 9,ITA,AIELLO R,6.0,8,9,2,4,RUS,Saved,0
1.0,7:31,Action shot,0 - 0,AUS,BUCKLING H,3.0,0,0,451,5,AUS,Missed,0
1.0,7:20,5m shot,1 - 0,ITA,BIANCONI R,8.0,1,0,440,5,AUS,Goal,1
1.0,7:00,Centre shot,1 - 1,AUS,WEBSTER R,7.0,1,1,420,5,AUS,Goal,1
1.0,6:35,5m shot,1 - 1,ITA,RADICCHI F,5.0,1,1,395,5,AUS,Blocked,0
1.0,6:05,5m shot,1 - 1,AUS,BISHOP I,5.0,1,1,365,5,AUS,Blocked,0
