Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,4,7.0,3,8,CAN,2.0,BEKHAZI J,4 - 8,54,CAN,0:54
Action shot - Post,4,8.0,3,8,CAN,2.0,LEMAY-LAVOIE E,4 - 8,39,CAN,0:39
20 sec. exclusion in centre,4,4.0,3,8,CAN,2.0,WRIGHT E,4 - 8,20,CAN,0:20
Extra player shot - Post,4,10.0,3,8,CAN,2.0,BAHIA V,4 - 8,1,BRA,0:01
Starting goalkeeper,4,1.0,3,8,CAN,3.0,CHAMORRO V,4 - 8,480,BRA,8:00
Starting goalkeeper,4,1.0,3,8,CAN,3.0,GAUDREAULT J,4 - 8,480,CAN,8:00
Sprint won possession,4,6.0,3,8,CAN,3.0,CHRISTMAS K,4 - 8,480,CAN,8:00
20 sec. exclusion in centre,4,10.0,3,8,CAN,3.0,BAHIA V,4 - 8,467,BRA,7:47
Action shot - Goal,4,12.0,3,9,CAN,3.0,FOURNIER S,4 - 9,445,CAN,7:25
5m shot - Saved,4,2.0,3,9,CAN,3.0,ABLA D,4 - 9,418,BRA,6:58
5m shot - Goal,4,9.0,3,10,CAN,3.0,McKELVEY H,4 - 10,393,CAN,6:33
Penalty foul,4,8.0,3,10,CAN,3.0,LEMAY-LAVOIE E,4 - 10,377,CAN,6:17
Penalty shot - Saved,4,9.0,3,10,CAN,3.0,DIAS M,4 - 10,377,BRA,6:17
Action shot - Goal,5,7.0,3,10,CAN,3.0,FERREIRA S,5 - 10,371,BRA,6:11
5m shot - Goal,5,12.0,3,11,CAN,3.0,FOURNIER S,5 - 11,351,CAN,5:51
5m shot - Saved,5,12.0,3,11,CAN,3.0,BELORIO L,5 - 11,329,BRA,5:29
5m shot - Saved,5,9.0,3,11,CAN,3.0,DIAS M,5 - 11,304,BRA,5:04
5m shot - Goal,5,12.0,3,12,CAN,3.0,FOURNIER S,5 - 12,278,CAN,4:38
Goalkeeper substitution,5,13.0,3,12,CAN,3.0,HAGE Y,5 - 12,276,CAN,4:36
