Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,2,9.0,3,3,CAN,1.0,McKELVEY H,2 - 3,169,CAN,2:49,Saved,0
Action shot,2,4.0,3,3,CAN,1.0,WRIGHT E,2 - 3,118,CAN,1:58,Blocked,0
5m shot,2,6.0,3,4,CAN,1.0,CHRISTMAS K,2 - 4,106,CAN,1:46,Goal,1
Extra player shot,2,10.0,3,4,CAN,1.0,BAHIA V,2 - 4,61,BRA,1:01,Blocked,0
5m shot,2,3.0,3,4,CAN,1.0,CREVIER A,2 - 4,38,CAN,0:38,Post,0
Action shot,2,5.0,3,4,CAN,1.0,EGGENS M,2 - 4,10,CAN,0:10,Missed,0
5m shot,2,1.0,3,4,CAN,1.0,CHAMORRO V,2 - 4,1,BRA,0:01,Missed,0
Action shot,2,2.0,3,4,CAN,2.0,ABLA D,2 - 4,427,BRA,7:07,Blocked,0
Action shot,2,4.0,3,4,CAN,2.0,WRIGHT E,2 - 4,405,CAN,6:45,Saved,0
5m shot,2,10.0,3,4,CAN,2.0,BAHIA V,2 - 4,383,BRA,6:23,Post,0
Penalty shot,2,4.0,3,4,CAN,2.0,WRIGHT E,2 - 4,365,CAN,6:05,Saved,0
5m shot,2,9.0,3,4,CAN,2.0,McKELVEY H,2 - 4,338,CAN,5:38,Saved,0
Action shot,2,7.0,3,5,CAN,2.0,BEKHAZI J,2 - 5,329,CAN,5:29,Goal,1
Counter attack,2,12.0,3,5,CAN,2.0,FOURNIER S,2 - 5,295,CAN,4:55,Saved,0
Action shot,2,6.0,3,6,CAN,2.0,CHRISTMAS K,2 - 6,286,CAN,4:46,Goal,1
Extra player shot,3,11.0,3,6,CAN,2.0,DUARTE M,3 - 6,265,BRA,4:25,Goal,1
Action shot,3,2.0,3,7,CAN,2.0,ALOGBO K,3 - 7,245,CAN,4:05,Goal,1
Extra player shot,3,8.0,3,7,CAN,2.0,BRUZZO M,3 - 7,211,BRA,3:31,Saved,0
5m shot,3,6.0,3,8,CAN,2.0,CHRISTMAS K,3 - 8,183,CAN,3:03,Goal,1
Action shot,4,7.0,3,8,CAN,2.0,FERREIRA S,4 - 8,157,BRA,2:37,Goal,1
5m shot,4,10.0,3,8,CAN,2.0,ROBINSON C,4 - 8,135,CAN,2:15,Post,0
Action shot,4,3.0,3,8,CAN,4.0,CREVIER A,4 - 8,71,CAN,1:11,Post,0
Action shot,4,8.0,3,8,CAN,2.0,LEMAY-LAVOIE E,4 - 8,39,CAN,0:39,Post,0
Extra player shot,4,10.0,3,8,CAN,2.0,BAHIA V,4 - 8,1,BRA,0:01,Post,0
Action shot,4,12.0,3,9,CAN,3.0,FOURNIER S,4 - 9,445,CAN,7:25,Goal,1
5m shot,4,2.0,3,9,CAN,3.0,ABLA D,4 - 9,418,BRA,6:58,Saved,0
5m shot,4,9.0,3,10,CAN,3.0,McKELVEY H,4 - 10,393,CAN,6:33,Goal,1
Penalty shot,4,9.0,3,10,CAN,3.0,DIAS M,4 - 10,377,BRA,6:17,Saved,0
Action shot,5,7.0,3,10,CAN,3.0,FERREIRA S,5 - 10,371,BRA,6:11,Goal,1
5m shot,5,12.0,3,11,CAN,3.0,FOURNIER S,5 - 11,351,CAN,5:51,Goal,1
5m shot,5,12.0,3,11,CAN,3.0,BELORIO L,5 - 11,329,BRA,5:29,Saved,0
5m shot,5,9.0,3,11,CAN,3.0,DIAS M,5 - 11,304,BRA,5:04,Saved,0
5m shot,5,12.0,3,12,CAN,3.0,FOURNIER S,5 - 12,278,CAN,4:38,Goal,1
