Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,6.0,3,2,8,MNE,3.0,RADOVIC A,8 - 2,42,MNE,0:42,Missed,0
Counter attack,6.0,3,2,9,MNE,3.0,RADOVIC A,9 - 2,5,MNE,0:05,Goal,1
Extra player shot,7.0,3,2,9,MNE,4.0,SHAKENOV M,9 - 2,436,KAZ,7:16,Blocked,0
Penalty shot,8.0,3,2,9,MNE,4.0,UKROPINA A,9 - 2,423,MNE,7:03,Post,0
Centre shot,10.0,3,2,9,MNE,4.0,RUDAY M,9 - 2,403,KAZ,6:43,Saved,0
5m shot,7.0,3,2,9,MNE,4.0,DRASKOVIC D,9 - 2,377,MNE,6:17,Saved,0
Centre shot,10.0,3,3,9,MNE,4.0,RUDAY M,9 - 3,355,KAZ,5:55,Goal,1
5m shot,2.0,3,3,9,MNE,4.0,MEDVEDEV Y,9 - 3,301,KAZ,5:01,Post,0
Centre shot,10.0,3,3,9,MNE,4.0,MISIC S,9 - 3,276,MNE,4:36,Post,0
5m shot,11.0,3,3,10,MNE,4.0,CUCKOVIC U,10 - 3,221,MNE,3:41,Goal,1
5m shot,11.0,3,3,11,MNE,4.0,CUCKOVIC U,11 - 3,178,MNE,2:58,Goal,1
5m shot,9.0,3,4,11,MNE,4.0,UKUMANOV R,11 - 4,154,KAZ,2:34,Goal,1
Extra player shot,2.0,3,4,12,MNE,4.0,BRGULJAN D,12 - 4,125,MNE,2:05,Goal,1
Centre shot,8.0,3,5,12,MNE,4.0,VERDESH Y,12 - 5,61,KAZ,1:01,Goal,1
5m shot,3.0,3,5,12,MNE,4.0,BANICEVIC B,12 - 5,32,MNE,0:32,Saved,0
Counter attack,8.0,3,5,13,MNE,4.0,UKROPINA A,13 - 5,1,MNE,0:01,Goal,1
Extra player shot,8.0,4,0,0,ITA,1.0,FONDELLI A,0 - 0,443,ITA,7:23,Blocked,0
Action shot,7.0,4,0,0,ITA,1.0,NORA A,0 - 0,384,ITA,6:24,Missed,0
Action shot,8.0,4,0,1,ITA,1.0,FONDELLI A,0 - 1,332,ITA,5:32,Goal,1
Action shot,2.0,4,0,1,ITA,1.0,MEDVEDEV Y,0 - 1,307,KAZ,5:07,Saved,0
Centre shot,6.0,4,0,2,ITA,1.0,MIRARCHI C,0 - 2,290,ITA,4:50,Goal,1
Action shot,10.0,4,0,2,ITA,1.0,RUDAY M,0 - 2,279,KAZ,4:39,Missed,0
Extra player shot,4.0,4,0,3,ITA,1.0,FIGLIOLI P,0 - 3,250,ITA,4:10,Goal,1
Action shot,7.0,4,1,3,ITA,1.0,SHAKENOV M,1 - 3,222,KAZ,3:42,Goal,1
Action shot,2.0,4,1,3,ITA,1.0,di FULVIO F,1 - 3,158,ITA,2:38,Missed,0
Action shot,9.0,4,1,3,ITA,1.0,RENZUTO IODICE V,1 - 3,107,ITA,1:47,Post,0
Extra player shot,9.0,4,1,3,ITA,1.0,UKUMANOV R,1 - 3,65,KAZ,1:05,Saved,0
Action shot,8.0,4,1,3,ITA,1.0,VERDESH Y,1 - 3,59,KAZ,0:59,Blocked,0
5m shot,2.0,4,1,3,ITA,1.0,MEDVEDEV Y,1 - 3,7,KAZ,0:07,Saved,0
5m shot,4.0,4,1,3,ITA,2.0,PILIPENKO R,1 - 3,424,KAZ,7:04,Blocked,0
Penalty shot,2.0,4,1,4,ITA,2.0,di FULVIO F,1 - 4,407,ITA,6:47,Goal,1
Centre shot,11.0,4,1,4,ITA,2.0,MANAFOV R,1 - 4,364,KAZ,6:04,Saved,0
Extra player shot,7.0,4,1,4,ITA,2.0,NORA A,1 - 4,322,ITA,5:22,Post,0
5m shot,12.0,4,1,4,ITA,2.0,TURLYKHANOV B,1 - 4,292,KAZ,4:52,Saved,0
5m shot,7.0,4,2,4,ITA,2.0,SHAKENOV M,2 - 4,249,KAZ,4:09,Goal,1
Extra player shot,2.0,4,2,4,ITA,2.0,di FULVIO F,2 - 4,212,ITA,3:32,Blocked,0
Action shot,9.0,4,2,4,ITA,2.0,UKUMANOV R,2 - 4,136,KAZ,2:16,Saved,0
Centre shot,2.0,4,2,5,ITA,2.0,di FULVIO F,2 - 5,111,ITA,1:51,Goal,1
5m shot,4.0,4,2,5,ITA,2.0,FIGLIOLI P,2 - 5,70,ITA,1:10,Post,0
Action shot,3.0,4,2,5,ITA,2.0,SHVEDOV S,2 - 5,45,KAZ,0:45,Saved,0
Action shot,9.0,4,2,5,ITA,2.0,RENZUTO IODICE V,2 - 5,23,ITA,0:23,Saved,0
5m shot,7.0,4,2,5,ITA,2.0,SHAKENOV M,2 - 5,1,KAZ,0:01,Post,0
Action shot,4.0,4,2,5,ITA,3.0,FIGLIOLI P,2 - 5,451,ITA,7:31,Saved,0
Extra player shot,7.0,4,2,5,ITA,3.0,SHAKENOV M,2 - 5,382,KAZ,6:22,Blocked,0
5m shot,10.0,4,2,5,ITA,3.0,RUDAY M,2 - 5,315,KAZ,5:15,Saved,0
Extra player shot,9.0,4,2,6,ITA,3.0,RENZUTO IODICE V,2 - 6,275,ITA,4:35,Goal,1
Penalty shot,7.0,4,3,6,ITA,3.0,SHAKENOV M,3 - 6,245,KAZ,4:05,Goal,1
Centre shot,10.0,4,3,7,ITA,3.0,BODEGAS M,3 - 7,227,ITA,3:47,Goal,1
Counter attack,3.0,4,3,7,ITA,3.0,SHVEDOV S,3 - 7,172,KAZ,2:52,Saved,0
