Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,0,3.0,3,3,CAN,1.0,VIKALO O,0 - 3,31,CAN,0:31
20 sec. exclusion in field,0,12.0,3,3,CAN,1.0,MCELROY J,0 - 3,31,CAN,0:31
Time-Out,0,,3,3,CAN,1.0,,0 - 3,31,BRA,0:31
Extra player shot - Blocked,0,10.0,3,3,CAN,1.0,PERRONE F,0 - 3,7,BRA,0:07
Action shot - Post,0,10.0,3,3,CAN,1.0,PERRONE F,0 - 3,1,BRA,0:01
Time-Out,0,,3,3,CAN,1.0,,0 - 3,1,CAN,0:01
Starting goalkeeper,0,1.0,3,3,CAN,2.0,ANTONELLI V,0 - 3,480,BRA,8:00
Starting goalkeeper,0,1.0,3,3,CAN,2.0,RANDALL R,0 - 3,480,CAN,8:00
Sprint won possession,0,8.0,3,3,CAN,2.0,GRAHAM K,0 - 3,480,CAN,8:00
Turnover foul,0,2.0,3,3,CAN,2.0,KUDABA C,0 - 3,451,CAN,7:31
Steal,0,10.0,3,3,CAN,2.0,PERRONE F,0 - 3,451,BRA,7:31
20 sec. exclusion in centre,0,2.0,3,3,CAN,2.0,KUDABA C,0 - 3,433,CAN,7:13
Extra player shot - Post,0,6.0,3,3,CAN,2.0,GOMES B,0 - 3,413,BRA,6:53
Action shot - Goal,0,5.0,3,4,CAN,2.0,BOYD J,0 - 4,397,CAN,6:37
Action shot - Saved,0,2.0,3,4,CAN,2.0,CRIVELLA J,0 - 4,374,BRA,6:14
Turnover foul,0,4.0,3,4,CAN,2.0,CONSTANTIN-BICARI,0 - 4,354,CAN,5:54
20 sec. exclusion in field,0,4.0,3,4,CAN,2.0,CONSTANTIN-BICARI,0 - 4,337,CAN,5:37
Extra player shot - Goal,1,8.0,3,4,CAN,2.0,SILVA F,1 - 4,318,BRA,5:18
20 sec. exclusion in field,1,4.0,3,4,CAN,2.0,GONZALEZ I,1 - 4,310,BRA,5:10
Action shot - Saved,1,10.0,3,4,CAN,2.0,CONWAY J,1 - 4,282,CAN,4:42
20 sec. exclusion in centre,1,7.0,3,4,CAN,2.0,TASCHEREAU A,1 - 4,261,CAN,4:21
Action shot - Goal,2,8.0,3,4,CAN,2.0,SILVA F,2 - 4,238,BRA,3:58
5m shot - Missed,2,5.0,3,4,CAN,2.0,BOYD J,2 - 4,214,CAN,3:34
Turnover foul,2,6.0,3,4,CAN,2.0,GOMES B,2 - 4,194,BRA,3:14
20 sec. exclusion in field,2,11.0,3,4,CAN,2.0,GUIMARAES G,2 - 4,175,BRA,2:55
Time-Out,2,,3,4,CAN,2.0,,2 - 4,175,CAN,2:55
Extra player shot - Goal,2,10.0,3,5,CAN,2.0,CONWAY J,2 - 5,155,CAN,2:35
5m shot - Saved,2,10.0,3,5,CAN,2.0,PERRONE F,2 - 5,127,BRA,2:07
Counter attack - Goal,2,5.0,3,6,CAN,2.0,BOYD J,2 - 6,104,CAN,1:44
Penalty foul,2,8.0,3,6,CAN,2.0,GRAHAM K,2 - 6,84,CAN,1:24
Penalty shot - Saved,2,6.0,3,6,CAN,2.0,GOMES B,2 - 6,84,BRA,1:24
5m shot - Saved,2,8.0,3,6,CAN,2.0,GRAHAM K,2 - 6,52,CAN,0:52
20 sec. exclusion in centre,2,8.0,3,6,CAN,2.0,GRAHAM K,2 - 6,35,CAN,0:35
Exclusion with substitution,2,8.0,3,6,CAN,2.0,GRAHAM K,2 - 6,35,CAN,0:35
Extra player shot - Goal,3,6.0,3,6,CAN,2.0,GOMES B,3 - 6,16,BRA,0:16
5m shot - Missed,3,10.0,3,6,CAN,2.0,PERRONE F,3 - 6,1,BRA,0:01
Starting goalkeeper,3,1.0,3,6,CAN,3.0,ANTONELLI V,3 - 6,480,BRA,8:00
