Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Action shot,3.0,3,4,GBR,4.0,McCANN F,16 - 4,45,GBR,0:45,16,Saved,0
Action shot,10.0,4,0,BRA,1.0,RULON K,1 - 0,362,USA,6:02,1,Goal,1
5m shot,3.0,4,0,BRA,1.0,ZABLITH M,1 - 0,334,BRA,5:34,1,Missed,0
5m shot,5.0,4,0,BRA,1.0,CLARK C,1 - 0,311,USA,5:11,1,Post,0
Centre shot,4.0,4,0,BRA,1.0,CANETTI M,1 - 0,292,BRA,4:52,1,Saved,0
Action shot,7.0,4,0,BRA,1.0,DIAS M,1 - 0,258,BRA,4:18,1,Post,0
Action shot,8.0,4,0,BRA,1.0,NEUSHUL K,2 - 0,233,USA,3:53,2,Goal,1
Counter attack,11.0,4,0,BRA,1.0,DRIES A,2 - 0,198,USA,3:18,2,Saved,0
Penalty shot,8.0,4,0,BRA,1.0,NEUSHUL K,2 - 0,177,USA,2:57,2,Missed,0
Action shot,4.0,4,0,BRA,1.0,FATTAL R,2 - 0,130,USA,2:10,2,Missed,0
Extra player shot,3.0,4,0,BRA,1.0,SEIDEMANN M,3 - 0,77,USA,1:17,3,Goal,1
Action shot,10.0,4,0,BRA,2.0,RULON K,3 - 0,452,USA,7:32,3,Post,0
5m shot,10.0,4,0,BRA,2.0,RULON K,4 - 0,442,USA,7:22,4,Goal,1
Action shot,8.0,4,0,BRA,2.0,CHIAPPINI I,4 - 0,395,BRA,6:35,4,Saved,0
Centre shot,12.0,4,0,BRA,2.0,CRAIG K,5 - 0,374,USA,6:14,5,Goal,1
5m shot,3.0,4,0,BRA,2.0,SEIDEMANN M,6 - 0,323,USA,5:23,6,Goal,1
Action shot,2.0,4,0,BRA,2.0,SILVER L,7 - 0,275,USA,4:35,7,Goal,1
Centre shot,11.0,4,0,BRA,2.0,DRIES A,7 - 0,230,USA,3:50,7,Saved,0
Centre shot,11.0,4,0,BRA,2.0,DRIES A,8 - 0,208,USA,3:28,8,Goal,1
Action shot,3.0,4,1,BRA,2.0,ZABLITH M,8 - 1,175,BRA,2:55,8,Goal,1
Action shot,9.0,4,1,BRA,2.0,KRAUS J,9 - 1,128,USA,2:08,9,Goal,1
5m shot,11.0,4,1,BRA,2.0,COUTINHO M,9 - 1,102,BRA,1:42,9,Missed,0
Action shot,4.0,4,1,BRA,2.0,FATTAL R,10 - 1,78,USA,1:18,10,Goal,1
Action shot,4.0,4,1,BRA,2.0,FATTAL R,10 - 1,40,USA,0:40,10,Saved,0
5m shot,10.0,4,1,BRA,3.0,VIGNA F,10 - 1,433,BRA,7:13,10,Missed,0
Centre shot,12.0,4,1,BRA,3.0,CRAIG K,10 - 1,419,USA,6:59,10,Missed,0
5m shot,7.0,4,1,BRA,3.0,DIAS M,10 - 1,391,BRA,6:31,10,Saved,0
Action shot,10.0,4,1,BRA,3.0,RULON K,10 - 1,332,USA,5:32,10,Post,0
Action shot,7.0,4,1,BRA,3.0,MATHEWSON C,10 - 1,280,USA,4:40,10,Saved,0
Action shot,8.0,4,2,BRA,3.0,CHIAPPINI I,10 - 2,208,BRA,3:28,10,Goal,1
