Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
20 sec. exclusion in centre,7.0,6,8,NED,4.0,MATHEWSON C,11 - 8,357,USA,5:57,11
Extra player shot - Goal,2.0,6,9,NED,4.0,SMIT Y,11 - 9,342,NED,5:42,11
Turnover foul,11.0,6,9,NED,4.0,DRIES A,11 - 9,332,USA,5:32,11
Turnover foul,11.0,6,9,NED,4.0,KLAASSEN L,11 - 9,309,NED,5:09,11
Steal,8.0,6,9,NED,4.0,NEUSHUL K,11 - 9,309,USA,5:09,11
Action shot - Missed,2.0,6,9,NED,4.0,SILVER L,11 - 9,284,USA,4:44,11
20 sec. exclusion in field,2.0,6,9,NED,4.0,SILVER L,11 - 9,283,USA,4:43,11
Action shot - Saved,9.0,6,9,NED,4.0,SLAGTER C,11 - 9,260,NED,4:20,11
Action shot - Saved,9.0,6,9,NED,4.0,SLAGTER C,11 - 9,242,NED,4:02,11
20 sec. exclusion in field,8.0,6,9,NED,4.0,SEVENICH V,11 - 9,229,NED,3:49,11
Action shot - Goal,6.0,6,9,NED,4.0,STEFFENS M,12 - 9,204,USA,3:24,12
Turnover foul,7.0,6,9,NED,4.0,van BELKUM I,12 - 9,186,NED,3:06,12
Steal,6.0,6,9,NED,4.0,STEFFENS M,12 - 9,186,USA,3:06,12
Action shot - Missed,4.0,6,9,NED,4.0,FATTAL R,12 - 9,157,USA,2:37,12
Action shot - Goal,6.0,6,10,NED,4.0,STOMPHORST N,12 - 10,138,NED,2:18,12
Turnover foul,11.0,6,10,NED,4.0,DRIES A,12 - 10,113,USA,1:53,12
20 sec. exclusion in centre,3.0,6,10,NED,4.0,SEIDEMANN M,12 - 10,90,USA,1:30,12
Extra player shot - Goal,11.0,6,11,NED,4.0,KLAASSEN L,12 - 11,80,NED,1:20,12
5m shot - Missed,11.0,6,11,NED,4.0,KLAASSEN L,12 - 11,21,NED,0:21,12
Starting goalkeeper,1.0,7,0,GRE,1.0,ARMSTRONG E,0 - 0,480,USA,8:00,0
Starting goalkeeper,1.0,7,0,GRE,1.0,KOUVDOU E,0 - 0,480,GRE,8:00,0
Sprint won possession,6.0,7,0,GRE,1.0,AVRAMIDOU A,0 - 0,480,GRE,8:00,0
Action shot - Saved,8.0,7,0,GRE,1.0,ROUMPESI A,0 - 0,453,GRE,7:33,0
Turnover foul,12.0,7,0,GRE,1.0,CRAIG K,0 - 0,433,USA,7:13,0
5m shot - Goal,10.0,7,1,GRE,1.0,MANOLIOUDAKI T,1 - 0,411,GRE,6:51,0
5m shot - Goal,6.0,7,1,GRE,1.0,STEFFENS M,1 - 1,385,USA,6:25,1
Action shot - Saved,10.0,7,1,GRE,1.0,MANOLIOUDAKI T,1 - 1,357,GRE,5:57,1
Action shot - Goal,6.0,7,2,GRE,1.0,AVRAMIDOU A,2 - 1,301,GRE,5:01,1
Action shot - Goal,5.0,7,2,GRE,1.0,CLARK C,2 - 2,279,USA,4:39,2
20 sec. exclusion in field,6.0,7,2,GRE,1.0,STEFFENS M,2 - 2,271,USA,4:31,2
Extra player shot - Goal,8.0,7,3,GRE,1.0,ROUMPESI A,3 - 2,252,GRE,4:12,2
Action shot - Goal,4.0,7,3,GRE,1.0,FATTAL R,3 - 3,225,USA,3:45,3
Turnover foul,7.0,7,3,GRE,1.0,ASIMAKI A,3 - 3,205,GRE,3:25,3
Turnover foul,11.0,7,3,GRE,1.0,DRIES A,3 - 3,180,USA,3:00,3
Turnover foul,7.0,7,3,GRE,1.0,ASIMAKI A,3 - 3,162,GRE,2:42,3
20 sec. exclusion in field,10.0,7,3,GRE,1.0,MANOLIOUDAKI T,3 - 3,152,GRE,2:32,3
