Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,1.0,2,2,12,HUN,4.0,GANGL E,2 - 12,130,HUN,2:10
5m shot - Post,11.0,2,2,12,HUN,4.0,CSABAI D,2 - 12,116,HUN,1:56
Penalty foul,9.0,2,2,12,HUN,4.0,TOTH I,2 - 12,92,HUN,1:32
Penalty shot - Saved,5.0,2,2,12,HUN,4.0,GUILLET L,2 - 12,92,FRA,1:32
5m shot - Goal,8.0,5,2,22,HUN,4.0,KESZTHELYI R,5 - 22,76,HUN,1:16
Turnover foul,6.0,5,2,22,HUN,2.0,MAHIEU G,5 - 22,57,FRA,0:57
Steal,5.0,5,2,22,HUN,2.0,SZUCS G,5 - 22,57,HUN,0:57
Counter attack - Goal,2.0,2,2,13,HUN,2.0,CZIGANY D,2 - 13,49,HUN,0:49
Turnover foul,11.0,2,2,13,HUN,2.0,BARBIEUX M,2 - 13,34,FRA,0:34
Action shot - Goal,4.0,2,2,14,HUN,2.0,GURISATTI G,2 - 14,8,HUN,0:08
5m shot - Saved,2.0,2,2,14,HUN,2.0,MILLOT E,2 - 14,1,FRA,0:01
Starting goalkeeper,13.0,2,2,14,HUN,3.0,DERENTY L,2 - 14,480,FRA,8:00
Starting goalkeeper,1.0,2,2,14,HUN,3.0,GANGL E,2 - 14,480,HUN,8:00
Sprint won possession,12.0,2,2,14,HUN,3.0,SZILAGYI D,2 - 14,480,HUN,8:00
5m shot - Post,8.0,2,2,14,HUN,3.0,KESZTHELYI R,2 - 14,454,HUN,7:34
Centre shot - Goal,9.0,2,2,15,HUN,3.0,TOTH I,2 - 15,438,HUN,7:18
Turnover foul,6.0,2,2,15,HUN,3.0,MAHIEU G,2 - 15,412,FRA,6:52
Steal,5.0,2,2,15,HUN,3.0,SZUCS G,2 - 15,412,HUN,6:52
Turnover foul,8.0,2,2,15,HUN,3.0,KESZTHELYI R,2 - 15,397,HUN,6:37
Steal,5.0,2,2,15,HUN,3.0,GUILLET L,2 - 15,397,FRA,6:37
Action shot - Saved,2.0,2,2,15,HUN,3.0,MILLOT E,2 - 15,374,FRA,6:14
20 sec. exclusion in field,5.0,2,2,15,HUN,3.0,GUILLET L,2 - 15,366,FRA,6:06
Extra player shot - Goal,6.0,2,2,16,HUN,3.0,TAKACS O,2 - 16,351,HUN,5:51
20 sec. exclusion in centre,9.0,2,2,16,HUN,3.0,TOTH I,2 - 16,338,HUN,5:38
20 sec. exclusion in centre,8.0,2,2,16,HUN,3.0,KESZTHELYI R,2 - 16,325,HUN,5:25
Extra player shot - Goal,9.0,3,2,16,HUN,3.0,SACRE A,3 - 16,316,FRA,5:16
20 sec. exclusion in centre,11.0,3,2,16,HUN,3.0,BARBIEUX M,3 - 16,297,FRA,4:57
Action shot - Goal,12.0,3,2,17,HUN,3.0,SZILAGYI D,3 - 17,275,HUN,4:35
Centre shot - Goal,3.0,4,2,17,HUN,3.0,BACHELIER L,4 - 17,254,FRA,4:14
Turnover foul,10.0,4,2,17,HUN,3.0,BUJKA B,4 - 17,224,HUN,3:44
Turnover foul,12.0,4,2,17,HUN,3.0,SZILAGYI D,4 - 17,182,HUN,3:02
Steal,3.0,4,2,17,HUN,3.0,BACHELIER L,4 - 17,182,FRA,3:02
Turnover foul,3.0,4,2,17,HUN,3.0,BACHELIER L,4 - 17,155,FRA,2:35
Steal,5.0,4,2,17,HUN,3.0,SZUCS G,4 - 17,155,HUN,2:35
Centre shot - Saved,3.0,4,2,17,HUN,3.0,ANTAL D,4 - 17,137,HUN,2:17
Action shot - Goal,5.0,4,2,18,HUN,3.0,SZUCS G,4 - 18,116,HUN,1:56
Turnover foul,3.0,4,2,18,HUN,3.0,BACHELIER L,4 - 18,85,FRA,1:25
Steal,3.0,4,2,18,HUN,3.0,ANTAL D,4 - 18,85,HUN,1:25
Action shot - Goal,10.0,4,2,19,HUN,3.0,BUJKA B,4 - 19,70,HUN,1:10
Turnover foul,7.0,4,2,19,HUN,3.0,VALVERDE C,4 - 19,50,FRA,0:50
Steal,3.0,4,2,19,HUN,3.0,ANTAL D,4 - 19,50,HUN,0:50
20 sec. exclusion in centre,7.0,4,2,19,HUN,3.0,VALVERDE C,4 - 19,34,FRA,0:34
Action shot - Goal,3.0,4,2,20,HUN,3.0,ANTAL D,4 - 20,30,HUN,0:30
20 sec. exclusion in field,5.0,4,2,20,HUN,3.0,SZUCS G,4 - 20,16,HUN,0:16
Extra player shot - Goal,2.0,5,2,20,HUN,3.0,MILLOT E,5 - 20,2,FRA,0:02
Starting goalkeeper,13.0,5,2,20,HUN,4.0,DERENTY L,5 - 20,480,FRA,8:00
Starting goalkeeper,1.0,5,2,20,HUN,4.0,GANGL E,5 - 20,480,HUN,8:00
Sprint won possession,12.0,5,2,20,HUN,4.0,DAULE A,5 - 20,480,FRA,8:00
Turnover foul,12.0,5,2,20,HUN,4.0,DAULE A,5 - 20,466,FRA,7:46
Steal,7.0,5,2,20,HUN,4.0,ILLES A,5 - 20,466,HUN,7:46
Action shot - Goal,10.0,5,2,21,HUN,4.0,BUJKA B,5 - 21,453,HUN,7:33
20 sec. exclusion in field,2.0,5,2,21,HUN,4.0,CZIGANY D,5 - 21,432,HUN,7:12
Extra player shot - Post,2.0,5,2,21,HUN,4.0,MILLOT E,5 - 21,413,FRA,6:53
Action shot - Saved,11.0,5,2,21,HUN,4.0,CSABAI D,5 - 21,386,HUN,6:26
20 sec. exclusion in field,7.0,5,2,21,HUN,4.0,ILLES A,5 - 21,368,HUN,6:08
Extra player shot - Saved,12.0,5,2,21,HUN,4.0,DAULE A,5 - 21,351,FRA,5:51
20 sec. exclusion in field,2.0,5,2,21,HUN,4.0,CZIGANY D,5 - 21,340,HUN,5:40
Exclusion with substitution,2.0,5,2,21,HUN,4.0,CZIGANY D,5 - 21,340,HUN,5:40
Extra player shot - Post,6.0,5,2,21,HUN,4.0,MAHIEU G,5 - 21,324,FRA,5:24
20 sec. exclusion in centre,2.0,5,2,21,HUN,4.0,MILLOT E,5 - 21,298,FRA,4:58
5m shot - Post,11.0,5,2,21,HUN,4.0,CSABAI D,5 - 21,274,HUN,4:34
5m shot - Saved,12.0,5,2,21,HUN,4.0,DAULE A,5 - 21,245,FRA,4:05
5m shot - Saved,10.0,5,2,21,HUN,4.0,BUJKA B,5 - 21,228,HUN,3:48
Centre shot - Missed,10.0,5,2,21,HUN,4.0,BUJKA B,5 - 21,212,HUN,3:32
20 sec. exclusion in field,10.0,5,2,21,HUN,4.0,BUJKA B,5 - 21,212,HUN,3:32
Action shot - Post,4.0,5,2,21,HUN,4.0,GURISATTI G,5 - 21,167,HUN,2:47
Action shot - Blocked,6.0,5,2,21,HUN,4.0,MAHIEU G,5 - 21,48,FRA,0:48
Counter attack - Goal,3.0,5,2,23,HUN,4.0,ANTAL D,5 - 23,39,HUN,0:39
Turnover foul,3.0,5,2,23,HUN,4.0,BACHELIER L,5 - 23,24,FRA,0:24
Steal,11.0,5,2,23,HUN,4.0,CSABAI D,5 - 23,24,HUN,0:24
Action shot - Saved,8.0,5,2,23,HUN,4.0,KESZTHELYI R,5 - 23,10,HUN,0:10
Centre shot - Goal,3.0,5,2,24,HUN,4.0,ANTAL D,5 - 24,3,HUN,0:03
Starting goalkeeper,13.0,0,3,0,JPN,1.0,SHIOYA M,0 - 0,480,JPN,8:00
Starting goalkeeper,1.0,0,3,0,JPN,1.0,COUNIL L,0 - 0,480,FRA,8:00
Sprint won possession,12.0,0,3,0,JPN,1.0,DAULE A,0 - 0,480,FRA,8:00
Turnover foul,7.0,0,3,0,JPN,1.0,VALVERDE C,0 - 0,456,FRA,7:36
Steal,1.0,0,3,0,JPN,1.0,AOKI M,0 - 0,456,JPN,7:36
Action shot - Goal,12.0,0,3,1,JPN,1.0,SUZUKI K,1 - 0,442,JPN,7:22
Centre shot - Goal,6.0,1,3,1,JPN,1.0,MAHIEU G,1 - 1,416,FRA,6:56
5m shot - Goal,5.0,1,3,2,JPN,1.0,SAKANOUE C,2 - 1,393,JPN,6:33
Centre shot - Post,6.0,1,3,2,JPN,1.0,MAHIEU G,2 - 1,362,FRA,6:02
