Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Time-Out,,7,3,6,ESP,4.0,,6 - 7,185,GRE,3:05
Centre shot - Goal,12.0,8,3,6,ESP,4.0,VLACHOPOULOS A,6 - 8,162,GRE,2:42
Turnover foul,7.0,8,3,6,ESP,4.0,SZIRANYI B,6 - 8,136,ESP,2:16
Steal,12.0,8,3,6,ESP,4.0,VLACHOPOULOS A,6 - 8,136,GRE,2:16
20 sec. exclusion in centre,2.0,8,3,6,ESP,4.0,MYLONAKIS E,6 - 8,85,GRE,1:25
Extra player shot - Goal,6.0,8,3,7,ESP,4.0,MINGUELL M,7 - 8,84,ESP,1:24
Time-Out,,8,3,7,ESP,4.0,,7 - 8,83,GRE,1:23
Action shot - Missed,9.0,8,3,7,ESP,4.0,MOURIKIS K,7 - 8,56,GRE,0:56
20 sec. exclusion in field,9.0,8,3,7,ESP,4.0,MOURIKIS K,7 - 8,47,GRE,0:47
Extra player shot - Saved,8.0,8,3,7,ESP,4.0,ESPANOL A,7 - 8,39,ESP,0:39
Turnover foul,7.0,8,3,7,ESP,4.0,SZIRANYI B,7 - 8,29,ESP,0:29
Steal,12.0,8,3,7,ESP,4.0,VLACHOPOULOS A,7 - 8,29,GRE,0:29
Starting goalkeeper,1.0,0,4,0,RSA,1.0,TSALKANIS K,0 - 0,480,GRE,8:00
Starting goalkeeper,1.0,0,4,0,RSA,1.0,FLATSCHER D,0 - 0,480,RSA,8:00
Sprint won possession,12.0,0,4,0,RSA,1.0,VLACHOPOULOS A,0 - 0,480,GRE,8:00
Turnover foul,9.0,0,4,0,RSA,1.0,MOURIKIS K,0 - 0,460,GRE,7:40
Turnover foul,2.0,0,4,0,RSA,1.0,le ROUX E,0 - 0,440,RSA,7:20
Steal,1.0,0,4,0,RSA,1.0,TSALKANIS K,0 - 0,440,GRE,7:20
Action shot - Goal,12.0,1,4,0,RSA,1.0,VLACHOPOULOS A,1 - 0,410,GRE,6:50
Centre shot - Goal,3.0,1,4,1,RSA,1.0,CARD D,1 - 1,389,RSA,6:29
Action shot - Missed,8.0,1,4,1,RSA,1.0,DELAKAS E,1 - 1,364,GRE,6:04
Turnover foul,3.0,1,4,1,RSA,1.0,CARD D,1 - 1,341,RSA,5:41
Steal,12.0,1,4,1,RSA,1.0,VLACHOPOULOS A,1 - 1,341,GRE,5:41
Turnover foul,2.0,1,4,1,RSA,1.0,MYLONAKIS E,1 - 1,321,GRE,5:21
Steal,10.0,1,4,1,RSA,1.0,le ROUX P,1 - 1,321,RSA,5:21
