Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name
2.0,2:52,Action shot - Goal,6 - 3,GER,EIDNER D,12.0,6,3,172,3,GER
2.0,2:29,20 sec. exclusion in centre,6 - 3,GER,ROHE T,5.0,6,3,149,3,GER
2.0,2:08,Action shot - Missed,6 - 3,ROU,MATEI A,7.0,6,3,128,3,GER
2.0,1:44,Turnover foul,6 - 3,GER,EIDNER D,12.0,6,3,104,3,GER
4.0,1:36,Steal,6 - 3,GER,REAL J,4.0,6,3,96,3,GER
4.0,1:14,Action shot - Saved,6 - 3,GER,OELER M,10.0,6,3,74,3,GER
4.0,0:47,Turnover foul,6 - 3,ROU,DIACONU N,4.0,6,3,47,3,GER
2.0,1:28,Action shot - Post,6 - 3,ROU,GEORGESCU R,10.0,6,3,88,3,GER
2.0,1:01,5m shot - Saved,6 - 3,GER,JUENGLING M,6.0,6,3,61,3,GER
2.0,0:38,5m shot - Goal,7 - 3,GER,SCHUELER P,8.0,7,3,38,3,GER
2.0,0:23,Goalkeeper substitution,7 - 3,GER,KONG R,1.0,7,3,23,3,GER
2.0,0:23,Goalkeeper substitution,7 - 3,GER,SCHENKEL M,13.0,7,3,23,3,GER
2.0,0:16,20 sec. exclusion in centre,7 - 3,GER,JUENGLING M,6.0,7,3,16,3,GER
2.0,0:03,Extra player shot - Blocked,7 - 3,ROU,BUSILA A,6.0,7,3,3,3,GER
2.0,0:01,5m shot - Saved,7 - 3,GER,NOSSEK H,7.0,7,3,1,3,GER
3.0,8:00,Starting goalkeeper,7 - 3,ROU,STOENESCU D,1.0,7,3,480,3,GER
3.0,8:00,Starting goalkeeper,7 - 3,GER,SCHENKEL M,13.0,7,3,480,3,GER
3.0,8:00,Sprint won possession,7 - 3,GER,OELER M,10.0,7,3,480,3,GER
3.0,7:34,Turnover foul,7 - 3,GER,NOSSEK H,7.0,7,3,454,3,GER
3.0,7:34,Steal,7 - 3,ROU,GHIBAN A,11.0,7,3,454,3,GER
3.0,7:19,Action shot - Blocked,7 - 3,ROU,GHIBAN A,11.0,7,3,439,3,GER
3.0,6:54,Action shot - Blocked,7 - 3,GER,BUKOWSKI E,2.0,7,3,414,3,GER
3.0,6:36,5m shot - Missed,7 - 3,ROU,GEORGESCU R,10.0,7,3,396,3,GER
3.0,6:16,Turnover foul,7 - 3,GER,OELER M,10.0,7,3,376,3,GER
