Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,2.0,3,1,0,JPN,1.0,BRGULJAN D,0 - 1,380,MNE,6:20
Turnover foul,6.0,3,1,0,JPN,1.0,RADOVIC A,0 - 1,358,MNE,5:58
Steal,6.0,3,1,0,JPN,1.0,IIDA A,0 - 1,358,JPN,5:58
20 sec. exclusion in centre,9.0,3,1,0,JPN,1.0,IVOVIC A,0 - 1,341,MNE,5:41
Extra player shot - Post,9.0,3,1,0,JPN,1.0,TAKEI K,0 - 1,329,JPN,5:29
5m shot - Missed,11.0,3,1,0,JPN,1.0,OKAWA K,0 - 1,300,JPN,5:00
20 sec. exclusion in centre,6.0,3,1,0,JPN,1.0,IIDA A,0 - 1,289,JPN,4:49
Extra player shot - Goal,3.0,3,2,0,JPN,1.0,PASKOVIC V,0 - 2,285,MNE,4:45
Penalty foul,2.0,3,2,0,JPN,1.0,BRGULJAN D,0 - 2,263,MNE,4:23
Penalty shot - Goal,9.0,3,2,1,JPN,1.0,TAKEI K,1 - 2,263,JPN,4:23
Turnover foul,4.0,3,2,1,JPN,1.0,CUCKOVIC U,1 - 2,233,MNE,3:53
Turnover foul,9.0,3,2,1,JPN,1.0,TAKEI K,1 - 2,221,JPN,3:41
Steal,4.0,3,2,1,JPN,1.0,CUCKOVIC U,1 - 2,221,MNE,3:41
Turnover foul,12.0,3,2,1,JPN,1.0,JOKIC P,1 - 2,168,MNE,2:48
Steal,4.0,3,2,1,JPN,1.0,SHIGA M,1 - 2,168,JPN,2:48
Counter attack - Post,4.0,3,2,1,JPN,1.0,SHIGA M,1 - 2,151,JPN,2:31
Action shot - Goal,12.0,3,3,1,JPN,1.0,JOKIC P,1 - 3,123,MNE,2:03
Turnover foul,12.0,3,3,1,JPN,1.0,HAZUI S,1 - 3,99,JPN,1:39
Action shot - Post,6.0,3,3,1,JPN,1.0,RADOVIC A,1 - 3,70,MNE,1:10
Penalty foul,6.0,3,3,1,JPN,1.0,RADOVIC A,1 - 3,42,MNE,0:42
Time-Out,,3,3,1,JPN,1.0,,1 - 3,42,JPN,0:42
Penalty shot - Goal,9.0,3,3,2,JPN,1.0,TAKEI K,2 - 3,42,JPN,0:42
5m shot - Post,4.0,3,3,2,JPN,1.0,CUCKOVIC U,2 - 3,11,MNE,0:11
5m shot - Missed,2.0,3,3,2,JPN,1.0,ADACHI S,2 - 3,0,JPN,0:00
