Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,3,16,8,JPN,4.0,IVOVIC A,8 - 16,171,MNE,2:51,Saved,0
5m shot,10.0,3,16,8,JPN,4.0,MURISIC N,8 - 16,120,MNE,2:00,Saved,0
Action shot,8.0,3,16,8,JPN,4.0,UKROPINA A,8 - 16,30,MNE,0:30,Blocked,0
5m shot,9.0,3,16,10,JPN,4.0,TAKEI K,10 - 16,15,JPN,0:15,Goal,1
Action shot,5.0,3,16,10,JPN,4.0,BRGULJAN D,10 - 16,0,MNE,0:00,Saved,0
5m shot,3.0,4,0,0,KAZ,1.0,AXENOV A,0 - 0,436,KAZ,7:16,Post,0
5m shot,2.0,4,0,1,KAZ,1.0,GUBAREV S,1 - 0,391,KAZ,6:31,Goal,1
5m shot,7.0,4,0,1,KAZ,1.0,JANOVIC M,1 - 0,372,MNE,6:12,Blocked,0
Action shot,9.0,4,0,1,KAZ,1.0,IVOVIC A,1 - 0,340,MNE,5:40,Blocked,0
Counter attack,12.0,4,0,1,KAZ,1.0,JOKIC P,1 - 0,275,MNE,4:35,Missed,0
5m shot,3.0,4,0,2,KAZ,1.0,AXENOV A,2 - 0,244,KAZ,4:04,Goal,1
5m shot,6.0,4,1,2,KAZ,1.0,RADOVIC A,2 - 1,220,MNE,3:40,Goal,1
Counter attack,7.0,4,2,2,KAZ,1.0,JANOVIC M,2 - 2,189,MNE,3:09,Goal,1
Action shot,5.0,4,2,2,KAZ,1.0,BRGULJAN D,2 - 2,88,MNE,1:28,Missed,0
Action shot,2.0,4,2,3,KAZ,1.0,GUBAREV S,3 - 2,50,KAZ,0:50,Goal,1
Extra player shot,7.0,4,2,3,KAZ,2.0,JANOVIC M,3 - 2,439,MNE,7:19,Saved,0
5m shot,9.0,4,2,3,KAZ,2.0,UKUMANOV R,3 - 2,408,KAZ,6:48,Saved,0
Extra player shot,9.0,4,2,3,KAZ,2.0,IVOVIC A,3 - 2,291,MNE,4:51,Saved,0
5m shot,3.0,4,2,3,KAZ,2.0,AXENOV A,3 - 2,268,KAZ,4:28,Saved,0
Action shot,2.0,4,2,3,KAZ,2.0,BRGULJAN D,3 - 2,246,MNE,4:06,Saved,0
5m shot,7.0,4,2,3,KAZ,2.0,JANOVIC M,3 - 2,229,MNE,3:49,Post,0
Extra player shot,3.0,4,2,3,KAZ,2.0,AXENOV A,3 - 2,186,KAZ,3:06,Blocked,0
Action shot,3.0,4,2,4,KAZ,2.0,AXENOV A,4 - 2,176,KAZ,2:56,Goal,1
Extra player shot,5.0,4,3,4,KAZ,2.0,BRGULJAN D,4 - 3,140,MNE,2:20,Goal,1
Penalty shot,7.0,4,4,4,KAZ,2.0,JANOVIC M,4 - 4,96,MNE,1:36,Goal,1
Action shot,3.0,4,4,4,KAZ,2.0,AXENOV A,4 - 4,67,KAZ,1:07,Post,0
Counter attack,12.0,4,5,4,KAZ,2.0,JOKIC P,4 - 5,15,MNE,0:15,Goal,1
Centre shot,9.0,4,5,5,KAZ,2.0,UKUMANOV R,5 - 5,1,KAZ,0:01,Goal,1
5m shot,6.0,4,6,5,KAZ,3.0,RADOVIC A,5 - 6,453,MNE,7:33,Goal,1
Action shot,2.0,4,6,6,KAZ,3.0,GUBAREV S,6 - 6,417,KAZ,6:57,Goal,1
5m shot,5.0,4,6,6,KAZ,3.0,USHAKOV V,6 - 6,366,KAZ,6:06,Blocked,0
Extra player shot,2.0,4,6,6,KAZ,3.0,BRGULJAN D,6 - 6,328,MNE,5:28,Saved,0
Extra player shot,5.0,4,7,6,KAZ,3.0,BRGULJAN D,6 - 7,204,MNE,3:24,Goal,1
Centre shot,9.0,4,8,6,KAZ,3.0,IVOVIC A,6 - 8,155,MNE,2:35,Goal,1
5m shot,9.0,4,8,6,KAZ,3.0,UKUMANOV R,6 - 8,127,KAZ,2:07,Saved,0
5m shot,9.0,4,8,6,KAZ,3.0,UKUMANOV R,6 - 8,115,KAZ,1:55,Blocked,0
Extra player shot,5.0,4,9,6,KAZ,3.0,BRGULJAN D,6 - 9,87,MNE,1:27,Goal,1
Action shot,7.0,4,10,6,KAZ,3.0,JANOVIC M,6 - 10,6,MNE,0:06,Goal,1
5m shot,4.0,4,10,6,KAZ,4.0,PILIPENKO R,6 - 10,431,KAZ,7:11,Saved,0
Extra player shot,3.0,4,10,6,KAZ,4.0,AXENOV A,6 - 10,392,KAZ,6:32,Saved,0
Extra player shot,5.0,4,10,7,KAZ,4.0,USHAKOV V,7 - 10,388,KAZ,6:28,Goal,1
Extra player shot,6.0,4,10,7,KAZ,4.0,RADOVIC A,7 - 10,351,MNE,5:51,Blocked,0
Action shot,7.0,4,10,7,KAZ,4.0,JANOVIC M,7 - 10,340,MNE,5:40,Saved,0
5m shot,3.0,4,10,7,KAZ,4.0,AXENOV A,7 - 10,318,KAZ,5:18,,0
5m shot,6.0,4,10,7,KAZ,4.0,RADOVIC A,7 - 10,291,MNE,4:51,Saved,0
Counter attack,9.0,4,10,8,KAZ,4.0,UKUMANOV R,8 - 10,274,KAZ,4:34,Goal,1
5m shot,9.0,4,11,8,KAZ,4.0,IVOVIC A,8 - 11,246,MNE,4:06,Goal,1
5m shot,9.0,4,11,8,KAZ,4.0,IVOVIC A,8 - 11,193,MNE,3:13,Blocked,0
Counter attack,3.0,4,11,8,KAZ,4.0,PASKOVIC V,8 - 11,111,MNE,1:51,Saved,0
5m shot,3.0,4,11,8,KAZ,4.0,AXENOV A,8 - 11,40,KAZ,0:40,Saved,0
