Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,9.0,4,1,1,RUS,1.0,MEGENS M,1 - 1,302,NED,5:02,Missed,0
Action shot,12.0,4,1,2,RUS,1.0,RYZHKOVA D,1 - 2,277,RUS,4:37,Goal,1
5m shot,2.0,4,1,2,RUS,1.0,SMIT Y,1 - 2,258,NED,4:18,Missed,0
Centre shot,9.0,4,1,3,RUS,1.0,TIMOFEEVA A,1 - 3,238,RUS,3:58,Goal,1
5m shot,9.0,4,1,3,RUS,1.0,MEGENS M,1 - 3,217,NED,3:37,Blocked,0
Extra player shot,12.0,4,1,4,RUS,1.0,RYZHKOVA D,1 - 4,172,RUS,2:52,Goal,1
5m shot,3.0,4,1,4,RUS,1.0,PROKOFYEVA E,1 - 4,127,RUS,2:07,Missed,0
Penalty shot,4.0,4,2,4,RUS,1.0,van der SLOOT S,2 - 4,114,NED,1:54,Goal,1
Action shot,11.0,4,2,4,RUS,1.0,IVANOVA E,2 - 4,85,RUS,1:25,Post,0
Action shot,6.0,4,2,4,RUS,1.0,GORBUNOVA O,2 - 4,33,RUS,0:33,Post,0
Centre shot,4.0,4,2,4,RUS,1.0,van der SLOOT S,2 - 4,10,NED,0:10,Missed,0
5m shot,3.0,4,2,5,RUS,2.0,PROKOFYEVA E,2 - 5,457,RUS,7:37,Goal,1
Centre shot,8.0,4,2,5,RUS,2.0,SEVENICH V,2 - 5,440,NED,7:20,Missed,0
Action shot,6.0,4,2,6,RUS,2.0,GORBUNOVA O,2 - 6,426,RUS,7:06,Goal,1
5m shot,11.0,4,2,6,RUS,2.0,KLAASSEN L,2 - 6,405,NED,6:45,Post,0
Extra player shot,8.0,4,3,6,RUS,2.0,SEVENICH V,3 - 6,372,NED,6:12,Goal,1
Action shot,4.0,4,3,6,RUS,2.0,KARIMOVA E,3 - 6,349,RUS,5:49,Saved,0
Action shot,9.0,4,3,6,RUS,2.0,MEGENS M,3 - 6,327,NED,5:27,Blocked,0
Extra player shot,3.0,4,3,7,RUS,2.0,PROKOFYEVA E,3 - 7,294,RUS,4:54,Goal,1
Extra player shot,6.0,4,4,7,RUS,2.0,STOMPHORST N,4 - 7,267,NED,4:27,Goal,1
Extra player shot,11.0,4,4,7,RUS,2.0,IVANOVA E,4 - 7,230,RUS,3:50,Post,0
Counter attack,4.0,4,5,7,RUS,2.0,van der SLOOT S,5 - 7,218,NED,3:38,Goal,1
Action shot,4.0,4,5,7,RUS,2.0,KARIMOVA E,5 - 7,196,RUS,3:16,Saved,0
Action shot,4.0,4,5,7,RUS,2.0,KARIMOVA E,5 - 7,170,RUS,2:50,Missed,0
5m shot,10.0,4,5,7,RUS,2.0,KOOLHAAS I,5 - 7,142,NED,2:22,Blocked,0
Centre shot,9.0,4,5,7,RUS,2.0,TIMOFEEVA A,5 - 7,118,RUS,1:58,Saved,0
5m shot,10.0,4,5,7,RUS,4.0,TOLKUNOVA T,5 - 7,176,RUS,2:56,Saved,0
Extra player shot,2.0,4,5,7,RUS,4.0,SMIT Y,5 - 7,131,NED,2:11,Post,0
5m shot,12.0,4,5,7,RUS,2.0,RYZHKOVA D,5 - 7,62,RUS,1:02,Missed,0
Action shot,11.0,4,6,7,RUS,2.0,KLAASSEN L,6 - 7,31,NED,0:31,Goal,1
Action shot,2.0,4,6,7,RUS,2.0,VAKHITOVA V,6 - 7,7,RUS,0:07,Saved,0
5m shot,9.0,4,6,7,RUS,2.0,MEGENS M,6 - 7,2,NED,0:02,Saved,0
Action shot,6.0,4,7,7,RUS,3.0,STOMPHORST N,7 - 7,464,NED,7:44,Goal,1
5m shot,6.0,4,7,7,RUS,3.0,GORBUNOVA O,7 - 7,443,RUS,7:23,Post,0
Extra player shot,9.0,4,7,7,RUS,3.0,MEGENS M,7 - 7,398,NED,6:38,Missed,0
5m shot,4.0,4,7,7,RUS,3.0,KARIMOVA E,7 - 7,369,RUS,6:09,Blocked,0
Extra player shot,2.0,4,7,7,RUS,3.0,SMIT Y,7 - 7,330,NED,5:30,Saved,0
Extra player shot,11.0,4,7,7,RUS,3.0,KLAASSEN L,7 - 7,322,NED,5:22,Saved,0
Action shot,5.0,4,7,7,RUS,3.0,BORISOVA M,7 - 7,282,RUS,4:42,Post,0
Action shot,3.0,4,8,7,RUS,3.0,GENEE D,8 - 7,263,NED,4:23,Goal,1
5m shot,10.0,4,8,8,RUS,3.0,TOLKUNOVA T,8 - 8,240,RUS,4:00,Goal,1
Action shot,9.0,4,8,8,RUS,3.0,MEGENS M,8 - 8,219,NED,3:39,Saved,0
Action shot,2.0,4,8,8,RUS,3.0,SMIT Y,8 - 8,202,NED,3:22,Saved,0
Counter attack,9.0,4,8,9,RUS,3.0,TIMOFEEVA A,8 - 9,108,RUS,1:48,Goal,1
5m shot,11.0,4,8,9,RUS,3.0,KLAASSEN L,8 - 9,86,NED,1:26,Saved,0
Centre shot,8.0,4,8,9,RUS,3.0,SEVENICH V,8 - 9,74,NED,1:14,Saved,0
5m shot,11.0,4,8,10,RUS,3.0,IVANOVA E,8 - 10,49,RUS,0:49,Goal,1
Extra player shot,11.0,4,8,10,RUS,3.0,KLAASSEN L,8 - 10,15,NED,0:15,Saved,0
Action shot,11.0,4,8,10,RUS,4.0,KLAASSEN L,8 - 10,433,NED,7:13,Saved,0
Action shot,9.0,4,8,10,RUS,4.0,MEGENS M,8 - 10,389,NED,6:29,Saved,0
Centre shot,5.0,4,8,10,RUS,4.0,BORISOVA M,8 - 10,345,RUS,5:45,Missed,0
Penalty shot,11.0,4,9,10,RUS,4.0,KLAASSEN L,9 - 10,328,NED,5:28,Goal,1
5m shot,5.0,4,9,10,RUS,4.0,BORISOVA M,9 - 10,304,RUS,5:04,Missed,0
Extra player shot,4.0,4,9,11,RUS,4.0,KARIMOVA E,9 - 11,236,RUS,3:56,Goal,1
Extra player shot,3.0,4,9,11,RUS,4.0,GENEE D,9 - 11,208,NED,3:28,Saved,0
Action shot,9.0,4,10,11,RUS,4.0,MEGENS M,10 - 11,200,NED,3:20,Goal,1
Action shot,12.0,4,10,11,RUS,4.0,RYZHKOVA D,10 - 11,52,RUS,0:52,Saved,0
5m shot,11.0,4,10,11,RUS,4.0,KLAASSEN L,10 - 11,6,NED,0:06,Missed,0
Penalty shot,9.0,5,1,0,NZL,1.0,MEGENS M,0 - 1,457,NED,7:37,Goal,1
Action shot,9.0,5,1,0,NZL,1.0,STONEMAN E,0 - 1,427,NZL,7:07,Missed,0
Centre shot,7.0,5,2,0,NZL,1.0,NIJHUIS M,0 - 2,361,NED,6:01,Goal,1
Action shot,11.0,5,2,0,NZL,1.0,HUDSON K,0 - 2,340,NZL,5:40,Saved,0
Action shot,9.0,5,2,0,NZL,1.0,STONEMAN E,0 - 2,327,NZL,5:27,Post,0
5m shot,9.0,5,3,0,NZL,1.0,MEGENS M,0 - 3,317,NED,5:17,Goal,1
Action shot,11.0,5,3,0,NZL,1.0,HUDSON K,0 - 3,289,NZL,4:49,Saved,0
Action shot,11.0,5,4,0,NZL,1.0,KLAASSEN L,0 - 4,273,NED,4:33,Goal,1
Action shot,8.0,5,4,0,NZL,1.0,LOPES da SILVA C,0 - 4,232,NZL,3:52,Saved,0
Extra player shot,6.0,5,5,0,NZL,1.0,STOMPHORST N,0 - 5,200,NED,3:20,Goal,1
Extra player shot,7.0,5,5,1,NZL,1.0,HOUGHTON E,1 - 5,175,NZL,2:55,Goal,1
5m shot,10.0,5,5,1,NZL,1.0,KOOLHAAS I,1 - 5,145,NED,2:25,Post,0
Extra player shot,8.0,5,5,1,NZL,1.0,LOPES da SILVA C,1 - 5,120,NZL,2:00,Saved,0
5m shot,11.0,5,5,1,NZL,1.0,KLAASSEN L,1 - 5,106,NED,1:46,Post,0
5m shot,4.0,5,5,1,NZL,1.0,FERIGO R,1 - 5,18,NZL,0:18,Saved,0
Counter attack,10.0,5,5,1,NZL,1.0,KOOLHAAS I,1 - 5,7,NED,0:07,Saved,0
Action shot,7.0,5,5,1,NZL,2.0,HOUGHTON E,1 - 5,432,NZL,7:12,Saved,0
Action shot,7.0,5,5,1,NZL,2.0,HOUGHTON E,1 - 5,417,NZL,6:57,Saved,0
5m shot,7.0,5,5,1,NZL,2.0,NIJHUIS M,1 - 5,401,NED,6:41,Post,0
