Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name
4.0,6:32,Action shot - Goal,9 - 2,KAZ,AKILBAYEVA A,3.0,9,2,392,2,KAZ
4.0,6:21,20 sec. exclusion in field,9 - 2,KAZ,MIRSHINA A,5.0,9,2,381,2,KAZ
4.0,6:10,Extra player shot - Goal,9 - 3,BRA,CHIAPPINI I,8.0,9,3,370,2,KAZ
4.0,5:43,Turnover foul,9 - 3,KAZ,MIRSHINA A,5.0,9,3,343,2,KAZ
4.0,5:43,Steal,9 - 3,BRA,VIGNA F,10.0,9,3,343,2,KAZ
4.0,5:20,Action shot - Saved,9 - 3,BRA,CHIAPPINI I,8.0,9,3,320,2,KAZ
4.0,4:52,Action shot - Blocked,9 - 3,KAZ,GRITSENKO M,10.0,9,3,292,2,KAZ
4.0,4:25,Centre shot - Post,9 - 3,BRA,ZABLITH M,3.0,9,3,265,2,KAZ
4.0,3:49,20 sec. exclusion in field,9 - 3,KAZ,MUSSAROVA A,12.0,9,3,229,2,KAZ
4.0,3:30,Extra player shot - Goal,9 - 4,BRA,CHIAPPINI I,8.0,9,4,210,2,KAZ
4.0,3:08,Centre shot - Saved,9 - 4,KAZ,AKILBAYEVA A,3.0,9,4,188,2,KAZ
4.0,0:47,20 sec. exclusion in field,9 - 4,BRA,ZABLITH M,3.0,9,4,47,2,KAZ
4.0,0:47,Exclusion with substitution,9 - 4,BRA,ZABLITH M,3.0,9,4,47,2,KAZ
4.0,0:35,Extra player shot - Saved,9 - 4,KAZ,MUSSAROVA A,12.0,9,4,35,2,KAZ
4.0,0:19,20 sec. exclusion in field,9 - 4,KAZ,GRITSENKO M,10.0,9,4,19,2,KAZ
4.0,0:19,Time-Out,9 - 4,BRA,,,9,4,19,2,KAZ
4.0,0:03,Centre shot - Missed,9 - 4,BRA,ABLA D,2.0,9,4,3,2,KAZ
4.0,0:01,5m shot - Saved,9 - 4,KAZ,ZHARKOVA A,1.0,9,4,1,2,KAZ
1.0,8:00,Starting goalkeeper,0 - 0,ITA,GIGLI E,1.0,0,0,480,3,ITA
