Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,8.0,2,4,9,NED,2.0,SEVENICH V,4 - 9,154,NED,2:34
Steal,13.0,2,4,9,NED,2.0,SHIOYA M,4 - 9,154,JPN,2:34
Turnover foul,4.0,2,4,9,NED,2.0,MAGARIYAMA S,4 - 9,127,JPN,2:07
20 sec. exclusion in centre,5.0,2,4,9,NED,2.0,SAKANOUE C,4 - 9,110,JPN,1:50
Extra player shot - Goal,4.0,2,4,10,NED,2.0,van der SLOOT S,4 - 10,96,NED,1:36
20 sec. exclusion in centre,5.0,2,4,10,NED,2.0,GENEE A,4 - 10,86,NED,1:26
Extra player shot - Goal,2.0,2,5,10,NED,2.0,ARIMA Y,5 - 10,72,JPN,1:12
Centre shot - Saved,2.0,2,5,10,NED,2.0,SMIT Y,5 - 10,52,NED,0:52
Centre shot - Post,4.0,2,5,10,NED,2.0,van der SLOOT S,5 - 10,25,NED,0:25
Turnover foul,6.0,2,5,10,NED,2.0,YAMAMOTO M,5 - 10,7,JPN,0:07
Steal,1.0,2,5,10,NED,2.0,AARTS L,5 - 10,7,NED,0:07
Starting goalkeeper,13.0,2,5,10,NED,3.0,SHIOYA M,5 - 10,480,JPN,8:00
Starting goalkeeper,13.0,2,5,10,NED,3.0,WILLEMSZ D,5 - 10,480,NED,8:00
Sprint won possession,4.0,2,5,10,NED,3.0,van der SLOOT S,5 - 10,480,NED,8:00
5m shot - Saved,2.0,2,5,10,NED,3.0,SMIT Y,5 - 10,451,NED,7:31
Turnover foul,12.0,2,5,10,NED,3.0,SUZUKI K,5 - 10,420,JPN,7:00
Steal,4.0,2,5,10,NED,3.0,van der SLOOT S,5 - 10,420,NED,7:00
Action shot - Saved,7.0,2,5,10,NED,3.0,NIJHUIS M,5 - 10,404,NED,6:44
20 sec. exclusion in field,4.0,2,5,10,NED,3.0,van der SLOOT S,5 - 10,392,NED,6:32
Extra player shot - Saved,12.0,2,5,10,NED,3.0,SUZUKI K,5 - 10,382,JPN,6:22
Turnover foul,11.0,2,5,10,NED,3.0,TOKUMOTO M,5 - 10,362,JPN,6:02
Steal,13.0,2,5,10,NED,3.0,WILLEMSZ D,5 - 10,362,NED,6:02
20 sec. exclusion in field,11.0,2,5,10,NED,3.0,TOKUMOTO M,5 - 10,340,JPN,5:40
Extra player shot - Missed,12.0,2,5,10,NED,3.0,JOUSTRA K,5 - 10,340,NED,5:40
Exclusion with substitution,11.0,2,5,10,NED,3.0,TOKUMOTO M,5 - 10,340,JPN,5:40
