Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,2,0,HUN,1.0,IARONDAIKINA N,0,0 - 0,338,RUS,5:38,Post,0
Centre shot,10.0,2,1,HUN,1.0,BUJKA B,0,1 - 0,318,HUN,5:18,Goal,1
Extra player shot,4.0,2,1,HUN,1.0,KARIMOVA E,0,1 - 0,284,RUS,4:44,Saved,0
Action shot,7.0,2,1,HUN,1.0,LISUNOVA E,0,1 - 0,241,RUS,4:01,Saved,0
Extra player shot,10.0,2,2,HUN,1.0,BUJKA B,0,2 - 0,227,HUN,3:47,Goal,1
Extra player shot,11.0,2,2,HUN,1.0,IVANOVA E,0,2 - 0,195,RUS,3:15,Missed,0
Centre shot,7.0,2,2,HUN,1.0,LISUNOVA E,0,2 - 0,152,RUS,2:32,Post,0
Action shot,8.0,2,2,HUN,1.0,ABDRIZIAKOVA E,0,2 - 0,109,RUS,1:49,Blocked,0
Action shot,4.0,2,2,HUN,1.0,KISTELEKI D,0,2 - 0,47,HUN,0:47,Blocked,0
Centre shot,4.0,2,3,HUN,1.0,KISTELEKI D,0,3 - 0,46,HUN,0:46,Goal,1
Extra player shot,12.0,2,3,HUN,1.0,IARONDAIKINA N,1,3 - 1,13,RUS,0:13,Goal,1
Action shot,11.0,2,3,HUN,2.0,IVANOVA E,1,3 - 1,457,RUS,7:37,Saved,0
Counter attack,8.0,2,4,HUN,2.0,KESZTHELYI R,1,4 - 1,443,HUN,7:23,Goal,1
Action shot,9.0,2,4,HUN,2.0,TIMOFEEVA A,1,4 - 1,407,RUS,6:47,Saved,0
5m shot,3.0,2,4,HUN,2.0,ANTAL D,1,4 - 1,377,HUN,6:17,Blocked,0
5m shot,2.0,2,4,HUN,2.0,CZIGANY D,1,4 - 1,348,HUN,5:48,Post,0
Centre shot,7.0,2,4,HUN,2.0,LISUNOVA E,2,4 - 2,308,RUS,5:08,Goal,1
Extra player shot,8.0,2,5,HUN,2.0,KESZTHELYI R,2,5 - 2,280,HUN,4:40,Goal,1
Action shot,6.0,2,5,HUN,2.0,SIMANOVICH A,3,5 - 3,265,RUS,4:25,Goal,1
Action shot,8.0,2,5,HUN,2.0,ABDRIZIAKOVA E,4,5 - 4,214,RUS,3:34,Goal,1
Action shot,2.0,2,6,HUN,2.0,CZIGANY D,4,6 - 4,183,HUN,3:03,Goal,1
Action shot,7.0,2,6,HUN,2.0,LISUNOVA E,4,6 - 4,158,RUS,2:38,Saved,0
