Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Post,6.0,1,13,5,KAZ,4.0,HOSNYANSZKY N,13 - 5,84,HUN,1:24
Turnover foul,6.0,1,13,5,KAZ,4.0,SHMIDER A,13 - 5,71,KAZ,1:11
Steal,6.0,1,13,5,KAZ,4.0,HOSNYANSZKY N,13 - 5,71,HUN,1:11
Action shot - Goal,10.0,1,14,5,KAZ,4.0,VARGA D,14 - 5,50,HUN,0:50
Turnover foul,9.0,1,14,5,KAZ,4.0,UKUMANOV R,14 - 5,23,KAZ,0:23
Steal,1.0,1,14,5,KAZ,4.0,NAGY V,14 - 5,23,HUN,0:23
Action shot - Post,6.0,1,14,5,KAZ,4.0,HOSNYANSZKY N,14 - 5,0,HUN,0:00
Starting goalkeeper,1.0,2,0,0,RSA,1.0,FLATSCHER D,0 - 0,480,RSA,8:00
Starting goalkeeper,13.0,2,0,0,RSA,1.0,DECKER A,0 - 0,480,HUN,8:00
Sprint won possession,10.0,2,0,0,RSA,1.0,VARGA D,0 - 0,480,HUN,8:00
20 sec. exclusion in centre,6.0,2,0,0,RSA,1.0,DE CARVALHO J,0 - 0,462,RSA,7:42
Extra player shot - Saved,2.0,2,0,0,RSA,1.0,GOR-NAGY M,0 - 0,451,HUN,7:31
Turnover foul,3.0,2,0,0,RSA,1.0,CARD D,0 - 0,424,RSA,7:04
Steal,13.0,2,0,0,RSA,1.0,DECKER A,0 - 0,424,HUN,7:04
20 sec. exclusion in centre,2.0,2,0,0,RSA,1.0,LE ROUX E,0 - 0,405,RSA,6:45
Action shot - Post,9.0,2,0,0,RSA,1.0,VARGA D,0 - 0,394,HUN,6:34
Turnover foul,2.0,2,0,0,RSA,1.0,LE ROUX E,0 - 0,369,RSA,6:09
Steal,8.0,2,0,0,RSA,1.0,SZIVOS M,0 - 0,369,HUN,6:09
5m shot - Goal,10.0,2,1,0,RSA,1.0,VARGA D,0 - 1,349,HUN,5:49
5m shot - Saved,10.0,2,1,0,RSA,1.0,LE ROUX P,0 - 1,323,RSA,5:23
Counter attack - Saved,9.0,2,1,0,RSA,1.0,VARGA D,0 - 1,304,HUN,5:04
Turnover foul,4.0,2,1,0,RSA,1.0,BADENHORST I,0 - 1,275,RSA,4:35
Steal,9.0,2,1,0,RSA,1.0,VARGA D,0 - 1,275,HUN,4:35
Turnover foul,9.0,2,1,0,RSA,1.0,VARGA D,0 - 1,257,HUN,4:17
Steal,10.0,2,1,0,RSA,1.0,LE ROUX P,0 - 1,257,RSA,4:17
Turnover foul,11.0,2,1,0,RSA,1.0,MOLYNEUX N,0 - 1,231,RSA,3:51
Steal,12.0,2,1,0,RSA,1.0,HARAI B,0 - 1,231,HUN,3:51
Counter attack - Goal,12.0,2,2,0,RSA,1.0,HARAI B,0 - 2,218,HUN,3:38
Turnover foul,6.0,2,2,0,RSA,1.0,DE CARVALHO J,0 - 2,196,RSA,3:16
Steal,4.0,2,2,0,RSA,1.0,ERDELYI B,0 - 2,192,HUN,3:12
Penalty foul,6.0,2,2,0,RSA,1.0,DE CARVALHO J,0 - 2,191,RSA,3:11
Penalty shot - Goal,4.0,2,3,0,RSA,1.0,ERDELYI B,0 - 3,191,HUN,3:11
Time-Out,,2,3,0,RSA,1.0,,0 - 3,191,RSA,3:11
Turnover foul,5.0,2,3,0,RSA,1.0,HOCK N,0 - 3,172,RSA,2:52
Steal,6.0,2,3,0,RSA,1.0,HOSNYANSZKY N,0 - 3,172,HUN,2:52
Action shot - Goal,6.0,2,4,0,RSA,1.0,HOSNYANSZKY N,0 - 4,146,HUN,2:26
5m shot - Saved,12.0,2,4,0,RSA,1.0,BOHATA W,0 - 4,114,RSA,1:54
Action shot - Post,7.0,2,4,0,RSA,1.0,ANGYAL D,0 - 4,95,HUN,1:35
Counter attack - Goal,11.0,2,4,1,RSA,1.0,MOLYNEUX N,1 - 4,79,RSA,1:19
Action shot - Goal,8.0,2,5,1,RSA,1.0,SZIVOS M,1 - 5,56,HUN,0:56
20 sec. exclusion in centre,9.0,2,5,1,RSA,1.0,VARGA D,1 - 5,44,HUN,0:44
Turnover foul,2.0,2,5,1,RSA,1.0,LE ROUX E,1 - 5,17,RSA,0:17
Steal,5.0,2,5,1,RSA,1.0,VAMOS M,1 - 5,17,HUN,0:17
Starting goalkeeper,1.0,2,5,1,RSA,2.0,FLATSCHER D,1 - 5,480,RSA,8:00
Starting goalkeeper,13.0,2,5,1,RSA,2.0,DECKER A,1 - 5,480,HUN,8:00
Sprint won possession,4.0,2,5,1,RSA,2.0,ERDELYI B,1 - 5,480,HUN,8:00
Action shot - Goal,12.0,2,6,1,RSA,2.0,HARAI B,1 - 6,466,HUN,7:46
20 sec. exclusion in field,4.0,2,6,1,RSA,2.0,BADENHORST I,1 - 6,447,RSA,7:27
Time-Out,,2,6,1,RSA,2.0,,1 - 6,447,HUN,7:27
Action shot - Saved,6.0,2,6,1,RSA,2.0,HOSNYANSZKY N,1 - 6,425,HUN,7:05
20 sec. exclusion in centre,10.0,2,6,1,RSA,2.0,LE ROUX P,1 - 6,415,RSA,6:55
Extra player shot - Post,5.0,2,6,1,RSA,2.0,VAMOS M,1 - 6,400,HUN,6:40
Goalkeeper substitution,13.0,2,6,1,RSA,2.0,LEWIS J,1 - 6,380,RSA,6:20
Turnover foul,2.0,2,6,1,RSA,2.0,LE ROUX E,1 - 6,376,RSA,6:16
Steal,10.0,2,6,1,RSA,2.0,VARGA D,1 - 6,376,HUN,6:16
Centre shot - Goal,10.0,2,7,1,RSA,2.0,VARGA D,1 - 7,352,HUN,5:52
Turnover foul,3.0,2,7,1,RSA,2.0,CARD D,1 - 7,336,RSA,5:36
Turnover foul,11.0,2,7,1,RSA,2.0,BEDO K,1 - 7,309,HUN,5:09
Counter attack - Missed,11.0,2,7,1,RSA,2.0,MOLYNEUX N,1 - 7,295,RSA,4:55
Action shot - Goal,10.0,2,8,1,RSA,2.0,VARGA D,1 - 8,278,HUN,4:38
Turnover foul,11.0,2,8,1,RSA,2.0,MOLYNEUX N,1 - 8,249,RSA,4:09
Steal,9.0,2,8,1,RSA,2.0,VARGA D,1 - 8,249,HUN,4:09
5m shot - Saved,3.0,2,8,1,RSA,2.0,MADARAS N,1 - 8,223,HUN,3:43
Time-Out,,2,8,1,RSA,2.0,,1 - 8,221,RSA,3:41
Action shot - Saved,11.0,2,8,1,RSA,2.0,MOLYNEUX N,1 - 8,195,RSA,3:15
5m shot - Blocked,2.0,2,8,1,RSA,2.0,LE ROUX E,1 - 8,185,RSA,3:05
20 sec. exclusion in centre,11.0,2,8,1,RSA,2.0,MOLYNEUX N,1 - 8,148,RSA,2:28
5m shot - Saved,6.0,2,8,1,RSA,2.0,DE CARVALHO J,1 - 8,104,RSA,1:44
Turnover foul,10.0,2,8,1,RSA,2.0,VARGA D,1 - 8,85,HUN,1:25
Steal,2.0,2,8,1,RSA,2.0,LE ROUX E,1 - 8,85,RSA,1:25
Turnover foul,7.0,2,8,1,RSA,2.0,JAGGA D,1 - 8,64,RSA,1:04
5m shot - Missed,6.0,2,8,1,RSA,4.0,HOSNYANSZKY N,1 - 8,110,HUN,1:50
Action shot - Blocked,2.0,2,8,1,RSA,4.0,LE ROUX E,1 - 8,80,RSA,1:20
Turnover foul,2.0,2,8,1,RSA,4.0,LE ROUX E,1 - 8,79,RSA,1:19
Steal,3.0,2,8,1,RSA,2.0,MADARAS N,1 - 8,64,HUN,1:04
