Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,10.0,7,0,0,RUS,1.0,BUJKA B,0 - 0,441,HUN,7:21
Steal,5.0,7,0,0,RUS,1.0,ANTONOVA A,0 - 0,441,RUS,7:21
Centre shot - Goal,10.0,7,0,1,RUS,1.0,BELIAEVA O,1 - 0,417,RUS,6:57
Centre shot - Missed,10.0,7,0,1,RUS,1.0,BUJKA B,1 - 0,397,HUN,6:37
Turnover foul,9.0,7,0,1,RUS,1.0,TIMOFEEVA A,1 - 0,378,RUS,6:18
Steal,4.0,7,0,1,RUS,1.0,KISTELEKI D,1 - 0,378,HUN,6:18
5m shot - Blocked,10.0,7,0,1,RUS,1.0,BUJKA B,1 - 0,362,HUN,6:02
20 sec. exclusion in centre,3.0,7,0,1,RUS,1.0,ANTAL D,1 - 0,339,HUN,5:39
Extra player shot - Goal,5.0,7,0,2,RUS,1.0,ANTONOVA A,2 - 0,322,RUS,5:22
20 sec. exclusion in centre,9.0,7,0,2,RUS,1.0,TIMOFEEVA A,2 - 0,311,RUS,5:11
Extra player shot - Blocked,4.0,7,0,2,RUS,1.0,KISTELEKI D,2 - 0,305,HUN,5:05
Turnover foul,10.0,7,0,2,RUS,1.0,BELIAEVA O,2 - 0,290,RUS,4:50
Turnover foul,8.0,7,0,2,RUS,1.0,KESZTHELYI R,2 - 0,269,HUN,4:29
Steal,11.0,7,0,2,RUS,1.0,IVANOVA E,2 - 0,269,RUS,4:29
Turnover foul,3.0,7,0,2,RUS,1.0,PROKOFYEVA E,2 - 0,251,RUS,4:11
Steal,7.0,7,0,2,RUS,1.0,MISKOLCZI I,2 - 0,251,HUN,4:11
20 sec. exclusion in field,5.0,7,0,2,RUS,1.0,ANTONOVA A,2 - 0,245,RUS,4:05
Extra player shot - Goal,12.0,7,1,2,RUS,1.0,MENCZINGER K,2 - 1,238,HUN,3:58
5m shot - Post,9.0,7,1,2,RUS,1.0,TIMOFEEVA A,2 - 1,208,RUS,3:28
Action shot - Saved,11.0,7,1,2,RUS,1.0,GARDA K,2 - 1,182,HUN,3:02
20 sec. exclusion in centre,11.0,7,1,2,RUS,1.0,GARDA K,2 - 1,157,HUN,2:37
Extra player shot - Goal,6.0,7,1,3,RUS,1.0,BELOVA O,3 - 1,142,RUS,2:22
Turnover foul,9.0,7,1,3,RUS,1.0,TOTH I,3 - 1,129,HUN,2:09
Steal,11.0,7,1,3,RUS,1.0,IVANOVA E,3 - 1,129,RUS,2:09
5m shot - Blocked,8.0,7,1,3,RUS,1.0,GRINEVA A,3 - 1,106,RUS,1:46
Centre shot - Goal,9.0,7,2,3,RUS,1.0,TOTH I,3 - 2,92,HUN,1:32
Turnover foul,7.0,7,2,3,RUS,1.0,TANKEEVA E,3 - 2,73,RUS,1:13
Action shot - Goal,5.0,7,3,3,RUS,1.0,SZUCS G,3 - 3,51,HUN,0:51
Centre shot - Saved,9.0,7,3,3,RUS,1.0,TIMOFEEVA A,3 - 3,37,RUS,0:37
Turnover foul,12.0,7,3,3,RUS,1.0,MENCZINGER K,3 - 3,22,HUN,0:22
Steal,12.0,7,3,3,RUS,1.0,ZELENTSOVA E,3 - 3,22,RUS,0:22
Action shot - Post,3.0,7,3,3,RUS,1.0,PROKOFYEVA E,3 - 3,11,RUS,0:11
5m shot - Saved,12.0,7,3,3,RUS,1.0,MENCZINGER K,3 - 3,1,HUN,0:01
Starting goalkeeper,1.0,7,3,3,RUS,2.0,BOLONYAI F,3 - 3,480,HUN,8:00
Starting goalkeeper,13.0,7,3,3,RUS,2.0,KARNAUKH A,3 - 3,480,RUS,8:00
Sprint won possession,3.0,7,3,3,RUS,2.0,PROKOFYEVA E,3 - 3,480,RUS,8:00
