Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Exclusion with substitution,5,3.0,6,7,GRE,3.0,DIAMANTOPOULOU V,5 - 7,346,GRE,5:46
Extra player shot - Blocked,5,5.0,6,7,GRE,3.0,EGGENS M,5 - 7,342,CAN,5:42
Action shot - Post,5,4.0,6,7,GRE,3.0,PSOUNI I,5 - 7,317,GRE,5:17
Turnover foul,5,3.0,6,7,GRE,3.0,MONTON K,5 - 7,297,CAN,4:57
Steal,5,10.0,6,7,GRE,3.0,MANOLIOUDAKI T,5 - 7,297,GRE,4:57
Action shot - Missed,5,2.0,6,7,GRE,3.0,TSOUKALA C,5 - 7,274,GRE,4:34
Turnover foul,5,3.0,6,7,GRE,3.0,MONTON K,5 - 7,250,CAN,4:10
Penalty foul,5,7.0,6,7,GRE,3.0,BEKHAZI J,5 - 7,230,CAN,3:50
Penalty shot - Goal,5,6.0,6,8,GRE,3.0,AVRAMIDOU A,5 - 8,230,GRE,3:50
Action shot - Saved,5,10.0,6,8,GRE,3.0,ROBINSON C,5 - 8,206,CAN,3:26
Action shot - Goal,5,2.0,6,9,GRE,3.0,TSOUKALA C,5 - 9,180,GRE,3:00
Action shot - Saved,5,6.0,6,9,GRE,3.0,BARON la SALLE S,5 - 9,155,CAN,2:35
Turnover foul,5,5.0,6,9,GRE,3.0,PLEVRITOU M,5 - 9,134,GRE,2:14
Steal,5,10.0,6,9,GRE,3.0,ROBINSON C,5 - 9,134,CAN,2:14
5m shot - Post,5,5.0,6,9,GRE,3.0,EGGENS M,5 - 9,105,CAN,1:45
